file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/controller/PlaybackController.java,com.genersoft.iot.vmp.gb28181.controller.PlaybackController,playResume/1[java.lang.String],false,183,7,1,0,1,3,4,12,0,0,1,4,0,0,0,0,1,0,5,0,0,1,1,0,0,0,16,1,1,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/controller/PlaybackController.java,com.genersoft.iot.vmp.gb28181.controller.PlaybackController,"playStop/3[java.lang.String,java.lang.String,java.lang.String]",false,149,10,2,0,2,6,5,14,0,2,3,5,0,0,0,2,0,0,12,0,2,2,1,0,0,0,15,1,0,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/controller/PlaybackController.java,com.genersoft.iot.vmp.gb28181.controller.PlaybackController,"start/5[com.genersoft.iot.vmp.gb28181.controller.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,81,18,2,0,2,8,27,53,1,13,5,27,0,0,0,4,1,0,15,0,12,3,5,0,0,1,38,1,3,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/controller/PlaybackController.java,com.genersoft.iot.vmp.gb28181.controller.PlaybackController,"playbackSeek/2[java.lang.String,long]",false,198,7,1,0,1,2,4,9,0,0,2,4,0,0,0,0,1,0,8,0,0,1,1,0,0,0,16,1,1,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/controller/PlaybackController.java,com.genersoft.iot.vmp.gb28181.controller.PlaybackController,"playSpeed/2[java.lang.String,java.lang.Double]",false,211,7,1,0,1,2,5,10,0,0,2,5,0,0,0,0,1,0,9,0,0,1,1,0,0,0,16,1,1,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/controller/PlaybackController.java,com.genersoft.iot.vmp.gb28181.controller.PlaybackController,playbackPause/1[java.lang.String],false,168,7,1,0,1,3,4,12,0,0,1,4,0,0,0,0,1,0,5,0,0,0,1,0,0,0,16,1,1,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/transmit/event/request/impl/message/query/cmd/CatalogQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.CatalogQueryMessageHandler,"handForDevice/3[com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.RequestEvent,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.Device,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.Element]",false,53,5,1,0,1,2,2,7,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17,1,0,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/transmit/event/request/impl/message/query/cmd/CatalogQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.CatalogQueryMessageHandler,"handForPlatform/3[com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.RequestEvent,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.Platform,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.Element]",false,61,9,3,0,3,4,12,23,0,4,3,12,0,0,0,0,2,0,3,0,4,0,2,0,0,0,25,1,2,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/gb28181/transmit/event/request/impl/message/query/cmd/CatalogQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.CatalogQueryMessageHandler,afterPropertiesSet/0,false,48,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/jt1078/bean/JTAlarmSign.java,com.genersoft.iot.vmp.jt1078.bean.JTAlarmSign,JTAlarmSign/1[long],true,82,0,2,2,0,33,0,36,1,0,1,0,0,0,0,32,0,31,0,93,31,30,1,0,0,0,6,1,0,false
/tmp/ck-analysis/648540858_wvp-GB28181-pro/src/main/java/com/genersoft/iot/vmp/jt1078/bean/JTAlarmSign.java,com.genersoft.iot.vmp.jt1078.bean.JTAlarmSign,JTAlarmSign/0,true,79,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
