file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/AxonFramework_AxonFramework/messaging/src/main/java/org/axonframework/messaging/queryhandling/NoHandlerForQueryException.java,org.axonframework.messaging.queryhandling.NoHandlerForQueryException,class,3,6,3,3,3,2,0,2,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,6,0,0,2,0,0,0,0,0,69,1,0
/tmp/ck-analysis/AxonFramework_AxonFramework/stash/todo/src/test/java/org/axonframework/integrationtests/polymorphic/CommonCommand.java,org.axonframework.integrationtests.polymorphic.CommonCommand,class,1,3,2,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
/tmp/ck-analysis/AxonFramework_AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,class,5,10,5,5,18,2,0,13,33,0.7,0.0,0.0,10,0,2,0,8,0,10,2,0,0,2,0,0,2,0,0,2,0,1,57,6,2,2,0,0,12,5,4,2,4,2,0,0,0,115,1025,0
/tmp/ck-analysis/AxonFramework_AxonFramework/messaging/src/main/java/org/axonframework/messaging/eventhandling/deadletter/jpa/DeadLetterJpaConverter.java,org.axonframework.messaging.eventhandling.deadletter.jpa.DeadLetterJpaConverter,interface,7,10,3,7,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,0
/tmp/ck-analysis/AxonFramework_AxonFramework/stash/todo/src/main/java/org/axonframework/common/stream/StreamUtils.java,org.axonframework.common.stream.StreamUtils,class,2,2,0,2,2,1,0,2,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,1,0,1,0,1,0,0,53,1025,0
/tmp/ck-analysis/AxonFramework_AxonFramework/messaging/src/main/java/org/axonframework/messaging/core/DefaultMessageDispatchInterceptorChain.java,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain$InterceptingDispatcher,innerclass,7,7,0,7,4,1,0,3,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,19,3,0,0,1,0,0,0,2,0,2,1,0,0,0,17,2,0
/tmp/ck-analysis/AxonFramework_AxonFramework/messaging/src/test/java/org/axonframework/messaging/core/annotation/AnnotationMessageTypeResolverTest.java,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolverTest$CustomAnnotationResolution,innerclass,9,9,0,9,2,1,0,5,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,9,0,4,0,4,0,0,0,0,23,0,0
/tmp/ck-analysis/AxonFramework_AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,innerclass,12,12,0,12,9,1,0,22,0,0.33333334,0.0,0.0,9,0,0,0,0,9,9,0,0,0,3,0,0,3,0,0,0,0,0,59,0,0,0,0,0,1,1,17,0,17,0,1,0,1,50,0,0
/tmp/ck-analysis/AxonFramework_AxonFramework/examples/university-demo/src/main/java/org/axonframework/examples/demo/university/faculty/write/changecoursecapacity/ChangeCourseCapacityCommandHandler.java,org.axonframework.examples.demo.university.faculty.write.changecoursecapacity.ChangeCourseCapacityCommandHandler$State,innerclass,5,5,0,5,3,1,0,1,1,0.5,0.0,0.0,3,0,1,0,0,2,3,0,0,0,2,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,2,0,0,0,0,13,8,0
/tmp/ck-analysis/AxonFramework_AxonFramework/common/src/main/java/org/axonframework/common/property/MethodAccessedProperty.java,org.axonframework.common.property.MethodAccessedProperty,class,4,5,1,4,4,1,0,6,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,19,1,0,0,1,0,4,0,2,1,2,1,0,0,0,51,1,0
