file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/task/BomUploadTask.java,com.folib.task.BomUploadTask,class,15,15,0,15,11,1,0,29,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,6,73,4,1,0,5,0,11,1,11,0,18,10,0,0,2,50,1,9
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-layout-providers/folib-go-layout-provider/src/main/java/com/folib/artifact/coordinates/GoFallbackRemoteArtifactInputStreamFactory.java,com.folib.artifact.coordinates.GoFallbackRemoteArtifactInputStreamFactory,class,5,5,0,5,3,2,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,1,1,0,0,0,1,2,0,0,1,18,1,0
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/utils/TreeUtil.java,com.folib.utils.TreeUtil$FileObj,innerclass,1,1,0,1,8,1,0,0,16,0.71875,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,13,0,0
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-layout-providers/folib-p2-layout-provider/src/main/java/com/folib/storage/repository/P2RepositoryFactory.java,com.folib.storage.repository.P2RepositoryFactory,class,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,2,0,0,0,0,10,1,0
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-layout-providers/folib-maven-layout/folib-maven-layout-provider/src/main/java/com/folib/storage/indexing/IndexPacker.java,com.folib.storage.indexing.IndexPacker,class,9,13,4,9,2,1,0,10,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,1,20,2,0,0,1,0,3,0,4,2,4,1,0,0,0,33,1,1
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-storage-core/src/main/java/com/folib/storage/Views.java,com.folib.storage.Views,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/controllers/layout/helm/HelmArtifactController.java,com.folib.controllers.layout.helm.HelmArtifactController,class,27,27,0,27,22,3,0,36,6,0.875,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,4,87,4,2,4,4,1,39,11,24,2,22,4,0,0,0,69,1,4
/tmp/ck-analysis/BoCloud_folib/folib-commons/folib-commons-http/src/main/java/com/folib/commons/http/range/ByteRangeHeaderParser.java,com.folib.commons.http.range.ByteRangeHeaderParser,class,6,7,1,6,17,1,0,29,6,0.6666667,0.0,0.0,5,0,2,3,0,0,2,0,0,0,3,1,0,2,0,1,1,0,7,70,2,1,2,0,0,12,10,27,5,24,3,0,0,1,70,1,0
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-storage-api/src/main/java/com/folib/gremlin/adapters/ArtifactAdapter.java,com.folib.gremlin.adapters.ArtifactAdapter,class,32,39,7,32,75,1,0,197,76,0.7916667,0.0,0.0,16,0,11,5,0,0,11,0,0,0,6,0,0,0,0,6,0,0,41,375,16,3,2,0,0,509,0,94,5,53,3,0,0,11,93,1,2
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/utils/DDUtil.java,com.folib.utils.DDUtil,class,2,3,1,2,33,1,0,23,15,0.0,0.0,0.0,6,6,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,133,5,9,2,5,3,7,3,39,1,27,4,0,0,0,43,1,0
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-storage-api/src/main/java/com/folib/aql/grammar/AQLParser.java,com.folib.aql.grammar.AQLParser$TokenKeyContext,innerclass,9,9,0,9,10,2,0,5,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,3,0,2,0,0,0,1,0,0,0,30,9,0
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/web/Constants.java,com.folib.web.Constants,class,1,2,1,1,1,1,0,1,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,6,6,6,0,0,0,6,0,0,10,0,0,0,0,0,6,0,6,3,6,0,0,0,0,25,17,0
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/controllers/users/support/AssignableRoleOutput.java,com.folib.controllers.users.support.AssignableRoleOutput,class,3,6,3,3,5,1,0,4,6,0.6,0.0,0.0,5,1,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,22,3,0,0,0,0,0,0,3,0,3,0,0,0,0,13,1,0
/tmp/ck-analysis/BoCloud_folib/folib-commons/folib-commons-core/src/main/java/com/folib/util/CommonUtils.java,com.folib.util.CommonUtils,class,2,6,4,2,31,1,0,44,21,0.0,0.0,0.0,7,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,128,14,4,10,3,0,22,9,32,5,23,5,0,0,0,75,1,3
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/controllers/layout/cocoapods/CocoapodsArtifactController.java,com.folib.controllers.layout.cocoapods.CocoapodsArtifactController,class,27,28,1,27,22,3,0,59,21,0.85714287,0.0,0.0,7,0,5,2,0,0,5,0,0,0,2,0,0,2,0,0,0,0,19,156,6,1,2,7,1,44,13,51,1,51,3,0,0,0,99,1,7
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-layout-providers/folib-maven-layout/folib-maven-metadata-api/src/main/java/com/folib/storage/metadata/maven/comparators/SnapshotVersionComparator.java,com.folib.storage.metadata.maven.comparators.SnapshotVersionComparator,class,2,3,1,2,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,2,0,0,0,0,2,0,2,1,0,0,0,15,1,0
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/scanner/vulnerability/nvd/CweImporter.java,com.folib.scanner.vulnerability.nvd.CweImporter,class,9,11,2,9,3,1,0,40,0,0.25,NaN,NaN,2,1,1,1,0,0,1,0,0,0,2,2,0,2,0,0,2,0,8,51,3,1,0,1,0,15,2,18,0,21,3,0,0,3,79,1,3
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/controllers/ResponseMessage.java,com.folib.controllers.ResponseMessage,class,1,7,6,1,5,1,0,1,4,0.4,0.0,0.0,5,2,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,19,4,0,0,0,0,2,0,2,0,1,0,0,0,0,8,1,0
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-layout-providers/folib-maven-layout/folib-maven-metadata-api/src/main/java/com/folib/storage/metadata/maven/io/filters/ArtifactVersionDirectoryFilter.java,com.folib.storage.metadata.maven.io.filters.ArtifactVersionDirectoryFilter$PomPathnameFilter,innerclass,1,1,0,1,1,1,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,15,10,0
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/validation/cron/autocomplete/CronTaskConfigurationFormFieldStorageIdAutocompleteValidator.java,com.folib.validation.cron.autocomplete.CronTaskConfigurationFormFieldStorageIdAutocompleteValidator,class,6,6,0,6,2,1,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,2,0,0,0,0,1,0,2,0,3,0,0,0,0,19,1,0
/tmp/ck-analysis/BoCloud_folib/folib-job/folib-job-api/src/main/java/com/folib/job/cron/services/impl/CronTaskConfigurationServiceImpl.java,com.folib.job.cron.services.impl.CronTaskConfigurationServiceImpl,class,12,13,1,12,7,1,0,14,0,0.40000004,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,3,1,0,1,0,0,36,3,1,0,0,0,4,0,3,0,6,2,0,0,0,36,0,4
/tmp/ck-analysis/BoCloud_folib/folib-commons/folib-commons-core/src/main/java/com/folib/enums/UnionRepositorySyncTypeEnum.java,com.folib.enums.UnionRepositorySyncTypeEnum,enum,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,21,1,0
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/domain/adapter/jfrog/DockerBlobsInfo.java,com.folib.domain.adapter.jfrog.DockerBlobsInfo,class,4,5,1,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,1,0
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-layout-providers/folib-rpm-layout-provider/src/main/java/com/folib/metadata/indexer/xml/Package.java,com.folib.metadata.indexer.xml.Package,class,9,14,5,9,5,1,0,3,0,0.7692308,0.0,0.0,2,0,2,0,0,0,2,0,0,0,13,0,0,13,0,0,0,0,4,24,4,0,3,0,0,0,0,1,0,14,1,0,0,0,31,1,0
/tmp/ck-analysis/BoCloud_folib/folib-api/folib-rest-client/src/main/java/com/folib/vo/BatchDownload.java,com.folib.vo.BatchDownload,class,4,5,1,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0
/tmp/ck-analysis/BoCloud_folib/folib-web-core/src/main/java/com/folib/scanner/vulnerability/ManagedHttpClientFactory.java,com.folib.scanner.vulnerability.ManagedHttpClientFactory$Anonymous1,anonymous,5,5,0,5,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,11,-1,0
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-storage-api/src/main/java/com/folib/domain/ArtifactEntity.java,com.folib.domain.ArtifactEntity$ArtifactEntityArchiveListing,innerclass,1,1,0,1,2,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,1,0,1,0,0,0,1,9,1,0
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-layout-providers/folib-debian-layout-provider/src/main/java/com/folib/indexer/DebianGroupHelper.java,com.folib.indexer.DebianGroupHelper,class,12,15,3,12,10,1,0,25,20,0.6875,0.0,0.0,8,0,1,2,0,5,6,0,0,0,2,0,0,2,0,0,2,0,1,69,2,0,0,2,0,9,0,14,1,21,2,0,0,5,66,1,5
/tmp/ck-analysis/BoCloud_folib/folib-storage/folib-storage-core/src/main/java/com/folib/configuration/Configuration.java,com.folib.configuration.Configuration,class,28,45,17,28,56,1,0,74,626,0.94444436,0.0,0.0,37,0,27,10,0,0,27,0,0,0,18,0,0,18,0,0,16,0,12,195,39,3,14,0,3,2,0,32,1,39,2,0,0,9,73,1,0
