file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/CaffeineMC_sodium/common/src/api/java/net/caffeinemc/mods/sodium/api/config/option/OptionFlag.java,net.caffeinemc.mods.sodium.api.config.option.OptionFlag,enum,1,10,9,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,2,0,1,1,1,0,0,0,0,74,1,0
/tmp/ck-analysis/CaffeineMC_sodium/frapi/src/main/java/net/caffeinemc/mods/sodium/client/render/frapi/render/ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,innerclass,3,3,0,3,2,2,0,2,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/gui/options/control/ExternalButtonControl.java,net.caffeinemc.mods.sodium.client.gui.options.control.ExternalButtonControl,class,10,13,3,10,6,3,0,7,4,0.6,0.0,0.0,5,1,5,0,0,0,5,0,0,0,3,1,1,2,0,0,3,0,0,71,5,0,0,0,0,2,0,4,0,4,1,0,1,0,34,1,0
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/render/chunk/vertex/builder/ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,class,6,13,7,6,18,1,0,19,0,0.63095236,0.0,0.0,12,0,9,3,0,0,9,0,0,0,7,0,0,7,0,0,3,0,2,65,3,0,4,0,1,2,8,11,9,7,1,0,0,0,49,1,0
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/gui/widgets/OptionListWidget.java,net.caffeinemc.mods.sodium.client.gui.widgets.OptionListWidget$HeaderWidget,innerclass,10,10,0,10,5,2,0,13,6,0.6,0.0,0.0,5,0,4,0,1,0,5,0,0,0,4,0,0,0,0,4,4,0,0,27,3,0,0,0,0,0,1,5,4,4,0,0,0,0,35,1034,0
/tmp/ck-analysis/CaffeineMC_sodium/neoforge/src/mod/java/net/caffeinemc/mods/sodium/neoforge/render/ForgeColorProviders.java,net.caffeinemc.mods.sodium.neoforge.render.ForgeColorProviders$ForgeFluidAdapter,innerclass,9,9,0,9,3,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,13,1,0,1,0,0,0,2,1,0,1,1,0,0,0,18,10,0
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/gui/SodiumConfigBuilder.java,net.caffeinemc.mods.sodium.client.gui.SodiumConfigBuilder$FullscreenMode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/tmp/ck-analysis/CaffeineMC_sodium/common/src/api/java/net/caffeinemc/mods/sodium/api/config/structure/StatefulOptionBuilder.java,net.caffeinemc.mods.sodium.api.config.structure.StatefulOptionBuilder,interface,10,15,5,10,15,1,0,0,105,0.0,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1,0
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/config/builder/OptionBuilderImpl.java,net.caffeinemc.mods.sodium.client.config.builder.OptionBuilderImpl,class,12,21,9,12,16,1,0,16,62,0.8269231,0.0,0.0,13,0,5,0,0,8,13,2,0,0,4,0,0,3,0,1,1,0,0,63,10,0,3,0,0,6,0,8,0,6,1,0,0,0,43,1025,0
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/util/GameRendererStorage.java,net.caffeinemc.mods.sodium.client.util.GameRendererStorage,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
