file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/CaffeineMC_sodium/common/src/api/java/net/caffeinemc/mods/sodium/api/config/option/OptionFlag.java,net.caffeinemc.mods.sodium.api.config.option.OptionFlag,getId/0,false,42,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/tmp/ck-analysis/CaffeineMC_sodium/frapi/src/main/java/net/caffeinemc/mods/sodium/client/render/frapi/render/ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,(initializer 1),false,65,1,16,0,16,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,false
/tmp/ck-analysis/CaffeineMC_sodium/frapi/src/main/java/net/caffeinemc/mods/sodium/client/render/frapi/render/ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,emitDirectly/0,false,72,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/gui/options/control/ExternalButtonControl.java,net.caffeinemc.mods.sodium.client.gui.options.control.ExternalButtonControl,"formatExternalButtonText/2[boolean,net.caffeinemc.mods.sodium.client.gui.ColorTheme]",false,46,2,2,2,0,2,6,11,2,1,2,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,9,0,false
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/gui/options/control/ExternalButtonControl.java,net.caffeinemc.mods.sodium.client.gui.options.control.ExternalButtonControl,"ExternalButtonControl/2[net.caffeinemc.mods.sodium.client.config.structure.ExternalButtonOption,java.util.function.Consumer<net.caffeinemc.mods.sodium.client.gui.options.control.Screen>]",true,26,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/gui/options/control/ExternalButtonControl.java,net.caffeinemc.mods.sodium.client.gui.options.control.ExternalButtonControl,getMaxWidth/0,false,42,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/gui/options/control/ExternalButtonControl.java,net.caffeinemc.mods.sodium.client.gui.options.control.ExternalButtonControl,getOption/0,false,32,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/gui/options/control/ExternalButtonControl.java,net.caffeinemc.mods.sodium.client.gui.options.control.ExternalButtonControl,"createElement/4[net.caffeinemc.mods.sodium.client.gui.options.control.Screen,net.caffeinemc.mods.sodium.client.gui.options.control.AbstractOptionList,net.caffeinemc.mods.sodium.client.gui.options.control.Dim2i,net.caffeinemc.mods.sodium.client.gui.ColorTheme]",false,37,6,1,0,1,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/render/chunk/vertex/builder/ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,destroy/0,false,80,0,1,1,0,2,2,6,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,false
/tmp/ck-analysis/CaffeineMC_sodium/common/src/main/java/net/caffeinemc/mods/sodium/client/render/chunk/vertex/builder/ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,"writeExternal/4[java.nio.ByteBuffer,int,net.caffeinemc.mods.sodium.client.render.chunk.vertex.format.ChunkVertexEncoder.Vertex[],net.caffeinemc.mods.sodium.client.render.chunk.terrain.material.Material]",false,50,3,3,1,2,1,3,3,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,false
