file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/DependencyTrack_dependency-track/src/test/java/org/dependencytrack/auth/PermissionsTest.java,org.dependencytrack.auth.PermissionsTest,class,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,28,1,0,0,0,0,0,0,0,6,0,0
/tmp/ck-analysis/DependencyTrack_dependency-track/src/test/java/org/dependencytrack/tasks/repositories/NixpkgsMetaAnalyzerTest.java,org.dependencytrack.tasks.repositories.NixpkgsMetaAnalyzerTest,class,4,4,0,4,1,1,0,8,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,3,0,3,0,0,0,0,15,0,0
/tmp/ck-analysis/DependencyTrack_dependency-track/src/main/java/org/dependencytrack/parser/epss/EpssParser.java,org.dependencytrack.parser.epss.EpssParser,class,4,6,2,4,7,1,0,17,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,36,1,2,1,3,0,5,4,9,1,9,5,0,0,0,42,17,2
/tmp/ck-analysis/DependencyTrack_dependency-track/src/main/java/org/dependencytrack/tasks/repositories/ComposerMetaAnalyzer.java,org.dependencytrack.tasks.repositories.ComposerMetaAnalyzer,class,13,15,2,13,65,2,0,73,71,0.85714287,0.0,0.0,14,2,3,10,0,1,4,0,0,0,4,4,0,4,0,0,4,0,6,278,30,1,10,4,0,71,3,58,4,62,5,0,0,9,203,1,19
/tmp/ck-analysis/DependencyTrack_dependency-track/src/test/java/org/dependencytrack/event/FortifySscUploadEventTest.java,org.dependencytrack.event.FortifySscUploadEventTest,class,3,3,0,3,2,1,0,4,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,15,0,0
/tmp/ck-analysis/DependencyTrack_dependency-track/src/main/java/org/dependencytrack/tasks/scanners/AbstractVulnerableSoftwareAnalysisTask.java,org.dependencytrack.tasks.scanners.AbstractVulnerableSoftwareAnalysisTask,class,14,16,2,14,61,2,1,68,33,0.6,0.0,0.0,10,2,0,8,2,0,2,0,0,0,1,0,0,1,0,0,1,0,16,156,19,4,26,2,2,9,2,19,0,15,4,0,0,0,129,1025,6
/tmp/ck-analysis/DependencyTrack_dependency-track/src/test/java/org/dependencytrack/search/VulnerableSoftwareIndexerTest.java,org.dependencytrack.search.VulnerableSoftwareIndexerTest,class,7,8,1,7,6,2,0,27,15,0.0,0.0,0.0,6,1,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,6,57,0,0,0,0,0,16,13,5,0,5,1,0,0,2,21,0,0
/tmp/ck-analysis/DependencyTrack_dependency-track/src/main/java/org/dependencytrack/upgrade/v4120/v4120Updater.java,org.dependencytrack.upgrade.v4120.v4120Updater,class,5,7,2,5,22,2,0,43,6,0.33333334,0.0,0.0,9,2,2,7,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,147,2,1,1,9,0,20,22,31,0,26,3,0,0,0,96,1,9
/tmp/ck-analysis/DependencyTrack_dependency-track/src/test/java/org/dependencytrack/resources/v1/TagResourceTest.java,org.dependencytrack.resources.v1.TagResourceTest,class,20,20,0,20,71,3,0,74,0,0.0,0.0,0.0,64,0,0,0,0,64,64,0,0,0,1,1,1,0,0,0,0,0,89,910,0,7,0,0,5,371,98,189,62,202,1,0,0,19,101,0,0
/tmp/ck-analysis/DependencyTrack_dependency-track/src/main/java/org/dependencytrack/tasks/ClearComponentAnalysisCacheTask.java,org.dependencytrack.tasks.ClearComponentAnalysisCacheTask,class,7,8,1,7,3,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,18,0,0,0,1,0,3,0,5,0,5,2,0,0,0,41,1,3
