file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/Dimezis_BlurView/app/src/main/java/com/eightbitlab/blurview_sample/MainActivity.java,com.eightbitlab.blurview_sample.MainActivity$Page,enum,1,1,0,1,3,1,0,0,1,0.33333334,0.0,0.0,3,0,0,0,0,3,3,1,0,0,1,0,0,1,0,0,0,0,0,24,1,0,0,0,0,3,0,1,0,1,0,3,0,0,17,0,0
/tmp/ck-analysis/Dimezis_BlurView/library/src/main/java/eightbitlab/com/blurview/RenderScriptBlur.java,eightbitlab.com.blurview.RenderScriptBlur,class,11,14,3,11,13,1,0,16,13,0.69047624,0.0,0.0,7,0,6,1,0,0,6,0,1,0,6,0,0,6,0,0,3,0,1,53,4,0,4,1,0,2,5,9,0,7,3,0,0,0,66,1,0
/tmp/ck-analysis/Dimezis_BlurView/library/src/main/java/eightbitlab/com/blurview/BlurView.java,eightbitlab.com.blurview.BlurView,class,17,21,4,17,27,2,0,26,30,0.7,0.0,0.0,20,0,15,2,3,0,18,0,0,0,3,0,0,2,0,1,0,0,0,104,8,0,0,0,3,5,3,11,0,6,1,0,0,0,150,1,0
/tmp/ck-analysis/Dimezis_BlurView/library/src/main/java/eightbitlab/com/blurview/BlurViewFacade.java,eightbitlab.com.blurview.BlurViewFacade,interface,4,11,7,4,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0
/tmp/ck-analysis/Dimezis_BlurView/library/src/main/java/eightbitlab/com/blurview/BlurController.java,eightbitlab.com.blurview.BlurController,interface,2,6,4,2,3,1,0,0,3,1.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,2,0,2,0,0,0,0,52,1,0
/tmp/ck-analysis/Dimezis_BlurView/app/src/main/java/com/eightbitlab/blurview_sample/ExampleListAdapter.java,com.eightbitlab.blurview_sample.ExampleListAdapter$Holder,innerclass,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0
/tmp/ck-analysis/Dimezis_BlurView/library/src/main/java/eightbitlab/com/blurview/BlurTarget.java,eightbitlab.com.blurview.BlurTarget,class,9,12,3,9,10,2,0,8,10,0.8,0.0,0.0,5,0,4,0,1,0,6,0,0,0,2,1,0,0,0,2,1,0,0,33,0,0,0,0,0,1,2,3,0,3,1,0,0,0,45,1,0
/tmp/ck-analysis/Dimezis_BlurView/library/src/main/java/eightbitlab/com/blurview/Noise.java,eightbitlab.com.blurview.Noise,class,8,11,3,8,4,1,0,13,1,0.33333334,NaN,NaN,3,3,0,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,2,25,1,0,1,0,0,0,5,6,0,6,1,0,0,0,21,0,0
/tmp/ck-analysis/Dimezis_BlurView/app/src/main/java/com/eightbitlab/blurview_sample/MainActivity.java,com.eightbitlab.blurview_sample.MainActivity$Page$Anonymous3,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/tmp/ck-analysis/Dimezis_BlurView/app/src/main/java/com/eightbitlab/blurview_sample/ExampleListAdapter.java,com.eightbitlab.blurview_sample.ExampleListAdapter,class,7,8,1,7,4,2,0,2,4,0.625,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,1,0,2,0,0,1,0,0,20,2,0,0,0,0,0,1,2,0,2,0,0,1,0,30,1,0
/tmp/ck-analysis/Dimezis_BlurView/library/src/main/java/eightbitlab/com/blurview/SizeScaler.java,eightbitlab.com.blurview.SizeScaler,class,2,6,4,2,11,1,0,4,13,0.7142857,0.0,0.0,7,0,2,2,0,3,5,0,0,0,3,1,0,3,0,0,3,0,2,56,7,0,3,0,1,0,4,7,7,7,1,0,1,0,53,1,0
