file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/DuGuQiuBai_Java/day02/code/04_数据类型/Array2Sum.java,Array2Sum,class,1,1,0,1,3,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,1,15,5,1,4,2,0,0,0,8,0,0
/tmp/ck-analysis/DuGuQiuBai_Java/day20/code/day20_DiGui/src/cn/itcast_02/DiGuiTest.java,cn.itcast_02.DiGuiTest,class,2,3,1,2,6,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,28,2,2,2,0,0,3,19,11,10,6,1,0,0,0,12,1,0
/tmp/ck-analysis/DuGuQiuBai_Java/day16/code/day16_Generic/src/cn/itcast_02/Tool2Test.java,cn.itcast_02.Tool2Test,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,6,0,0,0,0,12,1,0
/tmp/ck-analysis/DuGuQiuBai_Java/day21/code/java/ForTest4.java,ForTest4,class,0,0,0,0,3,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,1,0,8,4,10,4,2,0,0,0,8,0,0
/tmp/ck-analysis/DuGuQiuBai_Java/day21/code/java/ForTest3.java,ForTest3,class,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,4,4,1,2,1,0,0,0,6,0,0
/tmp/ck-analysis/DuGuQiuBai_Java/day17/code/day17_Set_HashSet_TreeSet/src/cn/itcast_06/Person.java,cn.itcast_06.Person,class,1,4,3,1,9,1,0,2,0,0.42857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,30,3,0,2,0,0,0,2,7,2,5,0,0,0,0,13,1,0
/tmp/ck-analysis/DuGuQiuBai_Java/day21/code/java/ForTest6.java,ForTest6,class,0,0,0,0,5,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,3,0,0,2,9,2,4,2,2,0,0,0,6,0,0
/tmp/ck-analysis/DuGuQiuBai_Java/day18/code/day18_Collections/src/cn/itcast_02/Person.java,cn.itcast_02.Person,class,1,5,4,1,7,1,0,0,3,0.5,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,27,3,0,0,0,0,0,0,4,1,2,0,0,0,0,10,1,0
/tmp/ck-analysis/DuGuQiuBai_Java/day21/code/java/ForTest5.java,ForTest5,class,0,0,0,0,5,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,3,0,3,0,17,6,10,6,2,0,0,0,10,0,0
/tmp/ck-analysis/DuGuQiuBai_Java/day24/code/day24_Thread/src/cn/itcast_04/SetThread.java,cn.itcast_04.SetThread,class,1,2,1,1,4,1,0,0,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,22,0,1,1,0,0,2,5,6,1,2,3,0,0,0,8,1,0
/tmp/ck-analysis/DuGuQiuBai_Java/day21/code/java/ForTest2.java,ForTest2,class,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,3,3,1,2,1,0,0,0,6,0,0
/tmp/ck-analysis/DuGuQiuBai_Java/day21/code/day21_IO2/src/cn/itcast_01/InputStreamReaderDemo.java,InputStreamReaderDemo,class,3,3,0,3,2,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,1,1,4,4,0,3,1,0,0,0,13,1,0
