file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/GoogleContainerTools_jib/jib-core/src/main/java/com/google/cloud/tools/jib/filesystem/FileOperations.java,com.google.cloud.tools.jib.filesystem.FileOperations,class,3,3,0,3,5,1,0,9,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,25,0,1,0,0,0,0,0,3,0,4,3,0,0,1,27,1,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-plugins-common/src/main/java/com/google/cloud/tools/jib/plugins/common/BuildStepsExecutionException.java,com.google.cloud.tools.jib.plugins.common.BuildStepsExecutionException,class,0,1,1,0,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-core/src/main/java/com/google/cloud/tools/jib/image/json/DescriptorDigestSerializer.java,com.google.cloud.tools.jib.image.json.DescriptorDigestSerializer,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-core/src/test/java/com/google/cloud/tools/jib/tar/TarExtractorTest.java,com.google.cloud.tools.jib.tar.TarExtractorTest,class,3,3,0,3,6,1,0,28,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,1,0,0,0,1,0,37,61,0,0,0,2,0,41,3,17,0,17,1,0,0,1,45,1,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-plugins-common/src/main/java/com/google/cloud/tools/jib/plugins/common/InvalidAppRootException.java,com.google.cloud.tools.jib.plugins.common.InvalidAppRootException,class,0,5,5,0,2,3,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,22,1,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-core/src/test/java/com/google/cloud/tools/jib/registry/credentials/DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,class,8,9,1,8,13,1,0,35,0,0.5833333,0.0,0.0,12,0,10,2,0,0,10,0,0,0,6,1,0,6,0,0,2,0,24,114,2,0,0,1,0,62,1,28,0,32,1,0,0,0,75,1,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-core/src/main/java/com/google/cloud/tools/jib/builder/ProgressEventDispatcher.java,com.google.cloud.tools.jib.builder.ProgressEventDispatcher$Factory,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-core/src/main/java/com/google/cloud/tools/jib/builder/steps/BuildImageStep.java,com.google.cloud.tools.jib.builder.steps.BuildImageStep,class,13,15,2,13,26,1,0,65,0,0.33333334,0.0,0.0,5,1,1,2,0,2,3,0,0,0,6,1,0,6,0,0,6,0,5,89,4,4,9,1,0,15,6,25,6,25,3,0,0,0,91,0,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-cli/src/test/java/com/google/cloud/tools/jib/cli/war/WarFilesTest.java,com.google.cloud.tools.jib.cli.war.WarFilesTest,class,12,12,0,12,4,1,0,50,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,13,53,0,0,0,0,1,33,7,9,0,13,0,0,0,0,67,1,0
/tmp/ck-analysis/GoogleContainerTools_jib/jib-cli/src/test/java/com/google/cloud/tools/jib/cli/JarTest.java,com.google.cloud.tools.jib.cli.JarTest,class,11,11,0,11,40,1,0,49,780,0.0,0.0,0.0,40,0,39,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,13,286,2,0,0,0,0,229,1,53,2,53,0,0,0,7,135,1,0
