file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/main/java/org/graylog2/system/shutdown/GracefulShutdownService.java,org.graylog2.system.shutdown.GracefulShutdownService,class,7,11,4,7,12,2,0,26,2,0.46666667,0.0,0.0,5,0,2,1,2,0,4,0,0,0,3,1,0,3,0,0,3,0,4,55,2,1,0,2,0,11,2,7,0,9,4,0,0,2,105,1,5
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/main/java/org/graylog2/rest/resources/system/jobs/ServiceManagerResource.java,org.graylog2.rest.resources.system.jobs.ServiceManagerResource,class,11,12,1,11,2,2,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,4,0,1,0,1,0,0,0,0,12,1,0
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/test/java/org/graylog/security/certutil/CaTruststoreImplTest.java,org.graylog.security.certutil.CaTruststoreImplTest,class,10,11,1,10,4,1,0,23,3,0.6666667,NaN,NaN,3,2,0,2,0,1,1,0,0,0,1,1,0,1,0,0,1,0,4,28,2,0,0,1,0,2,2,6,0,7,2,0,0,1,42,0,0
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/main/java/org/graylog/plugins/views/migrations/V20191125144500_MigrateDashboardsToViewsSupport/viewwidgets/SortConfig.java,org.graylog.plugins.views.migrations.V20191125144500_MigrateDashboardsToViewsSupport.viewwidgets.SortConfig,interface,5,13,8,5,7,1,0,1,10,0.8,0.0,0.0,5,0,0,0,0,5,5,0,0,0,3,0,0,0,0,3,0,0,0,19,2,0,0,0,0,4,0,3,1,3,1,0,1,0,27,1,0
/tmp/ck-analysis/Graylog2_graylog2-server/data-node/src/test/java/org/graylog/datanode/integration/DatanodeClusterIT.java,org.graylog.datanode.integration.DatanodeClusterIT,class,18,19,1,18,13,1,0,55,0,0.575,0.0,0.0,8,0,0,3,0,5,5,0,0,0,10,2,0,9,0,1,1,0,12,114,1,0,4,1,0,29,13,29,10,32,2,0,0,4,87,1,3
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/main/java/org/graylog2/migrations/V20251222123500_CreatePipelineMetadata.java,org.graylog2.migrations.V20251222123500_CreatePipelineMetadata,class,17,19,2,17,5,2,0,14,6,0.63333327,0.0,0.0,5,0,4,1,0,0,4,0,0,0,6,1,0,6,0,0,6,0,1,33,1,0,0,0,0,2,0,8,0,8,0,0,0,3,72,1,1
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/main/java/org/graylog2/system/processing/ProcessingStatusConfig.java,org.graylog2.system.processing.ProcessingStatusConfig$Minimum1SecondValidator,innerclass,3,3,0,3,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,3,2,0,1,0,1,0,0,0,16,9,0
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/test/java/org/graylog/plugins/pipelineprocessor/rulebuilder/parser/validation/action/ValidActionTest.java,org.graylog.plugins.pipelineprocessor.rulebuilder.parser.validation.action.ValidActionTest,class,11,11,0,11,2,1,0,16,0,0.16666667,0.0,0.0,2,0,0,0,0,2,2,0,0,0,3,1,1,0,0,2,1,0,1,19,0,0,0,0,0,4,0,7,0,8,0,0,0,0,32,0,0
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/main/java/org/graylog2/security/headerauth/HTTPHeaderAuthConfig.java,org.graylog2.security.headerauth.HTTPHeaderAuthConfig,class,6,10,4,6,4,1,0,4,6,0.8333333,0.0,0.0,4,2,4,0,0,0,4,2,0,0,3,3,0,3,0,0,3,0,2,21,2,0,0,0,0,3,0,3,0,3,0,0,1,0,26,1025,0
/tmp/ck-analysis/Graylog2_graylog2-server/graylog2-server/src/main/java/org/graylog2/contentpacks/model/entities/ViewEntity.java,org.graylog2.contentpacks.model.entities.ViewEntity$Builder,innerclass,15,15,0,15,16,1,0,13,91,0.0,0.0,0.0,14,1,13,0,0,1,14,11,0,0,0,0,0,0,0,0,0,0,3,31,3,0,0,0,0,2,0,0,0,0,1,0,0,0,43,1033,0
