file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/Guardsquare_proguard/examples/gradle-kotlin-dsl/src/test/java/gradlekotlindsl/AppTest.java,gradlekotlindsl.AppTest,testAppHasAGreeting/0,false,10,2,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/gui/src/main/java/proguard/gui/splash/SplashPanel.java,proguard.gui.splash.SplashPanel,"SplashPanel/3[proguard.gui.splash.Sprite,double,long]",true,72,1,2,1,1,1,1,11,0,0,3,1,0,0,0,0,0,1,0,1,3,2,0,1,0,0,42,1,0,true
/tmp/ck-analysis/Guardsquare_proguard/gui/src/main/java/proguard/gui/splash/SplashPanel.java,proguard.gui.splash.SplashPanel,stop/0,false,109,1,2,1,1,3,1,11,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,16,1,0,true
/tmp/ck-analysis/Guardsquare_proguard/gui/src/main/java/proguard/gui/splash/SplashPanel.java,proguard.gui.splash.SplashPanel,start/0,false,92,0,3,3,0,2,2,7,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,8,1,0,true
/tmp/ck-analysis/Guardsquare_proguard/gui/src/main/java/proguard/gui/splash/SplashPanel.java,proguard.gui.splash.SplashPanel,paintComponent/1[java.awt.Graphics],false,135,1,1,0,1,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/gui/src/main/java/proguard/gui/splash/SplashPanel.java,proguard.gui.splash.SplashPanel,"SplashPanel/2[proguard.gui.splash.Sprite,double]",true,57,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
/tmp/ck-analysis/Guardsquare_proguard/gui/src/main/java/proguard/gui/splash/SplashPanel.java,proguard.gui.splash.SplashPanel,main/1[java.lang.String[]],false,203,13,13,0,13,1,12,15,0,5,1,12,1,1,0,0,0,2,3,17,5,4,0,0,0,0,30,9,0,true
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/obfuscate/kotlin/KotlinDefaultImplsMethodNameEqualizer.java,proguard.obfuscate.kotlin.KotlinDefaultImplsMethodNameEqualizer,"visitAnyFunction/3[proguard.obfuscate.kotlin.Clazz,proguard.obfuscate.kotlin.KotlinMetadata,proguard.obfuscate.kotlin.KotlinFunctionMetadata]",false,37,4,2,0,2,2,2,5,0,0,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/SubclassedClassFilter.java,proguard.SubclassedClassFilter,SubclassedClassFilter/1[proguard.ClassVisitor],true,39,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/SubclassedClassFilter.java,proguard.SubclassedClassFilter,visitProgramClass/1[proguard.ProgramClass],false,55,1,0,0,0,2,1,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/SubclassedClassFilter.java,proguard.SubclassedClassFilter,visitAnyClass/1[proguard.Clazz],false,48,1,0,0,0,1,4,3,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/SubclassedClassFilter.java,proguard.SubclassedClassFilter,visitLibraryClass/1[proguard.LibraryClass],false,65,1,0,0,0,2,1,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,visitProgramClass/1[proguard.optimize.gson.ProgramClass],false,94,5,3,0,3,3,4,9,0,3,1,4,1,3,1,0,0,0,0,0,3,0,1,0,0,0,17,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,librarySuperClassCount/1[proguard.optimize.gson.ProgramClass],false,263,4,1,1,0,1,3,5,1,1,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,14,2,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,"handleDomainClass/3[proguard.optimize.gson.ProgramClass,proguard.optimize.gson.ClassVisitor,proguard.optimize.gson.ClassVisitor]",false,112,15,6,1,5,16,14,52,7,3,3,14,3,2,0,7,0,2,19,6,6,12,3,0,0,0,71,2,1,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,"GsonDomainClassFinder/3[proguard.optimize.gson.GsonRuntimeSettings,proguard.optimize.gson.ClassPool,proguard.optimize.gson.WarningPrinter]",true,79,3,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,1,0,true
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,gsonSuperClassCount/1[proguard.optimize.gson.ProgramClass],false,276,4,1,1,0,1,2,5,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,2,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,"note/2[proguard.optimize.gson.ProgramClass,java.lang.String]",false,290,2,2,1,1,3,5,8,0,0,2,5,1,1,0,1,0,0,4,0,0,2,1,0,0,0,20,2,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,visitAnyClass/1[proguard.optimize.gson.Clazz],false,89,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,isKept/1[proguard.optimize.gson.ProgramClass],false,307,2,2,1,1,5,2,8,2,1,1,2,0,0,0,2,0,2,0,2,1,0,1,0,0,0,10,2,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"visitAnyAttribute/2[proguard.optimize.gson.Clazz,proguard.optimize.gson.Attribute]",false,61,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"visitRuntimeInvisibleTypeAnnotationsAttribute/3[proguard.optimize.gson.Clazz,proguard.optimize.gson.Member,proguard.optimize.gson.RuntimeInvisibleTypeAnnotationsAttribute]",false,128,4,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"cleanParameterAnnotationsAttribute/4[proguard.optimize.gson.Clazz,proguard.optimize.gson.Member,proguard.optimize.gson.ParameterAnnotationsAttribute,java.lang.String]",false,178,8,2,2,0,6,3,24,0,7,4,3,0,0,2,2,0,0,0,3,8,0,3,0,0,0,24,2,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"visitRuntimeInvisibleParameterAnnotationsAttribute/3[proguard.optimize.gson.Clazz,proguard.optimize.gson.Method,proguard.optimize.gson.RuntimeInvisibleParameterAnnotationsAttribute]",false,104,4,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"visitRuntimeVisibleParameterAnnotationsAttribute/3[proguard.optimize.gson.Clazz,proguard.optimize.gson.Method,proguard.optimize.gson.RuntimeVisibleParameterAnnotationsAttribute]",false,92,4,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"visitRuntimeVisibleTypeAnnotationsAttribute/3[proguard.optimize.gson.Clazz,proguard.optimize.gson.Member,proguard.optimize.gson.RuntimeVisibleTypeAnnotationsAttribute]",false,116,4,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"visitRuntimeVisibleAnnotationsAttribute/3[proguard.optimize.gson.Clazz,proguard.optimize.gson.Member,proguard.optimize.gson.RuntimeVisibleAnnotationsAttribute]",false,68,4,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"visitRuntimeInvisibleAnnotationsAttribute/3[proguard.optimize.gson.Clazz,proguard.optimize.gson.Member,proguard.optimize.gson.RuntimeInvisibleAnnotationsAttribute]",false,80,4,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,"cleanAnnotationsAttribute/4[proguard.optimize.gson.Clazz,proguard.optimize.gson.Member,proguard.optimize.gson.AnnotationsAttribute,java.lang.String]",false,143,8,4,4,0,4,3,18,0,5,4,3,0,0,1,2,0,0,0,2,5,0,2,0,0,0,17,2,0,false
/tmp/ck-analysis/Guardsquare_proguard/base/src/main/java/proguard/optimize/gson/MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,MarkedAnnotationDeleter/1[java.lang.Object],true,52,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,true
