file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/keyboard/internal/UniqueKeysCache.java,helium314.keyboard.keyboard.internal.UniqueKeysCache$UniqueKeysCacheImpl,setEnabled/1[boolean],false,48,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/keyboard/internal/UniqueKeysCache.java,helium314.keyboard.keyboard.internal.UniqueKeysCache$UniqueKeysCacheImpl,clear/0,false,53,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/keyboard/internal/UniqueKeysCache.java,helium314.keyboard.keyboard.internal.UniqueKeysCache$UniqueKeysCacheImpl,UniqueKeysCacheImpl/0,true,43,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/keyboard/internal/UniqueKeysCache.java,helium314.keyboard.keyboard.internal.UniqueKeysCache$UniqueKeysCacheImpl,getUniqueKey/1[helium314.keyboard.keyboard.Key],false,59,2,0,0,0,3,2,11,3,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,1,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/latin/DictionaryDumpBroadcastReceiver.java,helium314.keyboard.latin.DictionaryDumpBroadcastReceiver,DictionaryDumpBroadcastReceiver/1[helium314.keyboard.latin.LatinIME],true,23,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/latin/DictionaryDumpBroadcastReceiver.java,helium314.keyboard.latin.DictionaryDumpBroadcastReceiver,"onReceive/2[helium314.keyboard.latin.Context,helium314.keyboard.latin.Intent]",false,28,3,1,0,1,3,5,11,1,2,2,5,0,0,0,1,0,0,2,0,2,1,2,0,0,0,29,1,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/keyboard/internal/KeySpecParser.java,helium314.keyboard.keyboard.internal.KeySpecParser$KeySpecParserError,KeySpecParserError/1[java.lang.String],true,240,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/keyboard/emoji/EmojiCategory.java,helium314.keyboard.keyboard.emoji.EmojiCategory,setCurrentCategoryPageId/1[int],false,241,0,1,1,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/keyboard/emoji/EmojiCategory.java,helium314.keyboard.keyboard.emoji.EmojiCategory,canShowFlagEmoji/0,false,360,1,1,1,0,1,1,5,1,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,10,0,false
/tmp/ck-analysis/HeliBorg_HeliBoard/app/src/main/java/helium314/keyboard/keyboard/emoji/EmojiCategory.java,helium314.keyboard.keyboard.emoji.EmojiCategory,isShownCategoryId/1[int],false,187,0,1,1,0,3,0,8,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,11,2,0,false
