file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/modules/decompiler/EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,"eliminateLoops/3[org.jetbrains.java.decompiler.modules.decompiler.stats.RootStatement,org.jetbrains.java.decompiler.struct.StructMethod,org.jetbrains.java.decompiler.struct.StructClass]",false,43,6,5,1,4,3,3,12,1,3,3,3,1,4,1,0,0,0,0,0,3,0,2,0,0,0,31,9,0,true
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/modules/decompiler/EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,eliminateLoopsRec/1[org.jetbrains.java.decompiler.modules.decompiler.stats.Statement],false,61,3,5,2,3,5,3,11,3,0,1,3,2,3,1,1,0,0,0,0,0,0,2,0,0,0,14,10,0,false
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/modules/decompiler/EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,"getMaxBreakLift/4[org.jetbrains.java.decompiler.modules.decompiler.stats.Statement,org.jetbrains.java.decompiler.modules.decompiler.StatEdge,java.util.HashMap<java.lang.Integer,java.lang.Boolean>,org.jetbrains.java.decompiler.modules.decompiler.stats.Statement]",false,187,3,2,1,1,2,1,8,1,2,4,1,1,1,1,1,0,1,0,0,4,0,1,0,0,0,11,10,0,false
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/modules/decompiler/EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,"getNextBreakLift/4[org.jetbrains.java.decompiler.modules.decompiler.stats.Statement,org.jetbrains.java.decompiler.modules.decompiler.StatEdge,java.util.HashMap<java.lang.Integer,java.lang.Boolean>,org.jetbrains.java.decompiler.modules.decompiler.stats.Statement]",false,199,3,7,1,6,7,8,12,2,3,4,8,0,0,1,2,0,0,0,0,4,0,2,0,0,0,11,10,0,false
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/modules/decompiler/EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,findAndReduceRedundantLoop/1[org.jetbrains.java.decompiler.modules.decompiler.stats.DoStatement],false,76,7,18,1,17,29,36,83,6,19,1,36,2,2,10,11,0,1,0,9,21,0,4,0,0,1,33,10,0,false
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/modules/decompiler/EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,"eliminateLoop/2[org.jetbrains.java.decompiler.modules.decompiler.stats.Statement,org.jetbrains.java.decompiler.modules.decompiler.stats.Statement]",false,218,2,12,1,11,3,13,14,0,2,2,13,0,0,1,0,0,0,0,1,2,0,1,0,0,0,9,10,0,false
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/struct/StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"getField/2[java.lang.String,java.lang.String]",false,150,3,8,6,2,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/struct/StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isOwn/0,false,210,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/struct/StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion8/0,false,227,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/JetBrains_fernflower/src/org/jetbrains/java/decompiler/struct/StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,releaseResources/0,false,166,0,1,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
