file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/JingMatrix_LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/LogsFragment.java,org.lsposed.manager.ui.fragment.LogsFragment$LogFragment$LogAdaptor$ViewHolder,innerclass,3,3,0,3,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,0,0
/tmp/ck-analysis/JingMatrix_LSPosed/app/src/main/java/org/lsposed/manager/adapters/ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous5,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/tmp/ck-analysis/JingMatrix_LSPosed/hiddenapi/stubs/src/main/java/android/os/Bundle.java,android.os.Bundle,class,0,42,42,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
/tmp/ck-analysis/JingMatrix_LSPosed/app/src/main/java/org/lsposed/manager/adapters/ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous3,anonymous,5,5,0,5,5,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,4,0,1,1,0,0,0,12,-1,0
/tmp/ck-analysis/JingMatrix_LSPosed/app/src/main/java/org/lsposed/manager/ui/widget/LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,class,9,10,1,9,10,2,0,13,9,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,41,2,0,2,0,1,1,2,13,0,7,4,0,0,0,38,1,0
/tmp/ck-analysis/JingMatrix_LSPosed/app/src/main/java/org/lsposed/manager/adapters/ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous4,anonymous,4,4,0,4,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
/tmp/ck-analysis/JingMatrix_LSPosed/app/src/main/java/org/lsposed/manager/adapters/ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous1,anonymous,5,5,0,5,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,1,1,0,1,0,1,0,0,23,-1,0
/tmp/ck-analysis/JingMatrix_LSPosed/hiddenapi/stubs/src/main/java/android/content/IIntentReceiver.java,android.content.IIntentReceiver$Stub,innerclass,4,4,0,4,2,2,0,0,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1024,0
/tmp/ck-analysis/JingMatrix_LSPosed/hiddenapi/stubs/src/main/java/android/ddm/DdmHandleAppName.java,android.ddm.DdmHandleAppName,class,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/JingMatrix_LSPosed/hiddenapi/stubs/src/main/java/android/app/IApplicationThread.java,android.app.IApplicationThread,interface,3,7,4,3,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0
