file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/main/java/com/lauriewired/GhidraMCPPlugin.java,com.lauriewired.GhidraMCPPlugin$PrototypeResult,isSuccess/0,false,914,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/main/java/com/lauriewired/GhidraMCPPlugin.java,com.lauriewired.GhidraMCPPlugin$PrototypeResult,getErrorMessage/0,false,918,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/main/java/com/lauriewired/GhidraMCPPlugin.java,com.lauriewired.GhidraMCPPlugin$PrototypeResult,"PrototypeResult/2[boolean,java.lang.String]",true,909,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/test/java/com/lauriewired/AppTest.java,com.lauriewired.AppTest,AppTest/1[java.lang.String],true,19,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/test/java/com/lauriewired/AppTest.java,com.lauriewired.AppTest,suite/0,false,27,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/test/java/com/lauriewired/AppTest.java,com.lauriewired.AppTest,testApp/0,false,35,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/main/java/com/lauriewired/GhidraMCPPlugin.java,com.lauriewired.GhidraMCPPlugin,getFunctionByAddress/1[java.lang.String],false,709,4,2,1,1,6,14,14,5,3,1,14,1,1,0,3,1,0,5,0,3,2,2,0,0,0,21,2,0,true
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/main/java/com/lauriewired/GhidraMCPPlugin.java,com.lauriewired.GhidraMCPPlugin,"getFunctionForAddress/2[com.lauriewired.Program,com.lauriewired.Address]",false,786,3,5,5,0,2,3,7,1,1,2,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,19,2,0,true
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/main/java/com/lauriewired/GhidraMCPPlugin.java,com.lauriewired.GhidraMCPPlugin,"renameFunction/2[java.lang.String,java.lang.String]",false,512,2,2,1,1,6,12,30,2,3,2,12,1,1,1,1,2,0,3,0,3,0,5,0,0,1,30,2,2,false
/tmp/ck-analysis/LaurieWired_GhidraMCP/src/main/java/com/lauriewired/GhidraMCPPlugin.java,com.lauriewired.GhidraMCPPlugin,decompileFunctionByName/1[java.lang.String],false,493,5,2,1,1,6,10,18,4,3,1,10,1,1,1,2,0,0,3,1,3,0,3,0,0,0,22,2,0,false
