file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/LawnchairLauncher_lawnchair/wmshell/src/com/android/wm/shell/bubbles/bar/BubbleBarLayerView.java,com.android.wm.shell.bubbles.bar.BubbleBarLayerView$LocationChangeListener,innerclass,7,7,0,7,5,1,0,5,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,16,0,0,1,0,0,0,0,2,0,2,1,0,0,0,18,2,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,class,69,88,19,69,218,1,0,218,734,0.9552723,0.0,0.0,69,0,41,21,1,6,48,0,0,0,58,19,12,45,0,1,41,0,28,824,46,10,34,0,43,18,136,223,94,203,3,2,1,12,457,1,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/tests/tapl/com/android/launcher3/tapl/HomeAppIcon.java,com.android.launcher3.tapl.HomeAppIcon,class,16,29,13,16,14,3,2,28,53,0.8181818,0.0,0.0,11,0,8,0,1,2,11,0,0,0,1,0,0,1,0,0,1,0,7,71,13,1,1,5,0,7,0,18,0,18,2,0,0,4,101,1025,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/wmshell/tests/unittest/src/com/android/wm/shell/recents/RecentsTransitionHandlerTest.java,com.android.wm.shell.recents.RecentsTransitionHandlerTest,class,60,61,1,60,32,2,0,80,0,0.8964496,0.0,0.0,26,0,21,5,0,0,21,0,0,0,26,3,0,26,0,0,3,0,0,298,3,1,2,0,0,5,12,87,0,100,2,0,1,6,184,1,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/quickstep/src/com/android/quickstep/util/TabletHomeToSplitTimings.java,com.android.quickstep.util.TabletHomeToSplitTimings,class,4,6,2,4,7,3,0,3,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,2,0,2,0,0,0,0,0,31,1,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/wmshell/src/com/android/wm/shell/splitscreen/SplitScreenController.java,com.android.wm.shell.splitscreen.SplitScreenController$ISplitScreenImpl$Anonymous3,anonymous,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,-1,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/quickstep/src/com/android/quickstep/inputconsumers/AssistantInputConsumer.java,com.android.quickstep.inputconsumers.AssistantInputConsumer$AssistantGestureListener,innerclass,3,3,0,3,5,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,0,0,1,1,3,0,1,0,0,0,38,2,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/wmshell/src/com/android/wm/shell/splitscreen/SplitScreenController.java,com.android.wm.shell.splitscreen.SplitScreenController$ISplitScreenImpl$Anonymous4,anonymous,7,7,0,7,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,2,0,0,0,1,17,-1,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/systemUI/plugin/src/com/android/systemui/plugins/ViewProvider.java,com.android.systemui.plugins.ViewProvider,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/tmp/ck-analysis/LawnchairLauncher_lawnchair/wmshell/tests/unittest/src/com/android/wm/shell/pip2/phone/PipInteractionHandlerTest.java,com.android.wm.shell.pip2.phone.PipInteractionHandlerTest,class,13,13,0,13,4,1,0,13,0,0.15,0.0,0.0,4,0,4,0,0,0,4,0,0,0,5,0,0,5,0,0,0,0,2,24,0,0,0,0,0,2,3,2,0,5,0,0,0,0,42,1,0
