file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/MinecraftForge_MinecraftForge/src/test_old/java/net/minecraftforge/debug/client/rendering/CustomItemDecorationsTest.java,net.minecraftforge.debug.client.rendering.CustomItemDecorationsTest,CustomItemDecorationsTest/0,true,29,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,message/1[java.util.function.Supplier<java.lang.String>],false,159,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,size/1[int],false,164,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,size/1[java.util.function.IntSupplier],false,165,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,withInline/1[java.lang.Runnable],false,178,1,0,0,0,3,0,3,1,0,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,2,11,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,after/1[net.minecraftforge.fml.ModLoadingState],false,152,2,2,1,1,1,2,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,empty/0,false,170,1,0,0,0,3,0,3,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,7,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,withTransition/1[net.minecraftforge.fml.IModStateTransition],false,174,2,0,0,0,3,0,3,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,10,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,after/1[java.lang.String],false,153,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,"Builder/2[java.lang.String,net.minecraftforge.fml.ModLoadingPhase]",true,147,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/fmlcore/src/main/java/net/minecraftforge/fml/ModLoadingState.java,net.minecraftforge.fml.Builder,message/1[java.lang.String],false,158,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,false
/tmp/ck-analysis/MinecraftForge_MinecraftForge/src/main/java/net/minecraftforge/client/gui/widget/ScrollPanel.java,net.minecraftforge.client.gui.widget.ScrollPanel,"ScrollPanel/8[net.minecraftforge.client.gui.widget.Minecraft,int,int,int,int,int,int,int]",true,88,1,0,0,0,1,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,true
/tmp/ck-analysis/MinecraftForge_MinecraftForge/src/main/java/net/minecraftforge/client/gui/widget/ScrollPanel.java,net.minecraftforge.client.gui.widget.ScrollPanel,"drawPanel/5[net.minecraftforge.client.gui.widget.GuiGraphicsExtractor,int,int,int,int]",false,151,1,1,1,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1028,0,true
/tmp/ck-analysis/MinecraftForge_MinecraftForge/src/main/java/net/minecraftforge/client/gui/widget/ScrollPanel.java,net.minecraftforge.client.gui.widget.ScrollPanel,"extractRenderState/4[net.minecraftforge.client.gui.widget.GuiGraphicsExtractor,int,int,float]",false,248,2,5,1,4,3,7,16,0,4,4,7,4,3,0,0,0,2,0,3,5,17,2,0,0,0,19,1,0,false
