file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/dex/DexUtils.java,io.github.muntashirakon.AppManager.dex.DexUtils,class,24,26,2,24,36,1,0,39,91,0.0,0.0,0.0,14,14,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,153,15,4,4,10,1,6,16,33,4,32,2,0,0,0,100,17,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/editor/CodeEditorViewModel.java,io.github.muntashirakon.AppManager.editor.CodeEditorViewModel,class,23,25,2,23,62,2,0,64,114,0.8812499,0.0,0.0,20,4,16,3,1,0,17,0,0,0,16,5,4,12,0,0,9,0,15,265,20,3,20,8,0,10,7,50,3,47,4,1,0,4,125,1,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/backup/dialog/BackupRestoreDialogFragment.java,io.github.muntashirakon.AppManager.backup.dialog.BackupRestoreDialogFragment$BackupDialogFragmentPagerAdapter,innerclass,3,3,0,3,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/ipc/RemoteShellImpl.java,io.github.muntashirakon.AppManager.ipc.RemoteShellImpl$Anonymous1,anonymous,1,1,0,1,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/compat/ApplicationInfoCompat.java,io.github.muntashirakon.AppManager.compat.ApplicationInfoCompat,class,7,11,4,7,33,1,0,5,120,0.9913194,0.0,0.0,16,16,16,0,0,0,16,0,0,0,36,36,36,0,0,0,36,0,4,105,22,0,12,0,11,1,77,36,31,36,1,0,0,0,292,17,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/session/SessionMonitoringService.java,io.github.muntashirakon.AppManager.session.SessionMonitoringService$Anonymous1,anonymous,3,3,0,3,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,1,0,0,0,2,0,0,3,0,0,2,16,-1,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/logcat/LogViewerActivity.java,io.github.muntashirakon.AppManager.logcat.LogViewerActivity,class,62,69,7,62,98,2,0,184,518,0.93120384,0.0,0.0,37,1,11,15,2,9,22,0,0,0,22,6,5,17,0,0,11,0,38,449,19,3,34,2,2,16,8,72,5,89,4,0,1,21,201,1,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/runner/NormalShell.java,io.github.muntashirakon.AppManager.runner.NormalShell,class,5,6,1,5,6,2,0,12,0,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,1,1,0,0,1,0,0,1,0,0,24,3,1,1,0,0,0,2,7,0,6,1,0,0,0,18,0,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/apk/ApkFile.java,io.github.muntashirakon.AppManager.apk.ApkFile$Entry,innerclass,13,13,0,13,97,1,0,67,179,0.8492063,0.0,0.0,27,0,19,5,0,3,22,0,0,0,14,0,5,9,0,0,6,0,27,295,47,0,32,3,4,22,9,54,4,30,5,0,0,0,202,1,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/test/java/io/github/muntashirakon/AppManager/utils/BitmapRandomizerTest.java,io.github.muntashirakon.AppManager.utils.BitmapRandomizerTest,class,6,7,1,6,14,1,0,19,1,0.5,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,48,1,3,3,1,1,3,7,24,0,22,5,0,0,0,59,1,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/main/java/io/github/muntashirakon/AppManager/compat/NetworkStatsCompat.java,io.github.muntashirakon.AppManager.compat.NetworkStatsCompat,class,8,10,2,8,16,1,0,11,3,0.61904764,0.0,0.0,6,0,3,0,1,2,6,0,0,0,7,0,0,7,0,0,3,0,0,62,3,0,5,2,0,0,1,13,0,9,2,0,0,0,36,1,0
/tmp/ck-analysis/MuntashirAkon_AppManager/app/src/test/java/io/github/muntashirakon/AppManager/backup/BackupManagerTest.java,io.github.muntashirakon.AppManager.backup.BackupManagerTest,class,17,18,1,17,28,1,0,48,0,0.61538464,0.0,0.0,26,0,26,0,0,0,26,0,0,0,4,0,0,4,0,0,1,0,1,316,0,1,1,0,0,89,74,80,0,80,1,0,0,0,60,1,0
/tmp/ck-analysis/MuntashirAkon_AppManager/libcore/ui/src/main/java/io/github/muntashirakon/widget/SearchView.java,io.github.muntashirakon.widget.SearchView,class,19,23,4,19,11,2,0,23,6,0.7291667,0.0,0.0,8,0,7,1,0,0,7,0,0,0,6,1,0,6,0,0,5,0,1,62,1,0,3,0,0,2,4,14,0,12,1,0,0,0,65,1,0
