file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/elasticsearch/search/aggregations/metrics/ParsedHDRPercentileRanks.java,org.elasticsearch.search.aggregations.metrics.ParsedHDRPercentileRanks,getType/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/elasticsearch/search/aggregations/metrics/ParsedHDRPercentileRanks.java,org.elasticsearch.search.aggregations.metrics.ParsedHDRPercentileRanks,"fromXContent/2[org.elasticsearch.search.aggregations.metrics.XContentParser,java.lang.String]",false,32,3,1,0,1,1,2,5,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,9,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/elasticsearch/search/aggregations/metrics/ParsedHDRPercentileRanks.java,org.elasticsearch.search.aggregations.metrics.ParsedHDRPercentileRanks,(initializer 1),false,28,1,15,0,15,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/join/ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"getComparisonFields/3[java.lang.String,java.lang.String,java.util.List<org.nlpcn.es4sql.domain.Condition>]",false,51,4,8,1,7,4,10,21,1,5,3,10,1,1,1,1,0,0,1,0,7,0,2,0,0,0,25,2,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/join/ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,fillSpecificRequestBuilder/1[org.nlpcn.es4sql.query.join.JoinRequestBuilder],false,27,6,6,0,6,1,6,6,0,3,1,6,1,4,0,0,0,1,0,0,3,0,0,0,0,0,18,4,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/join/ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,createSpecificBuilder/0,false,37,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/join/ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"getComparisonFieldsFromWhere/3[java.lang.String,java.lang.String,org.nlpcn.es4sql.domain.Where]",false,100,5,4,1,3,4,3,11,1,1,3,3,1,2,1,0,0,1,1,0,1,0,4,0,0,0,23,2,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/join/ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"getComparisonFields/3[java.lang.String,java.lang.String,org.nlpcn.es4sql.domain.Where]",false,75,3,4,1,3,6,4,21,2,3,3,4,1,3,2,2,0,0,0,0,4,0,2,0,0,0,16,2,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/join/ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,updateRequestWithHints/1[org.nlpcn.es4sql.query.join.JoinRequestBuilder],false,42,4,3,0,3,3,4,8,0,0,1,4,0,0,1,1,0,1,0,0,0,0,2,0,0,0,12,4,0,false
/tmp/ck-analysis/NLPchina_elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/join/ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"removeAlias/2[java.lang.String,java.lang.String]",false,114,0,1,1,0,1,1,3,1,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,2,0,false
