file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/Netflix_maestro/maestro-engine/src/test/java/com/netflix/maestro/engine/db/PropertiesUpdateTypeTest.java,com.netflix.maestro.engine.db.PropertiesUpdateTypeTest,testUpsertTag/0,false,30,3,0,0,0,1,10,19,0,8,0,10,0,0,0,0,0,3,3,0,11,0,0,0,0,0,21,1,0,false
/tmp/ck-analysis/Netflix_maestro/maestro-common/src/test/java/com/netflix/maestro/models/instance/StepAggregatedViewTest.java,com.netflix.maestro.models.instance.StepAggregatedViewTest,testRoundTripSerde/0,false,29,3,1,0,1,2,5,10,0,4,0,5,0,0,1,0,0,0,3,0,4,1,1,0,0,0,20,1,0,false
/tmp/ck-analysis/Netflix_maestro/maestro-common/src/test/java/com/netflix/maestro/models/instance/StepAggregatedViewTest.java,com.netflix.maestro.models.instance.StepAggregatedViewTest,init/0,false,24,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,false
/tmp/ck-analysis/Netflix_maestro/maestro-engine/src/main/java/com/netflix/maestro/engine/metrics/MaestroMetricRepo.java,com.netflix.maestro.engine.metrics.MaestroMetricRepo,"getCounter/3[java.lang.String,java.lang.Class<?>,java.lang.String[]]",false,73,5,55,54,1,1,4,8,2,4,3,4,1,1,0,0,0,0,0,0,2,0,1,0,0,2,10,1,0,true
/tmp/ck-analysis/Netflix_maestro/maestro-engine/src/main/java/com/netflix/maestro/engine/metrics/MaestroMetricRepo.java,com.netflix.maestro.engine.metrics.MaestroMetricRepo,"timer/4[java.lang.String,long,java.lang.Class<?>,java.lang.String[]]",false,140,5,1,0,1,1,5,9,1,5,4,5,1,1,0,0,0,0,0,0,3,0,1,0,0,2,25,1,0,true
/tmp/ck-analysis/Netflix_maestro/maestro-engine/src/main/java/com/netflix/maestro/engine/metrics/MaestroMetricRepo.java,com.netflix.maestro.engine.metrics.MaestroMetricRepo,reset/0,false,52,1,2,2,0,1,2,7,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,true
/tmp/ck-analysis/Netflix_maestro/maestro-engine/src/main/java/com/netflix/maestro/engine/metrics/MaestroMetricRepo.java,com.netflix.maestro.engine.metrics.MaestroMetricRepo,"counter/3[java.lang.String,java.lang.Class<?>,java.lang.String[]]",false,68,1,1,0,1,1,2,3,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
/tmp/ck-analysis/Netflix_maestro/maestro-engine/src/main/java/com/netflix/maestro/engine/metrics/MaestroMetricRepo.java,com.netflix.maestro.engine.metrics.MaestroMetricRepo,"gauge/4[java.lang.String,double,java.lang.Class<?>,java.lang.String[]]",false,94,5,1,0,1,1,5,9,1,5,4,5,1,1,0,0,0,0,0,0,3,0,1,0,0,2,22,1,0,true
/tmp/ck-analysis/Netflix_maestro/maestro-engine/src/main/java/com/netflix/maestro/engine/metrics/MaestroMetricRepo.java,com.netflix.maestro.engine.metrics.MaestroMetricRepo,"distributionSummary/4[java.lang.String,long,java.lang.Class<?>,java.lang.String[]]",false,117,5,1,0,1,1,5,9,1,5,4,5,1,1,0,0,0,0,0,0,3,0,1,0,0,2,21,1,0,true
/tmp/ck-analysis/Netflix_maestro/maestro-engine/src/main/java/com/netflix/maestro/engine/metrics/MaestroMetricRepo.java,com.netflix.maestro.engine.metrics.MaestroMetricRepo,clock/0,false,154,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
