file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/target/test-classes/org/springframework/samples/petclinic/web/VisitControllerTests.java,org.springframework.samples.petclinic.web.VisitControllerTests,class,8,8,0,8,5,1,0,18,0,0.4,0.0,0.0,5,0,0,0,0,5,5,0,0,0,4,1,0,4,0,0,1,0,0,22,0,0,0,0,0,18,1,2,0,4,0,0,0,0,48,0,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-06/src/test/java/com/satish/demo/DemoWorkshopApplicationTests.java,com.stalin.demo.DemoWorkshopApplicationTests,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-33/DevSecOps-CI-CD-Pipeline/src/main/java/org/mybatis/jpetstore/web/actions/CatalogActionBean.java,org.mybatis.jpetstore.web.actions.CatalogActionBean,class,9,11,2,9,30,2,0,10,201,0.88687783,0.0,0.0,26,0,26,0,0,0,26,0,0,0,17,6,0,17,0,0,6,0,0,123,16,0,3,0,0,6,2,33,0,17,1,0,0,0,67,1,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/src/test/java/org/springframework/samples/petclinic/service/AbstractClinicServiceTests.java,AbstractClinicServiceTests,class,11,14,3,11,11,1,3,45,0,0.0,0.0,0.0,11,0,4,0,0,7,11,0,0,0,1,0,0,0,1,0,0,0,0,104,0,0,0,0,0,22,32,32,6,27,0,0,0,0,153,1024,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-38/FullStack-Blogging-App/src/main/java/com/example/twitterapp/model/Post.java,com.example.twitterapp.model.Post,class,6,8,2,6,8,1,0,0,20,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,1,0,4,0,4,0,0,0,0,18,1,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-33/DevSecOps-CI-CD-Pipeline/src/test/java/org/mybatis/jpetstore/mapper/ItemMapperTest.java,org.mybatis.jpetstore.mapper.ItemMapperTest,class,11,11,0,11,4,1,0,28,0,0.375,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,2,0,0,0,0,1,70,0,0,0,0,0,34,35,9,0,11,0,0,0,0,45,0,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-33/DevSecOps-CI-CD-Pipeline/src/test/java/org/mybatis/jpetstore/service/AccountServiceTest.java,org.mybatis.jpetstore.service.AccountServiceTest,class,8,8,0,8,4,1,0,19,0,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,2,0,0,0,0,0,34,0,0,0,0,0,4,0,9,0,11,0,0,0,0,26,0,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceSpringDataJpaTests.java,ClinicServiceSpringDataJpaTests,class,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/src/main/java/org/springframework/samples/petclinic/web/VisitController.java,org.springframework.samples.petclinic.web.VisitController,class,13,14,1,13,7,1,0,7,3,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,31,5,0,0,0,0,12,0,3,0,3,1,0,0,0,72,1,0
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-38/FullStack-Blogging-App/src/main/java/com/example/twitterapp/service/PostService.java,com.example.twitterapp.service.PostService,class,3,4,1,3,3,1,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0
