file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/target/test-classes/org/springframework/samples/petclinic/web/VisitControllerTests.java,org.springframework.samples.petclinic.web.VisitControllerTests,setup/0,false,36,3,2,0,2,1,5,4,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,false
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/target/test-classes/org/springframework/samples/petclinic/web/VisitControllerTests.java,org.springframework.samples.petclinic.web.VisitControllerTests,testInitNewVisitForm/0,false,43,1,0,0,0,1,7,3,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,false
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/target/test-classes/org/springframework/samples/petclinic/web/VisitControllerTests.java,org.springframework.samples.petclinic.web.VisitControllerTests,testProcessNewVisitFormSuccess/0,false,50,1,0,0,0,1,8,3,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,false
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/target/test-classes/org/springframework/samples/petclinic/web/VisitControllerTests.java,org.springframework.samples.petclinic.web.VisitControllerTests,testProcessNewVisitFormHasErrors/0,false,60,1,0,0,0,1,10,3,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,false
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-32/JavaApp-CICD/target/test-classes/org/springframework/samples/petclinic/web/VisitControllerTests.java,org.springframework.samples.petclinic.web.VisitControllerTests,testShowVisits/0,false,70,1,0,0,0,1,9,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,false
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-06/src/test/java/com/satish/demo/DemoWorkshopApplicationTests.java,com.stalin.demo.DemoWorkshopApplicationTests,contextLoads/0,false,12,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-33/DevSecOps-CI-CD-Pipeline/src/main/java/org/mybatis/jpetstore/web/actions/CatalogActionBean.java,org.mybatis.jpetstore.web.actions.CatalogActionBean,setProduct/1[org.mybatis.jpetstore.domain.Product],false,107,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-33/DevSecOps-CI-CD-Pipeline/src/main/java/org/mybatis/jpetstore/web/actions/CatalogActionBean.java,org.mybatis.jpetstore.web.actions.CatalogActionBean,clear/0,false,203,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,1,0,true
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-33/DevSecOps-CI-CD-Pipeline/src/main/java/org/mybatis/jpetstore/web/actions/CatalogActionBean.java,org.mybatis.jpetstore.web.actions.CatalogActionBean,setItemId/1[java.lang.String],false,91,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/NotHarshhaa_DevOps-Projects/DevOps-Project-33/DevSecOps-CI-CD-Pipeline/src/main/java/org/mybatis/jpetstore/web/actions/CatalogActionBean.java,org.mybatis.jpetstore.web.actions.CatalogActionBean,viewCategory/0,false,153,2,2,0,2,2,2,7,1,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,25,1,0,true
