file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/main/java/org/bukkit/craftbukkit/entity/CraftThrownPotion.java,org.bukkit.craftbukkit.entity.CraftThrownPotion,class,11,14,3,11,7,5,2,12,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,26,3,1,0,0,0,0,0,2,0,2,1,0,0,0,24,1025,0
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/test/java/org/bukkit/support/RegistryHelper.java,org.bukkit.support.RegistryHelper,class,18,28,10,18,15,1,0,42,51,0.8181818,0.0,0.0,11,8,9,2,0,0,9,0,0,0,2,2,0,2,0,0,1,0,10,69,7,0,1,2,0,2,0,17,0,14,1,0,0,1,88,17,0
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/main/java/io/papermc/paper/plugin/provider/ProviderStatus.java,io.papermc.paper.plugin.provider.ProviderStatus,enum,1,6,5,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/main/java/org/bukkit/craftbukkit/inventory/components/CraftFoodComponent.java,org.bukkit.craftbukkit.inventory.components.CraftFoodComponent,class,5,8,3,5,18,1,0,14,0,0.071428575,0.0,0.0,14,0,14,0,0,0,14,0,0,0,1,0,0,1,0,0,0,0,3,62,10,0,3,0,0,9,3,13,3,7,1,0,0,0,39,17,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/test/java/org/bukkit/plugin/BukkitTestPlugin.java,org.bukkit.plugin.BukkitTestPlugin,class,13,22,9,13,25,2,0,1,296,0.92,0.0,0.0,25,0,25,0,0,0,25,0,0,0,2,0,0,2,0,0,1,0,0,79,3,0,0,0,0,22,0,3,0,2,0,0,0,0,53,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/org/bukkit/block/TestInstanceBlock.java,org.bukkit.block.TestInstanceBlock,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/generated/java/org/bukkit/craftbukkit/block/impl/CraftWeepingVines.java,org.bukkit.craftbukkit.block.impl.CraftWeepingVines,class,6,6,0,6,4,2,0,2,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/org/bukkit/Location.java,org.bukkit.Location,class,19,61,42,19,134,1,0,75,2394,0.75,0.0,0.0,92,4,92,0,0,0,92,0,0,0,6,0,0,6,0,0,0,0,43,462,94,0,34,1,14,50,38,87,44,33,2,0,0,0,333,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/org/bukkit/help/HelpTopicFactory.java,org.bukkit.help.HelpTopicFactory,interface,4,5,1,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/org/bukkit/block/Shelf.java,org.bukkit.block.Shelf,interface,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/main/java/org/bukkit/craftbukkit/entity/CraftGlowItemFrame.java,org.bukkit.craftbukkit.entity.CraftGlowItemFrame,class,5,5,0,5,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/main/java/org/bukkit/craftbukkit/block/CraftJigsaw.java,org.bukkit.craftbukkit.block.CraftJigsaw,class,6,8,2,6,4,3,0,0,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/org/bukkit/Translatable.java,org.bukkit.Translatable,interface,1,6,5,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/main/java/org/bukkit/craftbukkit/entity/CraftSheep.java,org.bukkit.craftbukkit.entity.CraftSheep,class,8,10,2,8,6,7,0,9,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/io/papermc/paper/datapack/DatapackRegistrar.java,io.papermc.paper.datapack.DatapackRegistrar,interface,11,14,3,11,10,1,0,2,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,0,0,0,2,1,0,1,2,113,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/org/bukkit/entity/Zoglin.java,org.bukkit.entity.Zoglin,interface,2,3,1,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/org/bukkit/material/Hopper.java,org.bukkit.material.Hopper,class,6,8,2,6,25,2,0,7,64,0.875,0.0,0.0,12,0,12,0,0,0,12,0,0,0,2,2,0,0,2,0,2,0,0,73,9,0,2,0,5,3,19,9,1,4,1,0,0,0,82,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/org/bukkit/BanList.java,org.bukkit.BanList$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,35,1,0
/tmp/ck-analysis/PaperMC_Paper/paper-api/src/main/java/io/papermc/paper/chat/ChatRenderer.java,io.papermc.paper.chat.ChatRenderer$Default$ViewerUnaware,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
/tmp/ck-analysis/PaperMC_Paper/paper-server/src/main/java/io/papermc/paper/configuration/GlobalConfiguration.java,io.papermc.paper.configuration.GlobalConfiguration$PacketLimiter,innerclass,10,10,0,10,1,2,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,1,7,0,0,0,0,0,1,4,3,0,3,0,0,0,0,15,1,0
