file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/util/property/DataProperty.java,net.querz.mcaselector.util.property.DataProperty,get/0,false,13,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/util/property/DataProperty.java,net.querz.mcaselector.util.property.DataProperty,DataProperty/1[T],true,9,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/util/property/DataProperty.java,net.querz.mcaselector.util.property.DataProperty,set/1[T],false,17,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/util/property/DataProperty.java,net.querz.mcaselector.util.property.DataProperty,DataProperty/0,true,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/job/SelectionExporter.java,net.querz.mcaselector.io.job.SelectionExporter$MCADeleteSelectionProcessJob,"MCADeleteSelectionProcessJob/4[net.querz.mcaselector.io.RegionDirectories,net.querz.mcaselector.selection.ChunkSet,net.querz.mcaselector.io.WorldDirectories,net.querz.mcaselector.util.progress.Progress]",true,58,4,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,2,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/job/SelectionExporter.java,net.querz.mcaselector.io.job.SelectionExporter$MCADeleteSelectionProcessJob,execute/0,false,66,8,16,0,16,9,19,49,4,6,0,19,0,0,0,1,4,0,8,0,7,0,2,0,0,0,37,1,8,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/version/java_1_20/ChunkFilter_24w10a.java,net.querz.mcaselector.version.java_1_20.ChunkFilter_24w10a$Relocate,"applyOffsetToItem/2[net.querz.mcaselector.version.java_1_20.CompoundTag,net.querz.mcaselector.util.point.Point3i]",false,17,6,5,1,4,10,9,30,2,6,2,9,1,0,1,6,0,0,10,0,6,0,3,0,0,0,20,4,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/version/java_1_15/ChunkFilter_19w36a.java,net.querz.mcaselector.version.java_1_15.ChunkFilter_19w36a$Biomes,"forceBiome/2[net.querz.mcaselector.io.mca.ChunkData,net.querz.mcaselector.version.mapping.registry.BiomeRegistry.BiomeIdentifier]",false,26,5,3,0,3,2,5,8,0,2,2,5,0,0,0,1,0,0,1,1,2,0,1,0,0,0,11,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/version/mapping/util/DebugWorld.java,net.querz.mcaselector.version.mapping.util.DebugWorld,DebugWorld/1[java.nio.file.Path],true,19,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/version/mapping/util/DebugWorld.java,net.querz.mcaselector.version.mapping.util.DebugWorld,generate/1[net.querz.mcaselector.version.mapping.util.MinecraftVersion],false,23,6,9,1,8,11,29,63,1,22,1,29,0,0,0,1,1,1,33,0,23,0,2,0,0,1,45,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,save/1[java.io.RandomAccessFile],false,122,2,3,0,3,7,6,27,1,5,1,6,0,0,1,4,0,2,0,24,7,12,2,0,0,0,21,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,getTimestamp/1[int],false,536,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,getChunkAt/1[net.querz.mcaselector.util.point.Point2i],false,540,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,loadSingleChunk/1[net.querz.mcaselector.util.point.Point2i],false,292,5,11,0,11,6,19,33,2,10,1,19,0,0,0,1,1,2,1,14,11,10,3,0,0,1,28,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,getFile/0,false,528,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,"clone/1[java.util.function.Function<java.io.File,V>]",false,576,4,1,0,1,3,3,10,1,2,1,3,0,0,1,1,0,0,0,1,4,0,2,0,0,0,8,4,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,"setChunkAt/2[net.querz.mcaselector.util.point.Point2i,T]",false,552,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,getChunkIndex/1[net.querz.mcaselector.util.point.Point2i],false,510,1,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,2,0,3,0,2,0,0,0,0,8,2,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,setFile/1[java.io.File],false,518,2,2,0,2,2,2,10,0,1,1,2,0,0,0,0,0,0,2,0,3,1,1,0,0,0,13,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,loadBorderChunks/0,false,337,1,3,0,3,3,6,16,0,4,0,6,0,0,2,0,1,0,0,8,3,4,3,0,0,1,15,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,save/0,false,83,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,isEmpty/0,false,567,0,0,0,0,3,0,8,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,8,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,deleteChunk/1[int],false,560,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,loadHeader/1[java.nio.ByteBuffer],false,269,2,0,0,0,4,3,20,0,3,1,3,0,0,2,0,1,2,0,11,10,2,2,0,0,0,21,2,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,saveWithTempFile/0,false,93,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,"mergeChunksInto/6[net.querz.mcaselector.io.mca.MCAFile<T>,net.querz.mcaselector.util.point.Point3i,boolean,net.querz.mcaselector.selection.ChunkSet,net.querz.mcaselector.selection.ChunkSet,java.util.List<net.querz.mcaselector.util.range.Range>]",false,438,5,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,getChunk/1[int],false,544,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,"setChunk/2[int,T]",false,556,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/Querz_mcaselector/src/main/java/net/querz/mcaselector/io/mca/MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,"saveSingleChunk/2[net.querz.mcaselector.util.point.Point2i,T]",false,382,4,7,0,7,6,10,15,1,1,2,10,0,0,0,2,0,0,1,1,1,0,1,0,0,0,23,1,1,false
