file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/ReactiveX_RxJava/src/test/java/io/reactivex/rxjava4/internal/subscribers/DeferredScalarSubscriberTest.java,io.reactivex.rxjava4.internal.subscribers.DeferredScalarSubscriberTest,class,9,9,0,9,23,3,0,39,153,0.0,0.0,0.0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,290,0,4,2,2,0,4,66,45,0,44,3,6,1,0,58,1,0
/tmp/ck-analysis/ReactiveX_RxJava/src/test/java/io/reactivex/rxjava4/observers/ResourceObserverTest.java,io.reactivex.rxjava4.observers.ResourceObserverTest$TestResourceObserver,innerclass,3,3,0,3,4,2,0,4,6,0.75,0.0,0.0,4,0,3,0,1,0,4,0,0,0,4,0,0,0,0,4,2,0,0,21,0,0,0,0,0,0,0,2,0,4,0,0,0,0,14,24,0
/tmp/ck-analysis/ReactiveX_RxJava/src/test/java/io/reactivex/rxjava4/internal/schedulers/SingleSchedulerTest.java,io.reactivex.rxjava4.internal.schedulers.SingleSchedulerTest,class,13,13,0,13,11,3,0,23,21,0.0,0.0,0.0,7,0,6,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,5,78,1,4,0,0,1,1,18,15,0,16,1,3,0,1,42,1,0
/tmp/ck-analysis/ReactiveX_RxJava/src/main/java/io/reactivex/rxjava4/internal/operators/observable/ObservableTimeout.java,io.reactivex.rxjava4.internal.operators.observable.ObservableTimeout$TimeoutConsumer,innerclass,4,4,0,4,10,2,0,8,9,0.61904764,0.0,0.0,7,0,6,0,0,1,7,0,0,0,3,1,0,1,0,2,3,0,0,41,1,0,3,0,0,0,1,4,0,4,1,0,0,0,30,24,0
/tmp/ck-analysis/ReactiveX_RxJava/src/test/java/io/reactivex/rxjava4/single/SingleSubscribeTest.java,io.reactivex.rxjava4.single.SingleSubscribeTest$Anonymous9,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-1,0
/tmp/ck-analysis/ReactiveX_RxJava/src/main/java/io/reactivex/rxjava4/internal/operators/observable/ObservableSkipLastTimed.java,io.reactivex.rxjava4.internal.operators.observable.ObservableSkipLastTimed$SkipLastTimedObserver,innerclass,6,6,0,6,25,3,0,14,0,0.6931818,0.0,0.0,8,0,6,0,0,2,8,0,0,0,11,1,0,1,0,10,7,0,0,117,6,2,6,0,0,1,5,30,1,27,6,0,0,0,59,24,0
/tmp/ck-analysis/ReactiveX_RxJava/src/test/java/io/reactivex/rxjava4/single/SingleSubscribeTest.java,io.reactivex.rxjava4.single.SingleSubscribeTest$Anonymous8,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/tmp/ck-analysis/ReactiveX_RxJava/src/main/java/io/reactivex/rxjava4/internal/operators/maybe/MaybeEqualSingle.java,io.reactivex.rxjava4.internal.operators.maybe.MaybeEqualSingle,class,8,8,0,8,2,5,0,2,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,3,0,0,0,0,3,3,0,0,98,0,0,0,0,0,0,0,4,0,4,0,0,2,0,34,17,0
/tmp/ck-analysis/ReactiveX_RxJava/src/test/java/io/reactivex/rxjava4/single/SingleSubscribeTest.java,io.reactivex.rxjava4.single.SingleSubscribeTest$Anonymous7,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
/tmp/ck-analysis/ReactiveX_RxJava/src/test/java/io/reactivex/rxjava4/single/SingleSubscribeTest.java,io.reactivex.rxjava4.single.SingleSubscribeTest$Anonymous6,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/tmp/ck-analysis/ReactiveX_RxJava/src/test/java/io/reactivex/rxjava4/single/SingleSubscribeTest.java,io.reactivex.rxjava4.single.SingleSubscribeTest$Anonymous5,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
