file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/RikkaApps_Sui/module/src/main/java/rikka/sui/util/ParcelFileDescriptorUtil.java,rikka.sui.util.ParcelFileDescriptorUtil,class,2,2,0,2,2,2,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,0,0,0,0,4,6,0,6,0,0,1,0,20,1,0
/tmp/ck-analysis/RikkaApps_Sui/module/src/main/java/rikka/sui/resource/SuiApk.java,rikka.sui.resource.SuiApk,class,10,15,5,10,21,1,0,29,33,0.78787875,0.0,0.0,11,2,8,3,0,0,8,0,0,0,6,0,0,6,0,0,2,0,4,106,10,2,2,4,0,17,3,20,1,20,3,0,0,0,54,1,0
/tmp/ck-analysis/RikkaApps_Sui/ui/src/main/java/rikka/sui/util/AppInfoComparator.java,rikka.sui.util.AppInfoComparator$AppInfoProvider,innerclass,3,3,0,3,4,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,12,4,0,1,0,0,0,0,0,0,0,1,0,0,0,13,10,0
/tmp/ck-analysis/RikkaApps_Sui/module/src/main/java/rikka/sui/util/AppNameComparator.java,InfoProvider,interface,2,3,1,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/tmp/ck-analysis/RikkaApps_Sui/ui/src/main/java/rikka/sui/util/AppLabel.java,rikka.sui.util.AppLabel,class,5,7,2,5,2,1,0,8,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,2,2,2,0,0,0,2,0,2,11,2,0,0,0,0,0,2,3,0,3,0,0,0,0,54,1,0
/tmp/ck-analysis/RikkaApps_Sui/module/src/main/java/rikka/sui/systemserver/SystemProcess.java,rikka.sui.systemserver.SystemProcess,class,7,8,1,7,12,1,0,10,1,0.33333334,0.0,0.0,3,3,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,4,44,4,0,5,1,1,2,4,5,0,4,3,0,0,0,33,17,0
/tmp/ck-analysis/RikkaApps_Sui/module/src/main/java/rikka/sui/util/Unsafe.java,Unsafe,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/tmp/ck-analysis/RikkaApps_Sui/module/src/main/java/rikka/sui/shell/Shell.java,rikka.sui.shell.Shell$Anonymous1,anonymous,0,0,0,0,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,-1,0
/tmp/ck-analysis/RikkaApps_Sui/ui/src/main/java/rikka/sui/app/AppFragment.java,rikka.sui.app.AppFragment,class,2,2,0,2,2,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/tmp/ck-analysis/RikkaApps_Sui/module/src/main/java/rikka/sui/settings/SettingsInstrumentation.java,rikka.sui.settings.SettingsInstrumentation$Anonymous1,anonymous,2,2,0,2,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
