file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/equals/EqualsBenchmark.java,org.roaringbitmap.equals.EqualsBenchmark$EqualArrayContainersBenchmarkState,innerclass,7,7,0,7,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,4,0,0,2,18,0,1,0,0,1,8,2,7,1,8,2,0,0,0,17,9,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/aggregation/and/identical/RoaringBitmapBenchmark.java,org.roaringbitmap.aggregation.and.identical.RoaringBitmapBenchmark,class,6,6,0,6,5,1,0,4,0,0.125,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,1,24,3,1,0,0,0,0,4,5,3,5,1,0,0,0,12,1,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,class,15,17,2,15,210,1,0,102,9585,0.9784173,0.0,0.0,139,2,136,2,0,1,137,0,0,0,1,1,1,0,0,0,1,0,32,1796,4,68,2,0,7,2,1156,489,196,469,2,2,0,23,354,1,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/needwork/SlowMappedORaggregate1.java,org.roaringbitmap.needwork.SlowMappedORaggregate1$BenchmarkState,innerclass,7,7,0,7,7,1,0,27,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,2,40,1,3,0,0,0,6,1,14,2,15,2,0,0,0,45,9,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/aggregation/andnot/bestcase/Roaring64BitmapBenchmark.java,org.roaringbitmap.aggregation.andnot.bestcase.Roaring64BitmapBenchmark,class,6,6,0,6,6,1,0,3,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,30,2,3,0,0,0,0,7,6,11,6,1,0,0,0,14,1,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/arraycontainer/AddBenchmark.java,org.roaringbitmap.arraycontainer.AddBenchmark$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,1,1,1,0,0,0,0,7,-1,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/realdata/RealDataBenchmarkCardinality.java,org.roaringbitmap.realdata.RealDataBenchmarkCardinality,class,5,5,0,5,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,2,4,0,3,1,0,0,0,11,1,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/RangeBitmapTest.java,org.roaringbitmap.RangeBitmapTest$ReferenceImplementation,innerclass,3,3,0,3,10,1,0,6,2,0.5,0.0,0.0,4,1,2,1,0,1,3,0,0,0,2,0,0,2,0,0,2,0,1,60,4,1,2,0,2,0,8,7,1,6,2,0,1,0,19,9,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/TestReverseIteratorsOfContainers.java,org.roaringbitmap.TestReverseIteratorsOfContainers,class,10,11,1,10,23,1,0,15,36,0.0,0.0,0.0,9,1,8,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,177,1,14,0,0,4,0,41,58,12,42,2,0,5,0,38,1,0
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/main/java/org/roaringbitmap/ArrayContainer.java,org.roaringbitmap.ArrayContainer,class,20,40,20,20,305,2,0,84,460,0.76785713,0.0,0.0,112,2,94,8,7,3,104,0,0,0,6,4,0,3,1,2,4,0,69,1055,134,37,49,0,88,21,245,273,204,172,3,1,0,0,281,17,0
