file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/equals/EqualsBenchmark.java,org.roaringbitmap.equals.EqualsBenchmark$EqualArrayContainersBenchmarkState,init/0,false,91,4,1,0,1,3,2,12,0,4,0,2,0,0,1,0,0,1,0,2,7,1,2,0,0,0,13,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/aggregation/and/identical/RoaringBitmapBenchmark.java,org.roaringbitmap.aggregation.and.identical.RoaringBitmapBenchmark,justclone/0,false,51,4,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/aggregation/and/identical/RoaringBitmapBenchmark.java,org.roaringbitmap.aggregation.and.identical.RoaringBitmapBenchmark,setup/0,false,22,2,2,0,2,2,1,9,0,2,0,1,0,0,1,0,0,0,0,4,4,3,1,0,0,0,7,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/aggregation/and/identical/RoaringBitmapBenchmark.java,org.roaringbitmap.aggregation.and.identical.RoaringBitmapBenchmark,inplace_and/0,false,42,4,2,0,2,1,2,5,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/jmh/src/jmh/java/org/roaringbitmap/aggregation/and/identical/RoaringBitmapBenchmark.java,org.roaringbitmap.aggregation.and.identical.RoaringBitmapBenchmark,and/0,false,35,4,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testToString/0,false,1329,3,1,0,1,1,4,7,0,1,0,4,1,1,0,0,0,0,1,2,1,1,0,0,0,0,13,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testRandomAddRemove/0,false,1627,3,1,0,1,4,12,22,0,10,0,12,1,1,3,0,0,1,0,7,10,6,2,0,0,0,25,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testClone/0,false,55,2,0,0,0,4,8,32,0,7,0,8,0,0,3,0,0,0,0,10,9,0,1,0,0,0,13,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testMinusOne_Unsigned/0,false,196,5,1,0,1,1,15,21,0,2,0,15,1,1,0,0,0,0,0,21,2,2,0,0,0,0,21,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testSelectOutOfBoundsOtherCardinality/0,false,1537,2,0,0,0,1,4,8,0,1,0,4,0,0,0,0,0,0,0,2,1,0,1,0,0,1,15,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testEmptyFirst/0,false,2556,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testAndSingleBucket/0,false,865,3,1,0,1,1,6,14,0,3,0,6,1,1,0,0,0,0,0,10,3,0,0,0,0,0,17,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testAddRangeEndExcludingNextBitmapFirstLow/0,false,1379,3,1,0,1,1,6,8,0,2,0,6,1,1,0,0,0,0,0,8,2,4,0,0,0,0,20,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testReverseIterator_SingleBuket/0,false,363,4,1,0,1,1,8,11,0,2,0,8,1,1,0,0,0,0,0,4,2,0,0,0,0,0,18,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testAndNot/0,false,1108,3,1,0,1,1,6,12,0,3,0,6,1,1,0,0,0,0,0,8,3,0,0,0,0,0,15,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testAndDisjoint/0,false,905,3,0,0,0,1,6,20,0,8,0,6,0,0,0,0,0,0,0,13,8,0,0,0,0,4,20,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testFlipPriorContainer/0,false,1223,3,1,0,1,1,6,8,0,1,0,6,1,1,0,0,0,0,0,8,1,0,0,0,0,0,13,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testFirstLast_32b/0,false,2566,3,1,0,1,1,5,8,0,1,0,5,1,1,0,0,0,0,0,5,1,0,0,0,0,0,12,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testLongTreatedAsUnsignedOnAdvance/0,false,2217,3,0,0,0,1,5,9,0,2,0,5,0,0,0,0,0,0,0,3,2,3,0,0,0,0,16,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testSerialization/0,false,623,4,2,0,2,1,8,9,0,2,0,8,1,1,0,0,0,0,0,4,2,0,0,0,0,0,16,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testXor/0,false,802,3,1,0,1,1,6,16,0,3,0,6,1,1,0,0,0,0,0,14,3,0,0,0,0,0,15,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testIterator_NextWithoutHasNext_Empty/0,false,274,2,0,0,0,1,4,7,0,1,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,15,1,0,false
/tmp/ck-analysis/RoaringBitmap_RoaringBitmap/roaringbitmap/src/test/java/org/roaringbitmap/longlong/TestRoaring64Bitmap.java,org.roaringbitmap.longlong.TestRoaring64Bitmap,testSerializationMultipleBuckets/0,false,638,4,2,0,2,1,14,23,0,5,0,14,1,1,0,0,0,0,0,14,5,0,0,0,0,0,27,1,0,false
