file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-common/src/main/java/github/javaguide/enums/RpcResponseCodeEnum.java,github.javaguide.enums.RpcResponseCodeEnum,enum,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,0,0,0,2,2,0,0,2,0,0,0,0,18,1,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/serialize/Serializer.java,github.javaguide.serialize.Serializer,interface,3,9,6,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/loadbalance/loadbalancer/ConsistentHashLoadBalanceNew.java,github.javaguide.loadbalance.loadbalancer.ConsistentHashLoadBalanceNew$ConsistentHashingLoadBalancer$HashFunction,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/spring/SpringBeanPostProcessor.java,github.javaguide.spring.SpringBeanPostProcessor,class,13,13,0,13,7,1,0,27,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,2,37,2,1,1,1,0,1,0,10,0,10,3,0,0,0,46,1,1
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/remoting/transport/netty/client/ChannelProvider.java,github.javaguide.remoting.transport.netty.client.ChannelProvider,class,2,3,1,2,7,1,0,8,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,28,2,0,1,0,0,1,0,5,0,5,2,0,0,0,18,1,1
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/test/java/github/javaguide/compress/gzip/GzipCompressTest.java,github.javaguide.compress.gzip.GzipCompressTest,class,6,6,0,6,1,1,0,15,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,6,0,6,0,6,0,0,0,0,15,0,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-common/src/main/java/github/javaguide/extension/Holder.java,github.javaguide.extension.Holder,class,1,3,2,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/test/java/github/javaguide/serialize/kyro/KryoSerializerTest.java,github.javaguide.serialize.kyro.KryoSerializerTest,class,4,4,0,4,1,1,0,17,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,6,0,4,0,4,0,0,0,0,11,0,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/remoting/transport/netty/codec/RpcMessageFrameDecoder.java,github.javaguide.remoting.transport.netty.codec.RpcMessageFrameDecoder,class,1,3,2,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,1,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/config/CustomShutdownHook.java,github.javaguide.config.CustomShutdownHook,class,4,7,3,4,3,1,0,8,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,5,19,1,0,0,1,0,1,0,2,0,2,2,0,0,1,37,1,1
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/registry/zk/util/CuratorUtils.java,github.javaguide.registry.zk.util.CuratorUtils,class,9,14,5,9,23,1,0,38,0,0.71428573,0.0,0.0,8,7,6,2,0,0,6,0,0,0,7,7,1,6,0,0,6,0,3,102,4,0,5,6,0,14,3,18,2,20,3,0,0,2,110,17,8
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/example-server/src/main/java/github/javaguide/serviceimpl/HelloServiceImpl.java,github.javaguide.serviceimpl.HelloServiceImpl,class,4,6,2,4,2,1,0,4,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,6,0,1,1,1,0,0,0,0,8,1,2
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/remoting/handler/RpcRequestHandler.java,github.javaguide.remoting.handler.RpcRequestHandler,class,7,10,3,7,4,1,0,13,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,22,2,0,0,1,0,1,0,4,0,4,1,0,0,0,38,1,1
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/test/java/github/javaguide/registry/ZkServiceRegistryImplTest.java,github.javaguide.registry.ZkServiceRegistryImplTest,class,9,9,0,9,1,1,0,17,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,3,1,7,0,7,0,0,0,0,28,0,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/serialize/kyro/KryoSerializer.java,github.javaguide.serialize.kyro.KryoSerializer$SerializeException,innerclass,0,0,0,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-simple/src/main/java/github/javaguide/serialize/protostuff/ProtostuffSerializer.java,github.javaguide.serialize.protostuff.ProtostuffSerializer,class,5,5,0,5,2,1,0,9,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,20,2,0,0,1,0,0,0,6,0,6,1,0,0,1,23,1,0
/tmp/ck-analysis/Snailclimb_guide-rpc-framework/rpc-framework-common/src/main/java/github/javaguide/enums/RpcErrorMessageEnum.java,github.javaguide.enums.RpcErrorMessageEnum,enum,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,27,1,0
