file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous2,onError/1[Throwable],false,138,2,0,0,0,1,3,5,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous2,onSubscribe/1[Disposable],false,110,2,0,0,0,5,2,8,0,0,1,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,10,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous2,onSuccess/1[ListExtractor.InfoItemsPage<? extends InfoItem>],false,121,4,0,0,0,2,11,9,0,0,1,11,0,0,0,0,0,0,0,0,3,0,1,0,0,0,17,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous1,onSuccess/1[T],false,81,3,0,0,0,2,11,10,0,0,1,11,0,0,0,0,0,0,0,0,4,0,1,0,0,0,18,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous1,onError/1[Throwable],false,99,2,0,0,0,1,3,5,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous1,onSubscribe/1[Disposable],false,71,2,0,0,0,5,2,8,0,0,1,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,10,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"updateFromItem/3[org.schabi.newpipe.local.holder.LocalItem,org.schabi.newpipe.local.history.HistoryRecordManager,java.time.format.DateTimeFormatter]",false,37,2,0,0,0,3,6,16,1,2,3,6,0,0,0,2,0,0,0,0,0,0,2,0,0,2,15,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"PlaylistItemHolder/2[org.schabi.newpipe.local.LocalItemBuilder,org.schabi.newpipe.local.holder.ViewGroup]",true,30,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"PlaylistItemHolder/3[org.schabi.newpipe.local.LocalItemBuilder,int,org.schabi.newpipe.local.holder.ViewGroup]",true,21,2,0,0,0,1,1,7,0,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/settings/DebugSettingsFragment.java,org.schabi.newpipe.settings.DebugSettingsFragment,"onCreatePreferences/2[org.schabi.newpipe.settings.Bundle,java.lang.String]",false,20,7,3,0,3,2,15,43,4,13,2,15,1,1,0,0,0,0,0,0,8,0,2,0,0,5,52,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/settings/DebugSettingsFragment.java,org.schabi.newpipe.settings.DebugSettingsFragment,getBVDLeakCanary/0,false,80,1,1,1,0,2,5,8,2,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,27,2,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,getItemViewMode/1[org.schabi.newpipe.util.Context],false,364,3,3,3,0,5,6,24,1,4,1,6,0,0,0,1,0,0,0,0,8,0,2,0,0,0,23,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,getMinWidthDialogTheme/1[org.schabi.newpipe.util.Context],false,111,3,4,3,1,2,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,"resolveDrawable/2[org.schabi.newpipe.util.Context,int]",false,242,5,2,2,0,1,3,5,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,"resolveColorFromAttr/2[org.schabi.newpipe.util.Context,int]",false,223,3,4,4,0,2,3,8,2,1,2,3,0,0,0,1,0,0,0,1,1,0,1,0,0,0,25,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,"getAndroidDimenPx/2[org.schabi.newpipe.util.Context,java.lang.String]",false,256,2,0,0,0,2,3,7,2,1,2,3,0,0,0,0,0,0,2,2,1,0,1,0,0,0,34,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,"setTitleToAppCompatActivity/2[org.schabi.newpipe.util.Activity,java.lang.CharSequence]",false,287,4,4,4,0,3,2,8,0,1,2,2,0,0,0,1,0,1,0,0,1,0,2,0,0,0,23,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,setTheme/1[org.schabi.newpipe.util.Context],false,59,2,4,3,1,1,1,3,0,0,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,27,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,isLightThemeSelected/1[org.schabi.newpipe.util.Context],false,84,3,8,6,2,1,5,5,1,2,1,5,2,1,0,0,0,1,0,0,2,0,0,0,0,0,26,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,"getThemeForService/2[org.schabi.newpipe.util.Context,int]",false,125,5,4,1,3,11,11,51,4,10,2,11,3,1,0,2,1,0,5,2,18,1,3,0,0,0,36,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,shouldUseGridLayout/1[org.schabi.newpipe.util.Context],false,343,3,3,2,1,2,1,4,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,32,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,getSelectedNightThemeKey/1[org.schabi.newpipe.util.Context],false,271,1,2,2,0,1,3,5,1,2,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,10,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,ThemeHelper/0,true,47,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,getSelectedThemeKey/1[org.schabi.newpipe.util.Context],false,264,1,4,4,0,1,2,5,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,10,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,getDialogTheme/1[org.schabi.newpipe.util.Context],false,100,3,3,2,1,2,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,setDayNightMode/1[org.schabi.newpipe.util.Context],false,319,2,4,2,2,1,2,3,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,"setDayNightMode/2[org.schabi.newpipe.util.Context,java.lang.String]",false,323,2,2,2,0,4,4,12,0,1,2,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,9,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,"getGridSpanCount/2[org.schabi.newpipe.util.Context,int]",false,412,1,2,2,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,29,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,getSettingsThemeStyle/1[org.schabi.newpipe.util.Context],false,184,4,4,1,3,6,6,30,6,6,1,6,3,1,0,0,0,0,0,0,6,0,3,0,0,0,19,9,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,getGridSpanCountStreams/1[org.schabi.newpipe.util.Context],false,397,3,1,0,1,1,3,4,1,1,1,3,1,1,0,0,0,0,0,1,1,2,0,0,0,0,38,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,isDeviceDarkThemeEnabled/1[org.schabi.newpipe.util.Context],false,306,1,3,3,0,4,2,11,2,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,getGridSpanCountChannels/1[org.schabi.newpipe.util.Context],false,354,2,1,0,1,1,3,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,"setTheme/2[org.schabi.newpipe.util.Context,int]",false,74,2,4,3,1,1,2,3,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,37,9,0,true
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,"initViews/2[org.schabi.newpipe.local.subscription.View,org.schabi.newpipe.local.subscription.Bundle]",false,114,5,2,0,2,5,13,30,0,1,2,13,1,1,0,2,0,0,1,1,4,0,2,0,0,0,36,4,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,setInfoText/1[java.lang.String],false,212,0,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,onCreate/1[org.schabi.newpipe.local.subscription.Bundle],false,81,3,1,0,1,3,5,8,0,0,1,5,1,1,0,1,0,0,1,0,0,0,1,0,0,0,17,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,onResume/0,false,96,1,1,0,1,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,requestImportFileResult/1[org.schabi.newpipe.local.subscription.ActivityResult],false,182,3,1,0,1,4,4,6,0,1,1,4,0,0,0,3,0,0,0,0,1,0,1,0,0,0,8,2,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,initListeners/0,false,150,0,0,0,0,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,onImportFile/0,false,171,2,3,1,2,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,"onCreateView/3[org.schabi.newpipe.local.subscription.LayoutInflater,org.schabi.newpipe.local.subscription.ViewGroup,org.schabi.newpipe.local.subscription.Bundle]",false,105,6,0,0,0,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,setupServiceVariables/0,false,194,1,1,1,0,3,6,16,1,1,0,6,0,0,0,1,1,0,0,1,7,0,2,0,0,0,18,2,0,false
