file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/exception/ConflictException.java,apijson.orm.exception.ConflictException,class,0,4,4,0,3,3,0,0,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,1,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/model/SysColumn.java,apijson.orm.model.SysColumn,class,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,18,1,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/exception/UnsupportedDataTypeException.java,apijson.orm.exception.UnsupportedDataTypeException,class,0,6,6,0,2,4,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,class,2,5,3,2,16,1,0,1,102,0.8828125,0.0,0.0,16,0,16,0,0,0,16,0,0,0,8,1,0,8,0,0,1,0,0,66,14,0,0,0,0,0,1,8,0,8,0,0,0,0,32,1,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,interface,12,27,15,12,180,1,0,12,15225,1.0,0.0,0.0,175,1,2,0,0,173,175,0,0,0,42,0,0,0,0,42,0,0,6,241,5,1,0,0,1,44,8,50,3,48,1,0,0,0,210,1,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/OnParseCallback.java,apijson.orm.OnParseCallback,class,2,4,2,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1025,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,class,2,21,19,2,191,1,0,68,4490,0.98135525,0.0,0.0,97,96,97,0,0,0,98,0,0,0,47,47,45,2,0,0,46,0,134,563,134,6,37,0,3,85,39,92,18,61,3,0,0,0,145,1,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/script/JavaScriptExecutor.java,apijson.orm.script.JavaScriptExecutor,class,5,5,0,5,3,2,0,0,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/AbstractObjectParser.java,apijson.orm.AbstractObjectParser,class,28,29,1,28,309,1,0,173,457,0.87701863,0.0,0.0,46,0,46,0,0,0,46,0,0,0,35,1,0,8,27,0,8,0,80,883,44,9,143,6,28,167,57,227,52,164,8,0,0,0,219,1025,0
/tmp/ck-analysis/Tencent_APIJSON/APIJSONORM/src/main/java/apijson/orm/AbstractParser.java,apijson.orm.AbstractParser$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
