file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/test/java/org/java_websocket/server/WebSocketServerTest.java,org.java_websocket.server.WebSocketServerTest,testGetPort/0,false,132,4,5,0,5,1,6,11,0,3,0,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,18,1,0,false
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/test/java/org/java_websocket/server/WebSocketServerTest.java,org.java_websocket.server.WebSocketServerTest,testGetAddress/0,false,113,4,3,0,3,1,3,6,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,1,0,false
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/test/java/org/java_websocket/server/WebSocketServerTest.java,org.java_websocket.server.WebSocketServerTest,testGetDrafts/0,false,121,6,3,0,3,1,5,8,0,4,0,5,0,0,0,0,0,0,0,5,4,0,0,0,0,0,20,1,0,false
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/test/java/org/java_websocket/server/WebSocketServerTest.java,org.java_websocket.server.WebSocketServerTest,testBroadcast/0,false,153,4,4,0,4,8,6,45,0,1,0,6,0,0,0,0,7,0,9,3,1,0,1,0,0,0,19,1,0,false
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/test/java/org/java_websocket/server/WebSocketServerTest.java,org.java_websocket.server.WebSocketServerTest,testMaxPendingConnections/0,false,145,3,3,0,3,1,3,6,0,1,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,11,1,0,false
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/test/java/org/java_websocket/server/WebSocketServerTest.java,org.java_websocket.server.WebSocketServerTest,testConstructor/0,false,50,6,2,0,2,9,2,53,0,11,0,2,0,0,0,0,8,0,8,7,11,0,1,0,0,0,23,1,0,false
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/main/java/org/java_websocket/client/DnsResolver.java,org.java_websocket.client.DnsResolver,resolve/1[java.net.URI],false,39,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,true
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/main/example/ServerStressTest.java,ServerStressTest$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,72,1,3,0,3,1,4,20,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,16,1,0,false
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/test/java/org/java_websocket/issues/Issue997Test.java,org.java_websocket.issues.Issue997Test$SSLWebSocketClient,onSetSSLParameters/1[javax.net.ssl.SSLParameters],false,176,0,0,0,0,2,2,6,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,4,0,false
/tmp/ck-analysis/TooTallNate_Java-WebSocket/src/test/java/org/java_websocket/issues/Issue997Test.java,org.java_websocket.issues.Issue997Test$SSLWebSocketClient,onMessage/1[java.lang.String],false,161,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
