file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/gogogo/MainActivity.java,com.zcshou.gogogo.MainActivity$Anonymous10,"onReceive/2[com.zcshou.gogogo.Context,com.zcshou.gogogo.Intent]",false,1159,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/gogogo/FragmentSettings.java,com.zcshou.gogogo.FragmentSettings,"onCreatePreferences/2[com.zcshou.gogogo.Bundle,java.lang.String]",false,39,8,2,0,2,6,17,47,2,16,2,17,1,1,0,4,0,1,12,0,11,1,4,0,0,3,42,1,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/gogogo/FragmentSettings.java,com.zcshou.gogogo.FragmentSettings,setupDecimalEditTextPreference/1[com.zcshou.gogogo.EditTextPreference],false,21,2,1,1,0,3,13,18,2,3,1,13,0,0,0,1,0,0,0,0,0,0,3,0,0,2,10,2,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/gogogo/MainActivity.java,com.zcshou.gogogo.MainActivity$Anonymous11,"onFailure/2[com.zcshou.gogogo.Call,java.io.IOException]",false,1173,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/gogogo/MainActivity.java,com.zcshou.gogogo.MainActivity$Anonymous11,"onResponse/2[com.zcshou.gogogo.Call,okhttp3.Response]",false,1178,13,0,0,0,8,24,55,0,18,2,24,0,0,0,3,1,1,10,1,17,0,6,0,0,3,52,1,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/joystick/ButtonView.java,com.zcshou.joystick.ButtonView,setListener/1[com.zcshou.joystick.ButtonView.ButtonViewClickListener],false,431,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/joystick/ButtonView.java,com.zcshou.joystick.ButtonView,initButtonView/0,false,58,0,3,3,0,51,8,373,0,9,0,8,0,0,0,25,0,0,0,50,100,0,4,0,0,9,21,2,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/joystick/ButtonView.java,com.zcshou.joystick.ButtonView,"ButtonView/3[com.zcshou.joystick.Context,com.zcshou.joystick.AttributeSet,int]",true,33,3,1,0,1,1,3,6,0,0,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/joystick/ButtonView.java,com.zcshou.joystick.ButtonView,"ButtonView/2[com.zcshou.joystick.Context,com.zcshou.joystick.AttributeSet]",true,41,3,1,0,1,1,3,6,0,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/ZCShou_GoGoGo/app/src/main/java/com/zcshou/joystick/ButtonView.java,com.zcshou.joystick.ButtonView,ButtonView/1[com.zcshou.joystick.Context],true,49,2,1,0,1,1,3,6,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
