file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-workflow/src/main/java/org/ruoyi/workflow/service/IFlwDefinitionService.java,org.ruoyi.workflow.service.IFlwDefinitionService,"queryList/2[org.ruoyi.workflow.service.FlowDefinition,org.ruoyi.workflow.service.PageQuery]",false,20,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-workflow/src/main/java/org/ruoyi/workflow/service/IFlwDefinitionService.java,org.ruoyi.workflow.service.IFlwDefinitionService,publish/1[java.lang.Long],false,38,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-workflow/src/main/java/org/ruoyi/workflow/service/IFlwDefinitionService.java,org.ruoyi.workflow.service.IFlwDefinitionService,"exportDef/2[java.lang.Long,org.ruoyi.workflow.service.HttpServletResponse]",false,46,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-workflow/src/main/java/org/ruoyi/workflow/service/IFlwDefinitionService.java,org.ruoyi.workflow.service.IFlwDefinitionService,removeDef/1[java.util.List<java.lang.Long>],false,64,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-workflow/src/main/java/org/ruoyi/workflow/service/IFlwDefinitionService.java,org.ruoyi.workflow.service.IFlwDefinitionService,"unPublishList/2[org.ruoyi.workflow.service.FlowDefinition,org.ruoyi.workflow.service.PageQuery]",false,29,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-workflow/src/main/java/org/ruoyi/workflow/service/IFlwDefinitionService.java,org.ruoyi.workflow.service.IFlwDefinitionService,syncDef/1[java.lang.String],false,72,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-workflow/src/main/java/org/ruoyi/workflow/service/IFlwDefinitionService.java,org.ruoyi.workflow.service.IFlwDefinitionService,"importJson/2[org.ruoyi.workflow.service.MultipartFile,java.lang.String]",false,55,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,"listTools/3[java.lang.String,java.lang.String,java.lang.String]",false,51,3,0,0,0,4,8,15,1,3,3,8,0,0,0,0,0,0,0,0,2,0,1,0,0,1,11,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,queryList/1[org.ruoyi.service.mcp.impl.McpToolBo],false,74,4,1,0,1,1,2,4,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,selectById/1[java.lang.Long],false,80,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,testTool/1[java.lang.Long],false,148,3,2,0,2,3,6,12,3,1,1,6,2,1,0,1,0,0,1,0,1,0,1,0,0,0,10,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,deleteByIds/1[java.util.List<java.lang.Long>],false,117,3,0,0,0,3,10,12,1,4,1,10,0,0,0,1,0,0,1,0,2,0,1,0,0,2,12,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,"updateStatus/2[java.lang.Long,java.lang.String]",false,137,2,0,0,0,1,4,7,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,testBuiltinTool/1[org.ruoyi.service.mcp.impl.McpTool],false,171,2,1,1,0,3,8,15,3,1,1,8,0,0,0,0,1,0,4,1,1,1,2,0,0,0,11,2,1,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,testMcpTool/1[org.ruoyi.service.mcp.impl.McpTool],false,197,2,1,1,0,3,9,15,3,1,1,9,0,0,0,0,1,0,4,1,1,1,2,0,0,0,10,2,1,true
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,insert/1[org.ruoyi.service.mcp.impl.McpToolBo],false,86,3,0,0,0,3,9,11,1,1,1,9,0,0,0,2,0,0,1,0,1,0,1,0,0,0,7,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,update/1[org.ruoyi.service.mcp.impl.McpToolBo],false,100,4,0,0,0,3,8,10,1,2,1,8,0,0,0,1,0,0,1,0,2,0,1,0,0,0,10,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,buildQueryWrapper/1[org.ruoyi.service.mcp.impl.McpToolBo],false,217,3,2,2,0,1,9,6,1,2,1,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/mcp/impl/McpToolServiceImpl.java,org.ruoyi.service.mcp.impl.McpToolServiceImpl,"selectPageList/2[org.ruoyi.service.mcp.impl.McpToolBo,org.ruoyi.service.mcp.impl.PageQuery]",false,44,7,1,0,1,1,3,5,1,2,2,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
/tmp/ck-analysis/ageerle_ruoyi-ai/ruoyi-modules/ruoyi-chat/src/main/java/org/ruoyi/service/knowledge/ResourceLoader.java,org.ruoyi.service.knowledge.ResourceLoader,getContent/1[java.io.InputStream],false,11,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
