file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/alibaba_arthas/core/src/test/java/com/taobao/arthas/core/config/ErrorProperties.java,com.taobao.arthas.core.config.ErrorProperties$IncludeStacktrace,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
/tmp/ck-analysis/alibaba_arthas/labs/cluster-management/native-agent-management-web/src/main/java/com/alibaba/arthas/nat/agent/management/web/server/http/HttpRequestHandler.java,com.alibaba.arthas.nat.agent.management.web.server.http.HttpRequestHandler,class,12,14,2,12,10,2,0,19,1,0.6,0.0,0.0,2,0,1,0,1,0,2,0,0,0,5,1,0,5,0,0,1,0,0,41,0,0,1,0,0,5,0,14,0,8,2,0,0,0,37,1,0
/tmp/ck-analysis/alibaba_arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,class,5,6,1,5,5,1,0,7,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,31,51,1,0,1,0,0,6,0,7,0,7,1,0,0,0,20,1,0
/tmp/ck-analysis/alibaba_arthas/core/src/main/java/com/taobao/arthas/core/command/basic1000/HelpCommand.java,com.taobao.arthas.core.command.basic1000.HelpCommand,class,20,21,1,20,30,2,0,49,53,0.8181818,0.0,0.0,11,0,4,7,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,112,9,6,5,0,0,9,3,21,1,21,4,0,0,0,55,1,0
/tmp/ck-analysis/alibaba_arthas/core/src/main/java/com/taobao/arthas/core/command/view/StackView.java,com.taobao.arthas.core.command.view.StackView,class,3,3,0,3,2,2,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,0,0,0,11,2,7,1,7,1,0,0,0,22,1,0
/tmp/ck-analysis/alibaba_arthas/labs/arthas-grpc-server/src/main/java/com/taobao/arthas/grpc/server/handler/executor/ServerStreamExecutor.java,com.taobao.arthas.grpc.server.handler.executor.ServerStreamExecutor,class,8,8,0,8,4,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,1,0,0,0,1,0,1,1,1,0,0,30,1,0
/tmp/ck-analysis/alibaba_arthas/labs/arthas-jfr-backend/src/main/java/org/example/jfranalyzerbackend/controller/JFRAnalysisController.java,org.example.jfranalyzerbackend.controller.JFRAnalysisController,class,15,16,1,15,11,1,0,18,25,0.72727275,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,1,0,4,0,0,4,0,8,50,10,0,0,0,0,18,0,10,0,10,0,0,0,0,47,1,3
/tmp/ck-analysis/alibaba_arthas/core/src/main/java/com/taobao/arthas/core/util/matcher/GroupMatcher.java,com.taobao.arthas.core.util.matcher.GroupMatcher,interface,3,6,3,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0
/tmp/ck-analysis/alibaba_arthas/memorycompiler/src/main/java/com/taobao/arthas/compiler/CustomJavaFileObject.java,com.taobao.arthas.compiler.CustomJavaFileObject,class,1,5,4,1,16,1,0,8,102,0.78125,0.0,0.0,16,0,16,0,0,0,16,0,0,0,2,0,0,2,0,0,2,0,0,53,8,0,0,0,0,2,1,2,1,2,0,0,0,0,43,1,0
/tmp/ck-analysis/alibaba_arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/spec/McpSchema.java,com.taobao.arthas.mcp.server.protocol.spec.McpSchema$CompleteRequest$PromptReference,innerclass,2,2,0,2,2,2,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,2,0,1,0,1,0,0,0,0,8,9,0
