file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getTestClass/0,false,122,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getDescription/0,false,134,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getSubSuite/0,false,118,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getSuite/0,false,114,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getStop/0,false,106,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getStart/0,false,102,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getTestMethod/0,false,126,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,asDate/1[java.lang.Long],false,138,0,1,1,0,2,6,6,2,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,10,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getDuration/0,false,98,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getName/0,false,130,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getStatus/0,false,94,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getParentSuite/0,false,110,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,CsvExportSuite/1[io.qameta.allure.entity.TestResult],true,79,6,6,0,6,5,12,14,0,1,1,12,1,1,0,4,0,0,5,0,12,0,0,0,0,0,10,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/entity/GroupTime.java,io.qameta.allure.entity.GroupTime,"update/4[T,T,java.util.function.BiFunction<T,T,T>,java.util.function.Consumer<T>]",false,77,1,0,0,0,3,3,5,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,12,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/entity/GroupTime.java,io.qameta.allure.entity.GroupTime,update/1[io.qameta.allure.entity.Time],false,64,3,4,2,2,2,9,11,1,4,1,9,0,0,0,0,0,0,0,3,0,2,1,0,0,2,14,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/entity/GroupTime.java,io.qameta.allure.entity.GroupTime,update/1[io.qameta.allure.entity.Timeable],false,57,2,4,2,2,2,3,6,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/main/java/io/qameta/allure/entity/GroupTime.java,io.qameta.allure.entity.GroupTime,merge/1[io.qameta.allure.entity.GroupTime],false,45,2,3,1,2,2,8,11,1,4,1,8,0,0,0,0,0,0,0,3,0,2,1,0,0,2,16,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-commandline/src/test/java/io/qameta/allure/testdata/TestData.java,TestData,TestData/0,true,27,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-commandline/src/test/java/io/qameta/allure/testdata/TestData.java,TestData,randomString/0,false,31,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-commandline/src/test/java/io/qameta/allure/testdata/TestData.java,TestData,randomPort/0,false,35,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-commandline/src/main/java/io/qameta/allure/command/OpenCommand.java,io.qameta.allure.command.OpenCommand,getHostPortOptions/0,false,52,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-commandline/src/main/java/io/qameta/allure/command/OpenCommand.java,io.qameta.allure.command.OpenCommand,getReportDirectories/0,false,48,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/allure-framework_allure2/plugins/jira-plugin/src/test/java/io/qameta/allure/jira/JiraLaunchExportPluginTest.java,io.qameta.allure.jira.JiraLaunchExportPluginTest,shouldExportLaunchToJira/0,false,48,13,10,0,10,1,31,23,0,17,0,31,0,0,0,0,0,0,2,3,12,0,0,0,0,6,37,0,0,false
/tmp/ck-analysis/allure-framework_allure2/allure-plugin-api/src/test/java/io/qameta/allure/entity/WithSummaryTest.java,io.qameta.allure.entity.WithSummaryTest,shouldCountAttachments/0,false,40,4,3,0,3,1,9,4,0,1,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,0,0,false
