file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/test/java/org/apache/fesod/sheet/converter/ImageData.java,org.apache.fesod.sheet.converter.ImageData,class,8,9,1,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,3,0,1,4,0,0,0,0,11,1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/test/java/org/apache/fesod/sheet/charset/CharsetDataTest.java,org.apache.fesod.sheet.charset.CharsetDataTest$Anonymous1,anonymous,3,3,0,3,3,1,0,5,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,0,0,1,1,2,0,2,0,0,0,0,14,-1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/test/java/org/apache/fesod/sheet/charset/CharsetDataTest.java,org.apache.fesod.sheet.charset.CharsetDataTest$Anonymous2,anonymous,3,3,0,3,3,1,0,9,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,16,0,0,0,0,0,2,4,3,0,3,0,0,0,0,15,-1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/metadata/property/ColumnWidthProperty.java,org.apache.fesod.sheet.metadata.property.ColumnWidthProperty,class,2,5,3,2,6,1,0,1,0,0.25,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,18,3,0,1,0,0,0,1,2,0,1,1,0,0,0,13,1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/converters/WriteConverterContext.java,org.apache.fesod.sheet.converters.WriteConverterContext,class,8,14,6,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/read/processor/AnalysisEventProcessor.java,org.apache.fesod.sheet.read.processor.AnalysisEventProcessor,interface,1,4,3,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/test/java/org/apache/fesod/sheet/fill/annotation/FillAnnotationDataTest.java,org.apache.fesod.sheet.fill.annotation.FillAnnotationDataTest,class,18,19,1,18,11,1,0,47,6,0.6,0.0,0.0,5,1,3,2,0,0,3,0,0,0,4,4,0,4,0,0,0,0,5,76,1,1,4,1,0,13,19,25,3,24,3,0,0,0,66,1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/converters/floatconverter/FloatStringConverter.java,org.apache.fesod.sheet.converters.floatconverter.FloatStringConverter,class,7,8,1,7,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/write/metadata/CollectionRowData.java,org.apache.fesod.sheet.write.metadata.CollectionRowData,class,1,2,1,1,5,1,0,1,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,1,0,0,0,1,1,0,1,0,0,0,0,14,1,0
/tmp/ck-analysis/apache_fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/converters/longconverter/LongStringConverter.java,org.apache.fesod.sheet.converters.longconverter.LongStringConverter,class,7,8,1,7,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
