file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/apache_fory/java/fory-core/src/test/java/org/apache/fory/serializer/ObjectSerializerTest.java,org.apache.fory.serializer.ObjectSerializerTest$2Foo,foo/1[java.lang.String],false,65,0,4,4,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/test/java/org/apache/fory/serializer/UnsignedTest.java,org.apache.fory.serializer.UnsignedTest$Uint64OnlyStruct,hashCode/0,false,729,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/test/java/org/apache/fory/serializer/UnsignedTest.java,org.apache.fory.serializer.UnsignedTest$Uint64OnlyStruct,equals/1[java.lang.Object],false,716,1,0,0,0,7,2,6,3,1,1,2,0,0,0,6,0,0,0,0,1,0,1,0,0,0,16,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/main/java/org/apache/fory/reflect/FieldAccessor.java,org.apache.fory.reflect.FieldAccessor$FloatGetter,get/1[java.lang.Object],false,429,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/main/java/org/apache/fory/reflect/FieldAccessor.java,org.apache.fory.reflect.FieldAccessor$FloatGetter,"FloatGetter/2[java.lang.reflect.Field,org.apache.fory.reflect.ToFloatFunction]",true,422,1,1,1,0,2,2,5,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/main/java/org/apache/fory/resolver/MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,resetRead/0,false,253,2,4,1,3,4,3,18,0,4,0,3,0,0,0,0,0,1,0,4,10,3,1,0,0,0,24,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/main/java/org/apache/fory/resolver/MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,"replaceRef/2[java.lang.Object,java.lang.Object]",false,129,2,3,0,3,2,3,5,0,1,2,3,0,0,0,1,0,0,0,2,1,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/main/java/org/apache/fory/resolver/MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,tryPreserveRefId/1[org.apache.fory.memory.MemoryBuffer],false,175,2,4,0,4,3,4,13,2,1,1,4,2,1,0,2,0,0,0,0,3,0,2,0,0,0,15,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/main/java/org/apache/fory/resolver/MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,hasPreservedRefId/0,false,196,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/apache_fory/java/fory-core/src/main/java/org/apache/fory/resolver/MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,"writeRefOrNull/2[org.apache.fory.memory.MemoryBuffer,java.lang.Object]",false,66,2,5,0,5,4,5,26,3,2,2,5,0,0,0,1,0,0,0,2,3,0,2,0,0,0,27,1,0,false
