file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/apache_incubator-seata/saga/seata-saga-statelang/src/main/java/org/apache/seata/saga/statelang/domain/RecoverStrategy.java,org.apache.seata.saga.statelang.domain.RecoverStrategy,enum,0,8,8,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/tmp/ck-analysis/apache_incubator-seata/rm-datasource/src/test/java/org/apache/seata/rm/datasource/exec/UpdateJoinExecutorTest.java,org.apache.seata.rm.datasource.exec.UpdateJoinExecutorTest,class,15,16,1,15,5,1,0,18,6,0.0,0.0,0.0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,64,4,0,0,1,0,130,108,35,0,37,1,0,0,4,57,1,0
/tmp/ck-analysis/apache_incubator-seata/sqlparser/seata-sqlparser-core/src/main/java/org/apache/seata/sqlparser/struct/TableMetaCache.java,org.apache.seata.sqlparser.struct.TableMetaCache,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
/tmp/ck-analysis/apache_incubator-seata/config/seata-config-apollo/src/test/java/org/apache/seata/config/apollo/ApolloConfigurationTest.java,org.apache.seata.config.apollo.ApolloConfigurationTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/tmp/ck-analysis/apache_incubator-seata/rm-datasource/src/main/java/org/apache/seata/rm/datasource/xa/ExecuteTemplateXA.java,org.apache.seata.rm.datasource.xa.ExecuteTemplateXA,class,6,10,4,6,13,1,0,10,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,59,1,0,0,5,2,8,0,4,3,3,5,0,0,0,43,1,3
/tmp/ck-analysis/apache_incubator-seata/sqlparser/seata-sqlparser-druid/src/test/java/org/apache/seata/sqlparser/druid/postgresql/PostgresqlUpdateRecognizerTest.java,org.apache.seata.sqlparser.druid.postgresql.PostgresqlUpdateRecognizerTest,class,9,9,0,9,9,1,0,19,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,1,0,1,0,0,1,0,0,88,0,2,0,0,0,15,15,44,0,36,2,1,0,2,49,1,0
/tmp/ck-analysis/apache_incubator-seata/saga/seata-saga-statelang/src/test/java/org/apache/seata/saga/statelang/validator/RuleFactoryTest.java,org.apache.seata.saga.statelang.validator.RuleFactoryTest,class,3,3,0,3,3,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,16,0,1,0,0,0,4,0,3,0,3,1,0,0,0,16,1,0
/tmp/ck-analysis/apache_incubator-seata/integration-tx-api/src/main/java/org/apache/seata/integration/tx/api/interceptor/parser/DefaultInterfaceParser.java,org.apache.seata.integration.tx.api.interceptor.parser.DefaultInterfaceParser,class,4,8,4,4,14,1,0,15,4,0.4,0.0,0.0,5,1,3,0,2,0,5,0,0,0,1,1,0,0,1,0,1,0,2,53,4,3,3,0,0,2,0,10,1,8,3,0,1,0,86,1,0
/tmp/ck-analysis/apache_incubator-seata/common/src/main/java/org/apache/seata/common/util/SeataHttpWatch.java,org.apache.seata.common.util.SeataHttpWatch,class,12,15,3,12,22,1,0,25,8,0.6666667,0.0,0.0,9,2,7,2,0,0,7,0,0,0,6,1,0,6,0,0,6,0,2,99,8,0,5,4,1,13,3,15,3,14,3,0,1,0,118,1,3
/tmp/ck-analysis/apache_incubator-seata/server/src/test/java/org/apache/seata/server/lock/redis/RedisLuaLockManagerTest.java,org.apache.seata.server.lock.redis.RedisLuaLockManagerTest,class,6,6,0,6,1,5,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,1,0,0,0,0,1,0,36,1,0
/tmp/ck-analysis/apache_incubator-seata/json-common/src/main/java/org/apache/seata/common/json/impl/JacksonJsonSerializer.java,org.apache.seata.common.json.impl.JacksonJsonSerializer,class,6,9,3,6,27,1,0,19,10,0.6875,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,1,1,3,0,0,4,0,0,96,16,0,7,5,1,10,1,4,0,4,3,0,0,0,43,1,0
/tmp/ck-analysis/apache_incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/AbstractNettyRemoting.java,org.apache.seata.core.rpc.netty.AbstractNettyRemoting$Anonymous1,anonymous,2,2,0,2,4,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,0,1,0,0,0,2,0,3,0,2,3,0,0,0,12,-1,1
/tmp/ck-analysis/apache_incubator-seata/seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/org/apache/seata/spring/boot/autoconfigure/properties/server/store/StoreRedisProperties.java,org.apache.seata.spring.boot.autoconfigure.properties.server.store.StoreRedisProperties$Sentinel,innerclass,3,3,0,3,6,1,0,0,9,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,26,6,0,0,0,0,0,0,3,0,3,0,0,0,0,25,9,0
/tmp/ck-analysis/apache_incubator-seata/core/src/main/java/org/apache/seata/core/rpc/RemotingClient.java,org.apache.seata.core.rpc.RemotingClient,interface,5,9,4,5,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0
/tmp/ck-analysis/apache_incubator-seata/extensions/rpc/seata-brpc/src/test/java/org/apache/seata/integration/brpc/dto/Echo.java,org.apache.seata.integration.brpc.dto.Echo$EchoResponse$Builder,innerclass,14,14,0,14,74,1,0,33,570,0.80625,0.0,0.0,40,1,36,3,1,0,37,0,4,0,4,0,0,4,0,0,0,0,5,298,46,0,14,1,21,6,31,68,0,24,2,0,0,0,80,25,0
/tmp/ck-analysis/apache_incubator-seata/rm-datasource/src/test/java/org/apache/seata/rm/datasource/undo/sqlserver/SqlServerUndoInsertExecutorTest.java,org.apache.seata.rm.datasource.undo.sqlserver.SqlServerUndoInsertExecutorTest,class,19,20,1,19,17,2,0,68,78,0.7254903,0.0,0.0,17,1,15,2,0,0,15,0,0,0,3,1,0,3,0,0,0,0,16,280,2,0,0,0,0,92,31,75,0,76,1,0,0,3,84,1,0
/tmp/ck-analysis/apache_incubator-seata/namingserver/src/main/java/org/apache/seata/namingserver/listener/Watcher.java,org.apache.seata.namingserver.listener.Watcher,class,1,9,8,1,15,1,0,1,71,0.81904775,0.0,0.0,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,0,0,1,62,7,0,0,0,0,0,0,14,1,7,0,0,1,0,24,1,0
/tmp/ck-analysis/apache_incubator-seata/server/src/test/java/org/apache/seata/server/cluster/raft/util/RaftTaskUtilTest.java,org.apache.seata.server.cluster.raft.util.RaftTaskUtilTest,class,4,4,0,4,14,1,0,15,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,103,0,0,0,1,0,15,1,33,0,33,2,0,0,11,66,1,0
/tmp/ck-analysis/apache_incubator-seata/seata-spring-autoconfigure/seata-spring-autoconfigure-core/src/test/java/org/apache/seata/spring/boot/autoconfigure/SeataCoreAutoConfigurationTest.java,org.apache.seata.spring.boot.autoconfigure.SeataCoreAutoConfigurationTest,class,10,10,0,10,4,1,0,10,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,35,0,0,0,0,0,29,0,13,0,14,0,0,0,0,49,1,0
/tmp/ck-analysis/apache_incubator-seata/seata-spring-autoconfigure/seata-spring-autoconfigure-core/src/main/java/org/apache/seata/spring/boot/autoconfigure/properties/registry/RegistryNamingServerProperties.java,org.apache.seata.spring.boot.autoconfigure.properties.registry.RegistryNamingServerProperties,class,3,6,3,3,16,1,0,0,104,0.875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,8,0,0,8,0,0,0,0,0,60,10,0,0,0,0,3,5,14,1,8,0,0,0,0,49,1,0
/tmp/ck-analysis/apache_incubator-seata/serializer/seata-serializer-protobuf/src/main/java/org/apache/seata/serializer/protobuf/manager/ProtobufConvertManager.java,org.apache.seata.serializer.protobuf.manager.ProtobufConvertManager$SingletonHolder,innerclass,88,88,0,88,1,1,0,62,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,94,0,0,0,0,0,0,0,2,0,2,0,0,0,0,38,10,0
/tmp/ck-analysis/apache_incubator-seata/mock-server/src/main/java/org/apache/seata/mockserver/MockServer.java,org.apache.seata.mockserver.MockServer,class,8,13,5,8,10,1,0,29,0,0.44444442,0.0,0.0,3,3,3,0,0,0,3,0,0,0,6,6,2,3,1,0,2,0,8,64,0,0,1,1,0,7,9,12,1,9,3,1,0,0,61,1,3
/tmp/ck-analysis/apache_incubator-seata/core/src/main/java/org/apache/seata/core/exception/HttpRequestFilterException.java,org.apache.seata.core.exception.HttpRequestFilterException,class,0,0,0,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/tmp/ck-analysis/apache_incubator-seata/compatible/src/test/java/io/seata/saga/SagaCostPrint.java,io.seata.saga.SagaCostPrint,class,4,8,4,4,5,1,0,8,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,33,2,0,2,1,2,1,1,6,2,4,1,0,2,1,21,1,0
/tmp/ck-analysis/apache_incubator-seata/seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/test/java/org/apache/seata/spring/boot/autoconfigure/properties/server/store/StorePropertiesTest.java,org.apache.seata.spring.boot.autoconfigure.properties.server.store.StorePropertiesTest,class,4,4,0,4,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,3,0,3,0,0,0,0,7,1,0
