file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/apache_iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/queryengine/plan/planner/plan/node/process/ActiveRegionScanMergeNode.java,org.apache.iotdb.db.queryengine.plan.planner.plan.node.process.ActiveRegionScanMergeNode,class,8,14,6,8,21,4,0,18,0,0.35897437,0.0,0.0,13,1,11,0,2,0,13,0,0,0,3,0,0,3,0,0,3,0,4,70,14,0,5,0,0,4,1,8,2,8,1,0,0,0,54,1,0
/tmp/ck-analysis/apache_iotdb/iotdb-core/consensus/src/main/java/org/apache/iotdb/consensus/IStateMachine.java,org.apache.iotdb.consensus.IStateMachine$EventApi,interface,2,2,0,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
/tmp/ck-analysis/apache_iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/storageengine/dataregion/wal/buffer/WALEntryValue.java,org.apache.iotdb.db.storageengine.dataregion.wal.buffer.WALEntryValue,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
/tmp/ck-analysis/apache_iotdb/integration-test/src/test/java/org/apache/iotdb/db/it/aggregation/IoTDBAggregationByLevel2IT.java,org.apache.iotdb.db.it.aggregation.IoTDBAggregationByLevel2IT,class,3,3,0,3,2,2,0,7,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0
/tmp/ck-analysis/apache_iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/storageengine/dataregion/utils/tableDiskUsageIndex/TableDiskUsageIndex.java,org.apache.iotdb.db.storageengine.dataregion.utils.tableDiskUsageIndex.TableDiskUsageIndex$Operation,innerclass,1,1,0,1,5,1,0,2,6,0.6,0.0,0.0,5,0,4,0,1,0,5,1,0,0,2,0,0,0,2,0,2,0,0,18,3,0,0,0,0,0,0,2,0,2,0,0,0,0,18,1036,0
/tmp/ck-analysis/apache_iotdb/integration-test/src/test/java/org/apache/iotdb/confignode/it/removedatanode/IoTDBRemoveDataNodeUtils.java,org.apache.iotdb.confignode.it.removedatanode.IoTDBRemoveDataNodeUtils,class,8,12,4,8,16,1,0,41,9,0.5,0.0,0.0,6,6,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,1,95,8,2,2,3,0,10,12,8,1,10,5,0,0,5,79,1,8
/tmp/ck-analysis/apache_iotdb/example/udf/src/main/java/org/apache/iotdb/udf/UDAFExample.java,org.apache.iotdb.udf.UDAFExample,class,12,13,1,12,38,1,0,18,53,0.8181818,0.0,0.0,11,0,7,4,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,126,5,4,5,0,0,1,20,23,1,15,2,0,1,0,58,1,0
/tmp/ck-analysis/apache_iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/utils/DateTimeUtils.java,org.apache.iotdb.db.utils.DateTimeUtils,class,11,15,4,11,153,1,0,80,350,0.9488634,0.0,0.0,33,32,31,2,0,0,55,0,0,0,32,32,26,6,0,0,27,0,62,477,54,3,8,2,3,61,111,95,34,70,3,0,1,12,190,1,0
/tmp/ck-analysis/apache_iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/pipe/sink/payload/evolvable/batch/PipeTabletEventBatch.java,org.apache.iotdb.db.pipe.sink.payload.evolvable.batch.PipeTabletEventBatch,class,10,18,8,10,24,1,2,27,0,0.73737377,0.0,0.0,11,0,8,1,2,0,10,1,0,5,9,1,0,5,4,0,6,0,4,94,8,0,3,1,3,1,3,15,2,16,4,0,1,4,109,1025,1
/tmp/ck-analysis/apache_iotdb/iotdb-core/consensus/src/main/java/org/apache/iotdb/consensus/config/IoTConsensusConfig.java,org.apache.iotdb.consensus.config.IoTConsensusConfig$Replication,innerclass,2,2,0,2,16,1,0,0,92,0.875,0.0,0.0,16,1,15,1,0,0,15,0,0,0,14,0,0,14,0,0,14,0,0,152,15,0,0,0,0,0,0,14,0,14,0,0,1,0,48,9,0
/tmp/ck-analysis/apache_iotdb/iotdb-client/subscription/src/main/java/org/apache/iotdb/rpc/subscription/exception/SubscriptionConnectionException.java,org.apache.iotdb.rpc.subscription.exception.SubscriptionConnectionException,class,3,7,4,3,4,8,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,2,0,0,0,0,0,0,0,0,0,17,1,0
/tmp/ck-analysis/apache_iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/queryengine/execution/operator/process/TransformOperator.java,org.apache.iotdb.db.queryengine.execution.operator.process.TransformOperator,class,29,30,1,29,60,1,0,68,20,0.81562495,0.0,0.0,20,0,12,3,5,0,17,0,1,0,16,1,0,2,14,0,8,0,4,249,23,8,14,3,4,5,17,52,7,41,5,0,0,0,123,1,0
/tmp/ck-analysis/apache_iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/service/metrics/WritingMetrics.java,org.apache.iotdb.db.service.metrics.WritingMetrics,class,16,24,8,16,77,1,0,57,1685,0.94610065,0.0,0.0,62,1,52,10,0,0,52,0,0,0,79,46,44,35,0,0,46,0,22,418,11,0,3,0,3,44,5,138,4,101,1,0,0,13,172,1,0
/tmp/ck-analysis/apache_iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/schemaengine/schemaregion/mtree/impl/pbtree/mnode/impl/CachedMeasurementMNode.java,org.apache.iotdb.db.schemaengine.schemaregion.mtree.impl.pbtree.mnode.impl.CachedMeasurementMNode,class,12,14,2,12,9,2,0,6,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,26,5,0,1,0,0,0,0,0,0,0,0,0,0,0,24,1,0
