file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/apache_kafka/streams/src/main/java/org/apache/kafka/streams/state/internals/TimestampedKeyValueStoreBuilder.java,org.apache.kafka.streams.state.internals.TimestampedKeyValueStoreBuilder$InMemoryTimestampedKeyValueStoreMarker,innerclass,15,15,0,15,17,2,0,18,91,0.0,0.0,0.0,14,0,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,53,11,0,0,0,1,4,1,3,2,3,1,0,0,0,56,26,0
/tmp/ck-analysis/apache_kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/ShareConsumerTest.java,org.apache.kafka.clients.consumer.ShareConsumerTest$ClientState,innerclass,0,0,0,0,2,1,0,0,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,0,10,2,0,0,0,0,0,1,2,0,2,0,0,0,0,21,10,0
/tmp/ck-analysis/apache_kafka/clients/src/main/java/org/apache/kafka/clients/consumer/internals/ShareConsumeRequestManager.java,org.apache.kafka.clients.consumer.internals.ShareConsumeRequestManager$AcknowledgeRequestType,enum,0,0,0,0,2,1,0,2,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,3,1,0,1,0,0,0,0,19,1,0
/tmp/ck-analysis/apache_kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/modern/share/ShareGroupBuilder.java,org.apache.kafka.coordinator.group.modern.share.ShareGroupBuilder,class,7,10,3,7,7,1,0,14,5,0.6734695,0.0,0.0,7,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,4,0,5,44,6,0,0,0,0,0,1,11,0,14,0,0,0,3,21,1,0
/tmp/ck-analysis/apache_kafka/clients/src/test/java/org/apache/kafka/common/utils/AbstractIteratorTest.java,org.apache.kafka.common.utils.AbstractIteratorTest$ListIterator,innerclass,2,2,0,2,3,2,0,3,0,0.25,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,1,0,0,11,2,0,0,0,0,0,1,2,0,2,1,0,0,0,10,8,0
/tmp/ck-analysis/apache_kafka/server/src/main/java/org/apache/kafka/server/metrics/ClientTelemetryExporterPlugin.java,org.apache.kafka.server.metrics.ClientTelemetryExporterPlugin,class,7,11,4,7,9,1,0,5,0,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,2,32,2,2,0,0,0,3,0,4,0,4,2,0,0,0,43,1,0
/tmp/ck-analysis/apache_kafka/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/PluginUtils.java,org.apache.kafka.connect.runtime.isolation.PluginUtils,class,9,24,15,9,60,1,0,92,131,0.88888896,0.0,0.0,18,18,13,5,0,0,13,0,0,0,5,5,0,5,0,0,5,0,38,261,24,10,9,6,2,109,8,49,4,46,5,0,1,4,191,1,8
/tmp/ck-analysis/apache_kafka/clients/src/main/java/org/apache/kafka/common/security/scram/internals/ScramCredentialUtils.java,org.apache.kafka.common.security.scram.internals.ScramCredentialUtils,class,5,6,1,5,14,1,0,22,8,0.6,0.0,0.0,5,4,3,2,0,0,3,0,0,0,4,4,0,4,0,0,4,0,10,37,3,2,1,0,0,8,4,12,3,12,2,0,0,0,66,17,0
/tmp/ck-analysis/apache_kafka/streams/src/main/java/org/apache/kafka/streams/TopologyConfig.java,org.apache.kafka.streams.TopologyConfig$TaskConfig,innerclass,3,3,0,3,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,7,0,7,0,0,0,7,0,0,18,0,0,0,0,0,0,0,7,0,7,0,0,0,0,20,9,0
/tmp/ck-analysis/apache_kafka/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/modern/TopicIds.java,org.apache.kafka.coordinator.group.modern.TopicIds,class,3,13,10,3,6,1,0,4,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,0,0,0,2,0,1,1,0,0,0,1,0,38,1,0
