file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/apache_logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/helpers/PatternConverter.java,org.apache.log4j.helpers.PatternConverter,class,3,11,8,3,14,1,12,5,6,0.68,0.0,0.0,5,0,2,0,3,0,5,1,0,0,5,1,1,0,0,4,0,0,0,47,1,2,2,0,2,6,10,12,4,9,3,0,0,0,79,1025,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/convert/TypeConverters.java,org.apache.logging.log4j.core.config.plugins.convert.TypeConverters$FileConverter,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,25,9,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,class,34,35,1,34,43,1,0,61,420,0.9609609,0.0,0.0,37,1,0,6,0,31,31,0,0,0,18,9,0,14,0,4,13,0,8,281,1,5,0,0,1,120,39,88,14,88,1,0,0,0,172,0,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/builders/rolling/TriggeringPolicyBuilder.java,org.apache.log4j.builders.rolling.TriggeringPolicyBuilder,interface,2,5,3,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-layout-template-json/src/main/java/org/apache/logging/log4j/layout/template/json/resolver/EndOfBatchResolverFactory.java,org.apache.logging.log4j.layout.template.json.resolver.EndOfBatchResolverFactory,class,7,8,1,7,4,1,0,2,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,2,14,3,0,0,0,0,1,0,1,0,1,0,0,0,0,22,17,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/config/arbiters/SelectArbiter.java,org.apache.logging.log4j.core.config.arbiters.SelectArbiter$Builder,innerclass,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-api-test/src/test/java/org/apache/logging/log4j/message/StructuredDataMessageTest.java,org.apache.logging.log4j.message.StructuredDataMessageTest,class,2,2,0,2,7,1,0,6,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,64,0,26,1,26,0,0,0,1,58,0,0
/tmp/ck-analysis/apache_logging-log4j2/src/site/antora/modules/ROOT/examples/manual/api/LoggerNameTest.java,com.example.LoggerNameTest,class,5,6,1,5,4,1,0,22,4,0.875,0.0,0.0,4,3,0,0,0,4,4,0,0,0,4,1,0,1,0,3,1,0,0,39,0,0,0,0,0,30,0,6,0,6,0,0,0,0,32,1,15
/tmp/ck-analysis/apache_logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/async/RingBufferLogEvent.java,org.apache.logging.log4j.core.async.RingBufferLogEvent,class,27,37,10,27,69,1,0,56,858,0.9216666,0.0,0.0,48,0,40,7,0,1,41,0,0,0,25,3,1,24,0,0,4,0,8,263,35,1,14,0,3,1,5,53,0,30,2,0,1,0,195,1,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-api-test/src/test/java/org/apache/logging/log4j/status/StatusLoggerPropertiesUtilDoubleTest.java,org.apache.logging.log4j.status.StatusLoggerPropertiesUtilDoubleTest,class,7,8,1,7,7,1,0,20,15,0.8333333,0.0,0.0,6,3,0,2,0,4,4,0,0,0,2,2,0,2,0,0,2,0,6,53,2,0,0,0,0,15,0,8,3,10,1,0,1,4,61,0,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-1.2-api/src/test/java/org/apache/log4j/spi/LocationInfoTest.java,org.apache.log4j.spi.LocationInfoTest,class,4,5,1,4,2,2,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,8,0,6,1,6,0,0,2,0,38,1,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-api/src/main/java/org/apache/logging/log4j/status/StatusConsoleListener.java,org.apache.logging.log4j.status.StatusConsoleListener,class,5,7,2,5,16,1,0,11,0,0.62222224,0.0,0.0,9,1,8,1,0,0,8,0,0,0,5,0,0,5,0,0,3,0,7,78,1,0,5,4,0,6,0,13,0,8,3,0,0,0,94,1,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/convert/TypeConverters.java,org.apache.logging.log4j.core.config.plugins.convert.TypeConverters$UrlConverter,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,9,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/async/AsyncLoggerContextSelectorInitialStateTest.java,org.apache.logging.log4j.core.async.AsyncLoggerContextSelectorInitialStateTest,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,0,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/BasicConfigurationFactory.java,org.apache.logging.log4j.core.test.BasicConfigurationFactory,class,6,6,0,6,3,3,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,0
/tmp/ck-analysis/apache_logging-log4j2/log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/junit/LoggerContextRule.java,org.apache.logging.log4j.core.test.junit.LoggerContextRule$Anonymous1,anonymous,0,0,0,0,3,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,1,1,0,1,0,3,0,0,2,0,0,0,28,-1,1
/tmp/ck-analysis/apache_logging-log4j2/log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataCollectionMessage.java,org.apache.logging.log4j.message.StructuredDataCollectionMessage,class,5,6,1,5,17,1,0,10,0,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,2,0,0,60,6,6,3,0,0,1,4,12,0,10,3,0,0,0,39,1,0
