file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/metrics/flink/CheckPoints.java,org.apache.streampark.console.core.metrics.flink.CheckPoints,class,5,5,0,5,2,1,0,3,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,62,2,0,0,0,0,0,0,0,0,2,1,0,2,0,8,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/service/SavepointService.java,org.apache.streampark.console.core.service.SavepointService,interface,6,9,3,6,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/system/controller/PassportController.java,org.apache.streampark.console.system.controller.PassportController,class,13,13,0,13,8,1,0,24,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,3,42,6,0,1,0,0,9,4,8,0,12,1,0,0,0,34,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/system/service/impl/MemberServiceImpl.java,org.apache.streampark.console.system.service.impl.MemberServiceImpl,class,15,16,1,15,13,2,0,36,56,0.8055555,0.0,0.0,12,0,11,1,0,0,11,0,0,0,3,0,0,3,0,0,0,0,2,66,7,0,1,0,0,11,0,7,0,10,1,0,0,0,47,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/metrics/yarn/YarnAppInfo.java,org.apache.streampark.console.core.metrics.yarn.YarnAppInfo$App,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,28,0,0,0,0,51,9,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/base/config/P6spySqlFormatConfig.java,org.apache.streampark.console.base.config.P6spySqlFormatConfig,class,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,23,1,0
/tmp/ck-analysis/apache_streampark/streampark-flink/streampark-flink-udf/src/main/java/org/apache/streampark/flink/udf/DateFormat.java,org.apache.streampark.flink.udf.DateFormat,class,1,1,0,1,3,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,1,0,2,0,1,0,0,0,0,12,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/test/java/org/apache/streampark/console/core/service/alert/AlertServiceTest.java,org.apache.streampark.console.core.service.alert.AlertServiceTest,class,20,21,1,20,14,1,0,80,17,0.71666664,0.0,0.0,10,0,0,3,0,7,7,0,0,0,6,0,0,2,0,4,0,0,9,151,1,0,2,1,0,33,18,28,5,26,1,0,0,0,78,0,2
/tmp/ck-analysis/apache_streampark/streampark-e2e/streampark-e2e-case/src/test/java/org/apache/streampark/e2e/pages/resource/ResourcePage.java,org.apache.streampark.e2e.pages.resource.ResourcePage$Tab,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/mapper/FlinkEffectiveMapper.java,org.apache.streampark.console.core.mapper.FlinkEffectiveMapper,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/metrics/flink/CheckPoints.java,org.apache.streampark.console.core.metrics.flink.CheckPoints$Latest,innerclass,4,4,0,4,6,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,25,1,0,4,0,0,0,0,1,0,4,3,0,0,0,12,9,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/service/application/impl/SparkApplicationConfigServiceImpl.java,org.apache.streampark.console.core.service.application.impl.SparkApplicationConfigServiceImpl,class,17,18,1,17,36,2,0,70,103,0.9111111,0.0,0.0,15,0,12,3,0,0,12,0,0,3,3,0,0,3,0,0,0,0,8,166,8,1,15,1,0,3,2,30,1,33,4,0,0,2,80,1,2
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/service/application/impl/SparkApplicationBuildPipelineServiceImpl.java,org.apache.streampark.console.core.service.application.impl.SparkApplicationBuildPipelineServiceImpl$Anonymous1,anonymous,14,14,0,14,22,1,0,62,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,105,0,1,2,0,0,7,0,16,2,14,5,0,0,0,52,-1,1
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/entity/Resource.java,org.apache.streampark.console.core.entity.Resource,class,10,13,3,10,7,2,0,3,0,0.93333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,15,1,0,15,0,0,1,0,0,39,4,0,1,0,0,8,7,3,0,16,1,0,0,0,52,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/base/exception/InternalException.java,org.apache.streampark.console.base.exception.InternalException,class,0,2,2,0,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/bean/MavenPom.java,org.apache.streampark.console.core.bean.MavenPom,class,3,6,3,3,7,1,0,8,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,2,21,5,0,3,0,0,3,0,0,0,4,1,0,0,0,19,1,0
/tmp/ck-analysis/apache_streampark/streampark-common/src/main/java/org/apache/streampark/common/constants/Constants.java,org.apache.streampark.common.constants.Constants,class,0,0,0,0,1,1,0,1,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,18,18,18,0,0,0,18,0,1,22,0,0,0,0,0,16,2,18,0,18,0,0,0,0,40,17,0
/tmp/ck-analysis/apache_streampark/streampark-e2e/streampark-e2e-case/src/test/java/org/apache/streampark/e2e/pages/setting/alarm/DingTalkAlertForm.java,org.apache.streampark.e2e.pages.setting.alarm.DingTalkAlertForm,class,8,11,3,8,7,2,0,2,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,7,0,7,0,0,0,0,0,4,37,6,0,0,0,0,6,0,1,0,7,0,0,0,0,35,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/service/application/impl/FlinkApplicationBackupServiceImpl.java,org.apache.streampark.console.core.service.application.impl.FlinkApplicationBackupServiceImpl,class,22,23,1,22,21,2,0,57,15,0.75,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,100,3,0,3,2,1,2,4,18,0,20,2,0,0,0,51,1,1
/tmp/ck-analysis/apache_streampark/streampark-e2e/streampark-e2e-case/src/test/java/org/apache/streampark/e2e/pages/setting/SettingPage.java,org.apache.streampark.e2e.pages.setting.SettingPage,class,12,17,5,12,6,2,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,34,4,0,4,0,0,5,0,0,1,4,1,0,1,0,33,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/enums/OperationEnum.java,org.apache.streampark.console.core.enums.OperationEnum,enum,2,3,1,2,3,1,0,5,0,0.0,0.0,0.0,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,8,1,0,1,0,0,0,4,1,0,2,0,0,0,1,23,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/bean/RobotResponse.java,org.apache.streampark.console.core.bean.RobotResponse,class,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/enums/CheckPointTypeEnum.java,org.apache.streampark.console.core.enums.CheckPointTypeEnum,enum,1,3,2,1,4,1,0,5,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,2,13,2,0,1,0,0,0,3,1,0,2,0,0,0,1,29,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/enums/SparkOperationEnum.java,org.apache.streampark.console.core.enums.SparkOperationEnum,enum,2,3,1,2,3,1,0,5,0,0.0,0.0,0.0,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,8,1,0,1,0,0,0,3,1,0,2,0,0,0,1,20,1,0
/tmp/ck-analysis/apache_streampark/streampark-e2e/streampark-e2e-core/src/main/java/org/apache/streampark/e2e/core/StreamParkExtension.java,org.apache.streampark.e2e.core.StreamParkExtension,class,15,16,1,15,17,1,0,84,12,0.7373737,0.0,0.0,9,0,3,6,0,0,3,0,0,0,11,0,0,11,0,0,5,0,22,98,1,0,2,1,0,20,10,22,1,27,3,0,0,9,84,16,1
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/base/config/AlertRestTemplateConfig.java,org.apache.streampark.console.base.config.AlertRestTemplateConfig,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0
/tmp/ck-analysis/apache_streampark/streampark-e2e/streampark-e2e-case/src/test/java/org/apache/streampark/e2e/pages/flink/clusters/YarnSessionForm.java,org.apache.streampark.e2e.pages.flink.clusters.YarnSessionForm$ResolveOrder,enum,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,18,1,0
/tmp/ck-analysis/apache_streampark/streampark-flink/streampark-flink-connector/streampark-flink-connector-doris/src/main/java/org/apache/streampark/flink/connector/doris/internal/DorisStreamLoader.java,org.apache.streampark.flink.connector.doris.internal.DorisStreamLoader$LoadResponse,innerclass,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,13,1,0,0,0,0,3,0,3,1,3,0,0,0,0,8,9,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/bean/SparkTaskItem.java,org.apache.streampark.console.core.bean.SparkTaskItem,class,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,1,0
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/watcher/FlinkAppHttpWatcher.java,org.apache.streampark.console.core.watcher.FlinkAppHttpWatcher,class,39,44,5,39,137,1,0,145,446,0.92476845,0.0,0.0,36,10,14,22,0,0,14,0,0,0,24,14,1,23,0,0,14,0,30,563,30,0,32,8,1,34,23,90,8,94,4,0,1,8,276,1,20
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/service/application/impl/SparkApplicationBackupServiceImpl.java,org.apache.streampark.console.core.service.application.impl.SparkApplicationBackupServiceImpl,class,23,24,1,23,20,2,0,54,15,0.75,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,2,99,3,0,3,2,1,2,4,17,0,19,2,0,0,0,51,1,1
/tmp/ck-analysis/apache_streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/system/mapper/UserMapper.java,org.apache.streampark.console.system.mapper.UserMapper,interface,5,5,0,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0
/tmp/ck-analysis/apache_streampark/streampark-e2e/streampark-e2e-case/src/test/java/org/apache/streampark/e2e/pages/flink/clusters/YarnSessionForm.java,org.apache.streampark.e2e.pages.flink.clusters.YarnSessionForm,class,10,19,9,10,2,2,0,8,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,2,1,0,0,0,0,0,19,1,0,0,0,0,4,0,1,0,4,0,0,1,2,44,1,0
