file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,innerclass,6,6,0,6,31,4,0,40,6,0.625,0.0,0.0,8,0,4,4,0,0,4,0,0,0,3,0,0,3,0,0,3,0,1,121,4,6,3,4,3,6,1,17,1,16,3,0,0,0,166,1,5
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/util/AdHash.java,org.apache.zookeeper.server.util.AdHash,class,1,4,3,1,8,1,0,2,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,2,26,6,0,1,0,1,0,1,3,0,1,0,0,0,0,56,1,0
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/metrics/BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,innerclass,2,2,0,2,8,2,0,2,2,0.6,0.0,0.0,5,1,5,0,0,0,5,0,0,0,4,4,4,0,0,0,4,0,0,31,1,0,0,0,0,0,0,4,0,4,1,0,0,0,25,25,0
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/ClientCnxn.java,org.apache.zookeeper.ClientCnxn$WatcherSetEventPair,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,10,0
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,innerclass,9,9,0,9,12,2,0,16,19,0.5818182,0.0,0.0,11,0,9,0,0,2,11,0,0,0,5,0,0,0,0,5,0,0,0,61,3,0,1,0,1,7,3,19,5,5,0,0,0,0,42,9,0
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/test/NonRecoverableErrorTest.java,org.apache.zookeeper.test.NonRecoverableErrorTest,class,13,14,1,13,15,3,0,32,4,0.5,NaN,NaN,4,0,1,3,0,0,1,0,0,0,1,1,0,1,0,0,1,0,7,88,3,7,3,1,0,21,13,31,9,28,2,1,0,0,118,1,1
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/ByteBufferRequestRecord.java,org.apache.zookeeper.server.ByteBufferRequestRecord,class,3,4,1,3,5,1,0,6,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,28,4,0,1,0,0,1,0,4,0,4,1,0,0,0,17,1,0
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/test/FLETest.java,org.apache.zookeeper.test.FLETest$LEThread,innerclass,5,5,0,5,16,2,0,25,0,0.26666668,0.0,0.0,3,0,1,0,0,2,3,0,0,0,5,0,0,0,0,5,0,0,2,81,1,2,6,1,5,10,6,12,4,9,6,0,0,0,69,0,8
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/server/quorum/QuorumServerTest.java,org.apache.zookeeper.server.quorum.QuorumServerTest,class,8,8,0,8,13,2,0,9,47,0.7878788,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,0,0,2,116,0,2,0,0,0,64,38,46,15,19,2,0,0,4,67,1,0
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/server/quorum/ReadOnlyZooKeeperServerTest.java,org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServerTest,class,9,9,0,9,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,3,0,3,0,0,0,1,24,1,0
