file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,addAcceptedConnection/1[java.nio.channels.SocketChannel],false,336,1,2,1,1,3,2,7,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,0,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,select/0,false,401,2,3,1,2,7,14,26,0,4,0,14,1,1,1,0,1,0,2,0,4,0,3,0,0,0,16,2,2,false
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,processAcceptedConnections/0,false,449,3,5,1,4,4,7,16,0,3,0,7,0,0,1,1,1,1,0,0,4,0,2,0,0,0,43,2,0,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,addInterestOpsUpdateRequest/1[java.nio.channels.SelectionKey],false,350,1,3,2,1,3,2,7,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,1,0,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,SelectorThread/1[int],true,324,0,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,9,1,0,false
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,handleIO/1[java.nio.channels.SelectionKey],false,433,4,5,1,4,1,5,8,0,2,1,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,33,2,0,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,processInterestOpsUpdateRequests/0,false,470,2,4,1,3,5,7,12,0,2,0,7,0,0,1,1,0,1,0,0,2,0,2,0,0,0,32,2,0,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,run/0,false,364,4,9,0,9,7,15,34,0,2,0,15,3,2,3,1,2,1,3,0,2,0,3,0,0,0,56,1,3,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/util/AdHash.java,org.apache.zookeeper.server.util.AdHash,addDigest/1[long],false,40,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/util/AdHash.java,org.apache.zookeeper.server.util.AdHash,equals/1[java.lang.Object],false,64,1,0,0,0,2,0,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/util/AdHash.java,org.apache.zookeeper.server.util.AdHash,hashCode/0,false,69,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/util/AdHash.java,org.apache.zookeeper.server.util.AdHash,getHash/0,false,59,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/util/AdHash.java,org.apache.zookeeper.server.util.AdHash,clear/0,false,78,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/util/AdHash.java,org.apache.zookeeper.server.util.AdHash,toString/0,false,74,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/main/java/org/apache/zookeeper/server/util/AdHash.java,org.apache.zookeeper.server.util.AdHash,removeDigest/1[long],false,51,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,true
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/metrics/BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,start/0,false,80,0,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,false
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/metrics/BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,stop/0,false,95,0,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/tmp/ck-analysis/apache_zookeeper/zookeeper-server/src/test/java/org/apache/zookeeper/metrics/BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,getRootContext/0,false,88,1,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
