file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/apereo_cas/support/cas-server-support-pm-core/src/main/java/org/apereo/cas/pm/impl/history/AmnesiacPasswordHistoryService.java,org.apereo.cas.pm.impl.history.AmnesiacPasswordHistoryService,class,4,4,0,4,6,2,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
/tmp/ck-analysis/apereo_cas/support/cas-server-support-ldap-core/src/main/java/org/apereo/cas/authorization/EndpointLdapAuthenticationProvider.java,org.apereo.cas.authorization.EndpointLdapAuthenticationProvider,class,26,30,4,26,20,1,0,60,9,0.6333334,0.0,0.0,10,1,3,4,3,0,6,0,0,0,3,0,0,3,0,0,3,0,4,98,12,0,0,1,0,15,0,20,0,28,3,0,0,5,110,1,12
/tmp/ck-analysis/apereo_cas/core/cas-server-core-authentication-api/src/main/java/org/apereo/cas/authentication/principal/ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,class,20,23,3,20,9,1,1,26,7,0.7857143,0.0,0.0,7,1,5,0,2,0,7,0,0,0,6,4,0,6,0,0,4,0,4,61,9,0,0,0,0,11,3,15,0,15,2,0,0,3,86,1,5
/tmp/ck-analysis/apereo_cas/core/cas-server-core-authentication-api/src/main/java/org/apereo/cas/authentication/principal/resolvers/ChainingPrincipalResolver.java,org.apereo.cas.authentication.principal.resolvers.ChainingPrincipalResolver,class,20,22,2,20,9,1,0,28,4,0.8,0.0,0.0,4,0,2,0,2,0,4,0,0,0,5,0,0,5,0,0,5,0,3,49,6,0,3,0,0,6,0,7,0,15,3,0,0,5,87,1,6
/tmp/ck-analysis/apereo_cas/api/cas-server-core-api-configuration-model/src/main/java/org/apereo/cas/configuration/model/support/influxdb/InfluxDbProperties.java,org.apereo.cas.configuration.model.support.influxdb.InfluxDbProperties,class,8,8,0,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,1,0,0,7,0,0,0,0,0,3,1,3,0,5,0,0,0,0,28,1,0
/tmp/ck-analysis/apereo_cas/core/cas-server-core-tickets-api/src/main/java/org/apereo/cas/ticket/expiration/FixedInstantExpirationPolicy.java,org.apereo.cas.ticket.expiration.FixedInstantExpirationPolicy,class,19,21,2,19,3,2,0,8,1,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,16,3,0,0,0,0,0,1,4,0,5,0,0,0,0,46,1,0
/tmp/ck-analysis/apereo_cas/support/cas-server-support-redis-service-registry/src/test/java/org/apereo/cas/adaptors/redis/services/RedisServerServiceRegistryTests.java,org.apereo.cas.adaptors.redis.services.RedisServerServiceRegistryTests,class,6,6,0,6,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,9,0,0
/tmp/ck-analysis/apereo_cas/support/cas-server-support-aup-core/src/main/java/org/apereo/cas/aup/AcceptableUsagePolicyRepository.java,org.apereo.cas.aup.AcceptableUsagePolicyRepository$Anonymous1,anonymous,6,6,0,6,3,1,0,4,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,1,13,3,0,0,0,0,0,1,2,0,2,0,0,0,0,20,-1,0
/tmp/ck-analysis/apereo_cas/core/cas-server-core-util-api/src/test/java/org/apereo/cas/util/spring/boot/CasFeatureEnabledConditionTests.java,org.apereo.cas.util.spring.boot.CasFeatureEnabledConditionTests,class,5,5,0,5,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,1,0,0,0,0,0,0,11,0,9,0,0
/tmp/ck-analysis/apereo_cas/api/cas-server-core-api-util/src/main/java/org/apereo/cas/util/thread/Cleanable.java,org.apereo.cas.util.thread.Cleanable,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
