file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/FastAndSlowPointers.java,patterns.java.FastAndSlowPointers,middleNodeFastAndSlowPointerApproach/1[patterns.java.FastAndSlowPointers.ListNode],false,76,1,0,0,0,3,0,9,1,2,1,0,0,0,1,2,0,0,0,0,4,0,1,0,0,0,12,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/FastAndSlowPointers.java,patterns.java.FastAndSlowPointers,middleNodeCountingApproach/1[patterns.java.FastAndSlowPointers.ListNode],false,57,1,0,0,0,3,0,13,1,3,1,0,0,0,2,1,0,0,0,3,6,1,1,0,0,0,10,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/FastAndSlowPointers.java,patterns.java.FastAndSlowPointers,hasCycleHashSetAppraoch/1[patterns.java.FastAndSlowPointers.ListNode],false,20,1,0,0,0,3,2,12,2,2,1,2,0,0,1,1,0,0,0,0,3,0,2,0,0,0,13,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/FastAndSlowPointers.java,patterns.java.FastAndSlowPointers,isHappyFastAndSlowPointersApproach/1[int],false,112,1,1,0,1,4,1,9,1,2,1,1,1,1,1,3,0,0,0,2,4,0,1,0,0,0,14,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/FastAndSlowPointers.java,patterns.java.FastAndSlowPointers,hasCycleFastAndSlowPointersAppraoch/1[patterns.java.FastAndSlowPointers.ListNode],false,33,1,0,0,0,6,0,15,3,2,1,0,0,0,1,5,0,0,0,0,4,0,2,0,0,0,15,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/FastAndSlowPointers.java,patterns.java.FastAndSlowPointers,getSumOfSquares/1[int],false,93,0,2,2,0,2,0,9,1,2,1,0,0,0,1,0,0,0,0,4,4,2,1,0,0,0,7,2,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/FastAndSlowPointers.java,patterns.java.FastAndSlowPointers,isHappyHashSetApproach/1[int],false,103,1,1,0,1,4,3,8,1,1,1,3,1,1,1,2,0,0,0,2,2,0,1,0,0,0,11,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/LevelOrderTraversal.java,patterns.java.LevelOrderTraversal,levelOrder/1[patterns.java.TreeNode],false,18,1,0,0,0,5,4,11,1,2,1,4,0,0,1,3,0,0,1,0,2,1,2,0,0,0,8,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/SlidingWindow.java,patterns.java.SlidingWindow,"findMaxAverageBruteForce/2[int[],int]",false,6,1,0,0,0,3,1,12,1,5,2,1,0,0,2,0,0,0,0,2,7,3,2,0,0,0,12,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/SlidingWindow.java,patterns.java.SlidingWindow,"findMaxAverageSlidingWindow/2[int[],int]",false,25,1,0,0,0,3,1,14,1,5,2,1,0,0,2,0,0,0,0,2,9,2,1,0,0,0,11,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/SlidingWindow.java,patterns.java.SlidingWindow,lengthOfLongestSubstringSlidingWindow/1[java.lang.String],false,48,0,0,0,0,3,6,15,1,5,1,6,0,0,2,0,0,0,0,4,6,2,2,0,0,0,13,1,0,false
/tmp/ck-analysis/ashishps1_awesome-leetcode-resources/patterns/java/SlidingWindow.java,patterns.java.SlidingWindow,lengthOfLongestSubstringSlidingWindowFrequencyArray/1[java.lang.String],false,68,1,0,0,0,3,3,16,1,6,1,3,0,0,2,0,0,0,0,6,7,2,2,0,0,0,17,1,0,false
