file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/musicstreamingservice/observer/Subject.java,musicstreamingservice.observer.Subject,class,3,5,2,3,4,1,1,3,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,14,0,1,0,0,0,0,0,1,0,1,1,0,0,0,11,1025,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/cricinfo/state/LiveState.java,cricinfo.state.LiveState,class,9,12,3,9,14,1,0,25,6,0.0,NaN,NaN,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58,2,0,2,0,5,10,6,13,11,13,3,0,0,0,47,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/restaurantmanagementsystem/model/Menu.java,restaurantmanagementsystem.model.Menu,class,1,3,2,1,3,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,1,0,0,2,0,2,1,2,1,0,0,0,15,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/design-patterns/java/singleton/BillPughSingleton.java,BillPughSingleton,class,1,3,2,1,2,1,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/elevatorsystem/strategy/ElevatorSelectionStrategy.java,elevatorsystem.strategy.ElevatorSelectionStrategy,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/cricinfo/observer/UserNotifier.java,cricinfo.observer.UserNotifier,class,3,4,1,3,5,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,4,0,0,0,0,1,0,0,0,17,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/coffeevendingmachine/templatemethod/Latte.java,coffeevendingmachine.templatemethod.Latte,class,2,3,1,2,4,2,0,2,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,0,2,4,1,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/restaurantmanagementsystem/command/ServeOrderCommand.java,restaurantmanagementsystem.command.ServeOrderCommand,class,3,4,1,3,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,11,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/ridesharingservice/RideSharingService.java,ridesharingservice.RideSharingService,class,11,13,2,11,18,1,0,33,23,0.76666665,0.0,0.0,10,1,9,1,0,0,9,0,0,1,6,1,0,6,0,0,3,0,1,80,5,1,6,0,0,21,0,18,7,18,1,0,0,0,63,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/movieticketbookingsystem/strategy/pricing/WeekdayPricingStrategy.java,movieticketbookingsystem.strategy.pricing.WeekdayPricingStrategy,class,3,4,1,3,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/cricinfo/CommentaryManager.java,cricinfo.CommentaryManager,class,4,6,2,4,19,1,0,23,8,0.73333335,0.0,0.0,5,1,2,3,0,0,2,0,0,0,3,1,0,3,0,0,2,0,13,64,11,0,5,0,0,53,8,8,8,8,3,0,0,0,105,1,0
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/restaurantmanagementsystem/RestaurantManagementSystem.java,restaurantmanagementsystem.RestaurantManagementSystem,class,9,11,2,9,25,1,0,21,95,0.82706773,0.0,0.0,19,1,16,3,0,0,16,0,0,1,7,1,0,7,0,0,6,0,0,104,7,0,4,0,0,4,0,17,1,17,1,0,0,0,56,1,0
