file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/musicstreamingservice/observer/Subject.java,musicstreamingservice.observer.Subject,"notifyObservers/2[musicstreamingservice.entities.Artist,musicstreamingservice.entities.Album]",false,16,3,2,1,1,2,1,5,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/musicstreamingservice/observer/Subject.java,musicstreamingservice.observer.Subject,addObserver/1[musicstreamingservice.observer.ArtistObserver],false,12,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/musicstreamingservice/observer/Subject.java,musicstreamingservice.observer.Subject,removeObserver/1[musicstreamingservice.observer.ArtistObserver],false,14,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/cricinfo/state/LiveState.java,cricinfo.state.LiveState,"processBall/2[cricinfo.entity.Match,cricinfo.entity.Ball]",false,11,4,4,0,4,1,4,6,0,1,2,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/cricinfo/state/LiveState.java,cricinfo.state.LiveState,"declareWinner/3[cricinfo.entity.Match,cricinfo.entity.Team,java.lang.String]",false,61,3,8,1,7,2,7,9,0,1,3,7,0,0,0,1,0,1,2,0,1,1,0,0,0,0,18,2,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/cricinfo/state/LiveState.java,cricinfo.state.LiveState,isInningsOver/1[cricinfo.entity.Match],false,72,4,8,1,7,3,8,6,1,3,1,8,0,0,0,0,0,0,0,1,3,1,0,0,0,0,10,2,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/cricinfo/state/LiveState.java,cricinfo.state.LiveState,checkForMatchEnd/1[cricinfo.entity.Match],false,20,6,16,1,15,8,18,35,1,8,1,18,2,1,0,1,0,4,8,5,8,9,3,0,0,0,27,2,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/restaurantmanagementsystem/model/Menu.java,restaurantmanagementsystem.model.Menu,addItem/1[restaurantmanagementsystem.model.MenuItem],false,9,1,2,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/solutions/java/src/restaurantmanagementsystem/model/Menu.java,restaurantmanagementsystem.model.Menu,getItem/1[java.lang.String],false,13,1,1,1,0,2,1,7,1,1,1,1,0,0,0,1,0,0,2,0,1,1,1,0,0,0,13,1,0,false
/tmp/ck-analysis/ashishps1_awesome-low-level-design/design-patterns/java/singleton/BillPughSingleton.java,BillPughSingleton,BillPughSingleton/0,true,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
