file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/awangdev_leet-code/Java/1026. Maximum Difference Between Node and Ancestor.java,Val,innerclass,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0
/tmp/ck-analysis/awangdev_leet-code/Java/[lint]. HashHeap.java,HashHeap$Node,innerclass,1,1,0,1,2,1,0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,2,0,0,0,0,7,0,0
/tmp/ck-analysis/awangdev_leet-code/Java/721. Accounts Merge.java,Account,innerclass,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0
/tmp/ck-analysis/awangdev_leet-code/Java/My Calendar I.java,MyCalendar,class,3,5,0,5,4,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,23,2,1,0,0,0,0,0,3,0,3,2,0,1,0,95,0,0
/tmp/ck-analysis/awangdev_leet-code/Java/621. Task Scheduler.java,Task,innerclass,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0
/tmp/ck-analysis/awangdev_leet-code/Java/745. Prefix and Suffix Search.java,WordFilter,class,2,3,1,2,9,1,0,10,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,43,2,5,0,0,0,2,7,14,2,10,3,0,1,0,19,0,0
/tmp/ck-analysis/awangdev_leet-code/Java/207. Course Schedule.java,Node,innerclass,3,66,5,61,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,0,0
/tmp/ck-analysis/awangdev_leet-code/Java/850. Rectangle Area II.java,Solution$Point,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0
/tmp/ck-analysis/awangdev_leet-code/Java/[tool]. UnionFind.java,UnionFind,innerclass,0,6,2,4,12,1,0,1,0,0.4,0.0,0.0,6,0,5,1,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,45,3,1,3,0,0,0,1,14,0,7,2,0,0,0,18,0,0
/tmp/ck-analysis/awangdev_leet-code/Others/old records/LintCode-Backup/NQueens.java,NQueens,class,1,2,1,1,16,1,0,12,10,0.0,0.0,0.0,5,1,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,59,8,4,5,0,0,2,7,9,5,9,3,0,0,0,43,0,0
