file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,findDuplicates/1[java.util.List<com.beemdevelopment.aegis.ui.models.ImportEntry>],false,344,9,9,1,8,4,20,32,1,4,1,20,0,0,1,1,0,0,0,1,3,0,2,2,0,1,20,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,showWipeEntriesDialog/0,false,254,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,onCreate/1[com.beemdevelopment.aegis.ui.Bundle],false,62,11,5,0,5,4,24,39,1,5,1,24,1,6,0,0,0,0,2,1,8,0,2,1,0,1,54,4,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,processImporterState/1[com.beemdevelopment.aegis.importers.DatabaseImporter.State],false,176,4,7,2,5,3,6,26,0,2,1,6,1,3,0,0,1,0,0,0,0,0,2,1,0,1,12,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,processDecryptedImporterState/1[com.beemdevelopment.aegis.importers.DatabaseImporter.State],false,205,10,14,2,12,5,23,26,1,8,1,23,1,2,1,1,1,0,0,0,4,0,3,0,0,3,23,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,onOptionsItemSelected/1[com.beemdevelopment.aegis.ui.MenuItem],false,404,2,1,0,1,4,6,16,2,1,1,6,0,0,0,3,0,0,0,0,1,0,1,0,0,0,9,1,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,processImporterResult/1[com.beemdevelopment.aegis.importers.DatabaseImporter.Result],false,235,7,9,1,8,3,11,15,0,4,1,11,1,1,1,0,0,0,0,1,5,0,1,0,0,0,18,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,saveAndFinish/1[boolean],false,262,13,16,0,16,14,37,61,0,13,1,37,0,0,5,2,0,1,1,0,10,0,4,0,0,2,39,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,"startImport/2[com.beemdevelopment.aegis.importers.DatabaseImporter.Definition,java.io.File]",false,107,6,8,1,7,3,17,20,0,5,2,17,2,5,0,1,0,0,0,0,1,0,3,0,0,2,17,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,"startImportFile/2[com.beemdevelopment.aegis.importers.DatabaseImporter,java.io.File]",false,131,5,4,1,3,3,7,13,0,4,2,7,1,4,0,0,1,0,0,0,2,0,1,0,0,1,19,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,startImportApp/1[com.beemdevelopment.aegis.importers.DatabaseImporter],false,143,7,6,1,5,7,12,35,2,5,1,12,1,4,0,1,2,0,0,0,2,0,3,0,0,2,22,2,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,onCreateOptionsMenu/1[com.beemdevelopment.aegis.ui.Menu],false,397,1,0,0,0,1,2,5,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/importers/DatabaseImporterEntryException.java,com.beemdevelopment.aegis.importers.DatabaseImporterEntryException,getText/0,false,16,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/importers/DatabaseImporterEntryException.java,com.beemdevelopment.aegis.importers.DatabaseImporterEntryException,"DatabaseImporterEntryException/2[java.lang.String,java.lang.String]",true,6,0,12,12,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/main/java/com/beemdevelopment/aegis/importers/DatabaseImporterEntryException.java,com.beemdevelopment.aegis.importers.DatabaseImporterEntryException,"DatabaseImporterEntryException/2[java.lang.Throwable,java.lang.String]",true,11,0,9,9,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/test/java/com/beemdevelopment/aegis/helpers/QrCodeAnalyzerTest.java,com.beemdevelopment.aegis.helpers.QrCodeAnalyzerTest,testScanQrCode/0,false,33,2,1,0,1,1,2,4,0,1,0,2,1,1,0,0,0,0,2,3,1,0,0,0,0,0,10,1,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/test/java/com/beemdevelopment/aegis/helpers/QrCodeAnalyzerTest.java,com.beemdevelopment.aegis.helpers.QrCodeAnalyzerTest,testScanStridedQrCode/0,false,39,2,1,0,1,1,3,6,0,1,0,3,1,1,0,0,0,0,4,6,2,0,0,0,0,0,12,1,0,false
/tmp/ck-analysis/beemdevelopment_Aegis/app/src/test/java/com/beemdevelopment/aegis/helpers/QrCodeAnalyzerTest.java,com.beemdevelopment.aegis.helpers.QrCodeAnalyzerTest,"scan/4[java.lang.String,int,int,int]",false,47,3,6,2,4,2,8,17,1,6,4,8,0,0,0,0,1,0,0,0,5,0,1,0,0,1,34,2,0,false
