file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/infrastructure/persistence/jpa/LocationRepositoryTest.java,se.citerus.dddsample.infrastructure.persistence.jpa.LocationRepositoryTest,testFindAll/0,false,39,3,1,0,1,1,4,4,0,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/infrastructure/persistence/jpa/LocationRepositoryTest.java,se.citerus.dddsample.infrastructure.persistence.jpa.LocationRepositoryTest,testFind/0,false,29,4,3,0,3,1,6,7,0,2,0,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testParseType/0,false,90,2,1,0,1,1,3,6,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testEqualsAndSameAs/0,false,108,2,2,0,2,1,5,11,0,4,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testCurrentLocationReceivedEvent/0,false,76,2,2,0,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testParseTypeIllegal/0,false,98,2,1,0,1,2,2,8,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,12,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testNewWithLocation/0,false,55,2,2,0,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testCurrentLocationClaimedEvent/0,false,83,2,2,0,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,setUp/0,false,22,4,3,0,3,1,1,5,0,2,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,10,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testCurrentLocationUnloadEvent/0,false,69,2,2,0,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testNewWithCarrierMovement/0,false,29,2,2,0,2,5,7,22,0,2,0,7,0,0,2,0,2,0,4,0,2,2,2,0,0,0,32,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/domain/model/handling/HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testCurrentLocationLoadEvent/0,false,61,2,2,0,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/main/java/se/citerus/dddsample/domain/model/handling/HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,sameValueAs/1[se.citerus.dddsample.domain.model.handling.HandlingEvent.Type],false,98,1,3,3,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/main/java/se/citerus/dddsample/domain/model/handling/HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,requiresVoyage/0,false,86,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/tmp/ck-analysis/citerus_dddsample-core/src/main/java/se/citerus/dddsample/domain/model/handling/HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,Type/1[boolean],true,79,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,2,0,true
/tmp/ck-analysis/citerus_dddsample-core/src/main/java/se/citerus/dddsample/domain/model/handling/HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,prohibitsVoyage/0,false,93,1,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/tmp/ck-analysis/citerus_dddsample-core/src/test/java/se/citerus/dddsample/interfaces/booking/facade/internal/assembler/LocationDTOAssemblerTest.java,se.citerus.dddsample.interfaces.booking.facade.internal.assembler.LocationDTOAssemblerTest,testToDTOList/0,false,16,4,4,0,4,1,8,12,0,4,0,8,0,0,0,0,0,0,4,3,5,0,0,0,0,0,14,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/main/java/se/citerus/dddsample/domain/model/voyage/CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,hashCode/0,false,104,1,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/main/java/se/citerus/dddsample/domain/model/voyage/CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,sameValueAs/1[se.citerus.dddsample.domain.model.voyage.CarrierMovement],false,114,2,2,2,0,2,2,3,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/citerus_dddsample-core/src/main/java/se/citerus/dddsample/domain/model/voyage/CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,"CarrierMovement/4[se.citerus.dddsample.domain.model.location.Location,se.citerus.dddsample.domain.model.location.Location,java.time.Instant,java.time.Instant]",true,56,1,6,6,0,1,1,7,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,true
/tmp/ck-analysis/citerus_dddsample-core/src/main/java/se/citerus/dddsample/domain/model/voyage/CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,CarrierMovement/0,true,123,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
