file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/crate_crate/server/src/test/java/io/crate/analyze/AlterTableRenameColumnAnalyzerTest.java,io.crate.analyze.AlterTableRenameColumnAnalyzerTest,class,7,7,0,7,11,2,0,18,0,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,4,57,0,0,0,0,0,51,0,14,0,4,0,0,0,9,96,1,0
/tmp/ck-analysis/crate_crate/server/src/main/java/org/elasticsearch/cluster/SnapshotsInProgress.java,org.elasticsearch.cluster.SnapshotsInProgress$ShardState,enum,1,1,0,1,11,1,0,0,0,0.5,0.0,0.0,4,1,3,0,0,1,4,0,0,0,3,0,0,3,0,0,3,0,0,37,9,0,0,0,0,2,14,3,1,3,1,0,0,0,42,1,0
/tmp/ck-analysis/crate_crate/server/src/main/java/io/crate/replication/logical/exceptions/SubscriptionAlreadyExistsException.java,io.crate.replication.logical.exceptions.SubscriptionAlreadyExistsException,class,4,5,1,4,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/tmp/ck-analysis/crate_crate/server/src/test/java/io/crate/execution/engine/aggregation/impl/StringAggTest.java,io.crate.execution.engine.aggregation.impl.StringAggTest,class,3,3,0,3,4,2,0,11,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,21,0,8,0,8,0,0,0,0,28,1,0
/tmp/ck-analysis/crate_crate/server/src/main/java/io/crate/analyze/AnalyzedCreateFunction.java,io.crate.analyze.AnalyzedCreateFunction,class,7,9,2,7,10,1,0,2,25,0.7714286,0.0,0.0,10,0,9,0,0,1,10,0,0,0,7,0,0,7,0,0,7,0,0,46,8,0,0,0,0,0,0,7,0,7,0,0,0,0,22,1,0
/tmp/ck-analysis/crate_crate/server/src/main/java/org/elasticsearch/repositories/VerifyNodeRepositoryAction.java,org.elasticsearch.repositories.VerifyNodeRepositoryAction$VerifyNodeRepositoryRequestHandler,innerclass,6,6,0,6,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,1,0,1,0,1,1,0,0,1,20,0,1
/tmp/ck-analysis/crate_crate/server/src/test/java/io/crate/expression/reference/doc/BooleanColumnReferenceTest.java,io.crate.expression.reference.doc.BooleanColumnReferenceTest,class,10,10,0,10,6,3,0,11,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,1,27,0,2,2,0,0,3,10,7,2,7,1,0,0,0,43,1,0
/tmp/ck-analysis/crate_crate/server/src/main/java/org/elasticsearch/common/unit/SizeValue.java,org.elasticsearch.common.unit.SizeValue,class,7,8,1,7,54,1,0,30,406,0.6875,0.0,0.0,32,2,32,0,0,0,32,0,0,0,2,0,0,2,0,0,2,0,5,159,31,0,5,1,13,18,15,25,18,8,2,0,0,0,57,1,0
/tmp/ck-analysis/crate_crate/server/src/main/java/io/crate/expression/reference/sys/check/SysCheck.java,io.crate.expression.reference.sys.check.SysCheck$Severity,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,0,3,1,0,1,0,0,0,0,13,0,0
/tmp/ck-analysis/crate_crate/server/src/main/java/io/crate/expression/reference/doc/lucene/SourceFieldVisitor.java,io.crate.expression.reference.doc.lucene.SourceFieldVisitor,class,5,6,1,5,6,2,0,1,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,22,3,0,0,0,0,1,0,5,0,2,1,0,0,0,22,17,0
/tmp/ck-analysis/crate_crate/server/src/main/java/io/crate/analyze/where/WhereClauseValidator.java,io.crate.analyze.where.WhereClauseValidator$Visitor,innerclass,8,8,0,8,28,2,0,33,28,0.875,0.0,0.0,8,3,4,4,0,0,4,0,0,0,7,7,0,7,0,0,7,0,8,82,8,2,1,0,1,8,4,13,0,13,2,0,0,1,77,10,0
/tmp/ck-analysis/crate_crate/server/src/test/java/org/elasticsearch/cluster/routing/BatchedRerouteServiceTests.java,org.elasticsearch.cluster.routing.BatchedRerouteServiceTests$Anonymous2,anonymous,1,1,0,1,8,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,5,0,0,3,0,2,0,0,0,24,-1,0
/tmp/ck-analysis/crate_crate/server/src/main/java/io/crate/breaker/CellsSizeEstimator.java,io.crate.breaker.CellsSizeEstimator,class,4,7,3,4,6,1,0,2,15,0.0,0.0,0.0,6,2,4,0,2,0,6,1,2,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,2,0,0,0,1,0,2,0,1,45,1025,0
/tmp/ck-analysis/crate_crate/server/src/test/java/org/elasticsearch/cluster/routing/BatchedRerouteServiceTests.java,org.elasticsearch.cluster.routing.BatchedRerouteServiceTests$Anonymous1,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/tmp/ck-analysis/crate_crate/server/src/main/java/org/elasticsearch/cluster/coordination/JoinHelper.java,org.elasticsearch.cluster.coordination.JoinHelper$FailedJoinAttempt,innerclass,9,9,0,9,7,1,0,8,0,0.3125,0.0,0.0,4,1,0,0,0,4,4,0,0,0,4,0,0,4,0,0,4,0,2,25,2,0,0,0,0,2,0,5,1,5,1,0,0,2,38,8,1
/tmp/ck-analysis/crate_crate/libs/dex/src/testFixtures/java/io/crate/data/testing/RowGenerator.java,io.crate.data.testing.RowGenerator,class,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,2,0,2,41,1,0
/tmp/ck-analysis/crate_crate/libs/guice/src/main/java/org/elasticsearch/common/inject/binder/AnnotatedConstantBindingBuilder.java,org.elasticsearch.common.inject.binder.AnnotatedConstantBindingBuilder,interface,1,5,4,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/tmp/ck-analysis/crate_crate/libs/dex/src/testFixtures/java/io/crate/data/testing/BatchSimulatingIterator.java,io.crate.data.testing.BatchSimulatingIterator,class,5,17,12,5,23,1,0,20,0,0.6969697,0.0,0.0,11,0,10,1,0,0,10,0,0,0,9,0,0,9,0,0,6,0,4,89,9,0,2,1,0,5,10,13,2,11,3,0,0,3,95,1,0
