file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/debezium_debezium/debezium-connector-common/src/main/java/io/debezium/snapshot/mode/WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,class,4,4,0,4,8,2,0,2,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,26,7,0,0,0,0,1,0,1,0,1,1,0,0,0,24,1,0
/tmp/ck-analysis/debezium_debezium/debezium-connector-mariadb/src/test/java/io/debezium/connector/mariadb/DdlParserIT.java,io.debezium.connector.mariadb.DdlParserIT,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/debezium_debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,innerclass,15,15,0,15,39,1,0,46,195,0.8453159,0.0,0.0,27,0,16,11,0,0,16,0,0,0,17,0,0,17,0,0,5,0,14,212,32,1,5,2,2,20,0,52,4,48,1,1,0,0,73,9,0
/tmp/ck-analysis/debezium_debezium/debezium-connect-plugins/src/test/java/io/debezium/transforms/ConnectRecordUtilTest.java,io.debezium.transforms.ConnectRecordUtilTest,class,6,6,0,6,8,1,0,24,0,0.7916667,0.0,0.0,8,0,8,0,0,0,8,0,0,0,6,6,6,0,0,0,6,0,23,68,0,0,0,0,0,91,14,27,0,27,0,0,0,0,43,1,0
/tmp/ck-analysis/debezium_debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/integration/sqlserver/JdbcSinkInsertModeIT.java,io.debezium.connector.jdbc.integration.sqlserver.JdbcSinkInsertModeIT,class,5,5,0,5,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,1,0
/tmp/ck-analysis/debezium_debezium/debezium-embedded/src/main/java/io/debezium/embedded/async/ParallelSmtAndConvertBatchProcessor.java,io.debezium.embedded.async.ParallelSmtAndConvertBatchProcessor,class,8,10,2,8,4,2,0,14,0,0.125,0.0,0.0,2,0,1,0,0,1,2,0,0,0,4,1,0,1,0,3,4,0,1,26,0,1,1,0,0,3,0,7,0,8,2,0,0,1,53,1,3
/tmp/ck-analysis/debezium_debezium/debezium-connector-sqlserver/src/test/java/io/debezium/connector/sqlserver/CaseSensitivenessIT.java,io.debezium.connector.sqlserver.CaseSensitivenessIT,class,13,14,1,13,6,2,0,27,0,0.0,0.0,0.0,5,0,2,1,0,2,4,0,0,0,1,0,0,1,0,0,0,0,6,51,0,0,1,0,9,43,12,8,0,4,1,0,0,0,75,1,0
/tmp/ck-analysis/debezium_debezium/debezium-connector-oracle/src/test/java/io/debezium/connector/oracle/OracleMetricsIT.java,io.debezium.connector.oracle.OracleMetricsIT,class,8,8,0,8,13,2,0,14,54,0.6666667,0.0,0.0,12,2,0,0,9,3,12,0,0,0,1,1,0,1,0,0,0,0,8,53,8,0,1,0,0,16,1,2,3,2,1,0,0,0,70,1,0
/tmp/ck-analysis/debezium_debezium/debezium-connector-mysql/src/main/java/io/debezium/connector/mysql/MySqlConnectorConfig.java,io.debezium.connector.mysql.MySqlConnectorConfig,class,25,51,26,25,18,2,0,40,42,0.875,0.0,0.0,13,2,9,1,3,0,12,0,0,0,16,11,8,7,1,0,15,0,8,173,13,0,4,0,1,33,6,19,6,19,2,0,3,0,296,1,0
/tmp/ck-analysis/debezium_debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/junit/jupiter/MySqlSinkDatabaseContextProvider.java,io.debezium.connector.jdbc.junit.jupiter.MySqlSinkDatabaseContextProvider,class,5,15,10,5,3,2,0,11,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,13,1,0,0,0,0,8,0,2,0,2,1,0,0,0,30,1,0
/tmp/ck-analysis/debezium_debezium/debezium-connector-common/src/main/java/io/debezium/schema/DatabaseSchema.java,io.debezium.schema.DatabaseSchema,interface,2,13,11,2,5,1,0,1,10,1.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,1,0,0,0,0,1,0,0,1,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,95,1,0
/tmp/ck-analysis/debezium_debezium/debezium-connector-postgres/src/test/java/io/debezium/connector/postgresql/RecordsStreamProducerIT.java,io.debezium.connector.postgresql.RecordsStreamProducerIT,class,55,56,1,55,231,3,0,296,3275,0.41095892,0.0,0.0,146,0,104,22,0,20,124,0,0,0,1,0,0,1,0,0,0,0,556,2390,25,15,24,24,50,1727,609,509,150,488,4,0,0,145,726,1,22
