file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/doocs_leetcode/solution/2500-2599/2526.Find Consecutive Integers from a Data Stream/Solution.java,DataStream,consec/1[int],false,11,0,0,0,0,3,0,4,1,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,5,1,0,false
/tmp/ck-analysis/doocs_leetcode/solution/2500-2599/2526.Find Consecutive Integers from a Data Stream/Solution.java,DataStream,"DataStream/2[int,int]",true,6,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/doocs_leetcode/solution/0300-0399/0381.Insert Delete GetRandom O(1) - Duplicates allowed/Solution.java,RandomizedCollection,remove/1[int],false,27,1,0,0,0,4,9,20,2,4,1,9,0,0,0,0,0,0,0,1,4,1,1,0,0,0,17,1,0,true
/tmp/ck-analysis/doocs_leetcode/solution/0300-0399/0381.Insert Delete GetRandom O(1) - Duplicates allowed/Solution.java,RandomizedCollection,getRandom/0,false,50,0,0,0,0,2,3,4,1,1,0,3,0,0,0,1,0,0,0,2,1,0,0,0,0,0,9,1,0,true
/tmp/ck-analysis/doocs_leetcode/solution/0300-0399/0381.Insert Delete GetRandom O(1) - Duplicates allowed/Solution.java,RandomizedCollection,RandomizedCollection/0,true,7,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,true
/tmp/ck-analysis/doocs_leetcode/solution/0300-0399/0381.Insert Delete GetRandom O(1) - Duplicates allowed/Solution.java,RandomizedCollection,insert/1[int],false,17,1,0,0,0,2,4,5,1,1,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,15,1,0,true
/tmp/ck-analysis/doocs_leetcode/solution/0700-0799/0745.Prefix and Suffix Search/Solution.java,WordFilter,"f/2[String,String]",false,18,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,1,0,false
/tmp/ck-analysis/doocs_leetcode/solution/0700-0799/0745.Prefix and Suffix Search/Solution.java,WordFilter,WordFilter/1[String[]],true,4,1,0,0,0,4,3,13,0,7,1,3,0,0,3,0,0,0,1,4,7,1,3,0,0,0,10,1,0,false
/tmp/ck-analysis/doocs_leetcode/lcof2/剑指 Offer II 031. 最近最少使用缓存/Solution.java,Node,"Node/2[int,int]",true,10,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/doocs_leetcode/lcof2/剑指 Offer II 031. 最近最少使用缓存/Solution.java,Node,Node/0,true,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
