file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/main/java/io/vertx/core/eventbus/impl/codecs/ShortMessageCodec.java,io.vertx.core.eventbus.impl.codecs.ShortMessageCodec,class,2,3,1,2,5,1,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,1,1,0,0,0,0,0,0,0,20,1,0
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/main/java/io/vertx/core/VerticleBase.java,io.vertx.core.VerticleBase,class,7,15,8,7,7,1,10,7,0,0.42857143,0.0,0.0,7,0,7,0,0,0,7,0,2,0,2,0,0,0,2,0,0,0,0,27,6,0,0,0,2,0,0,2,0,2,0,0,0,0,91,1025,0
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core-logging/src/test/java/io/vertx/it/LoggingSelectionTest.java,io.vertx.it.LoggingSelectionTest,class,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,2,0,2,0,2,0,0,0,0,7,1,0
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/main/java/io/vertx/core/eventbus/impl/codecs/FloatMessageCodec.java,io.vertx.core.eventbus.impl.codecs.FloatMessageCodec,class,2,3,1,2,5,1,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,1,1,0,0,0,0,0,0,0,20,1,0
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/test/java/io/vertx/tests/concurrent/MessagePassingQueueTest.java,io.vertx.tests.concurrent.MessagePassingQueueTest$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,-1,0
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/test/java/io/vertx/tests/net/quic/QLogTest.java,io.vertx.tests.net.quic.QLogTest,class,12,13,1,12,13,3,0,37,26,0.75,0.0,0.0,8,1,3,4,1,0,4,0,0,0,2,0,0,2,0,0,0,0,5,72,3,3,1,0,0,15,10,17,0,17,2,0,0,1,45,1,0
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/main/java/io/vertx/core/internal/NestedCloseable.java,io.vertx.core.internal.NestedCloseable,class,1,3,2,1,0,1,2,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,1024,0
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/test/java/io/vertx/tests/json/JsonPOJOMapperTest.java,io.vertx.tests.json.JsonPOJOMapperTest$Anonymous2,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,3,2,0,0,0,0,0,0,4,-1,0
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/main/java/io/vertx/core/impl/HAManager.java,io.vertx.core.impl.HAManager,class,19,22,3,19,88,1,0,91,0,0.8126316,0.0,0.0,25,0,9,15,0,1,10,0,0,3,19,2,0,19,0,0,12,0,6,429,7,8,16,8,5,41,19,73,11,78,8,1,0,18,328,1,16
/tmp/ck-analysis/eclipse-vertx_vert.x/vertx-core/src/test/java/io/vertx/tests/json/jackson/HybridJacksonPoolTest.java,io.vertx.tests.json.jackson.HybridJacksonPoolTest$VirtualThreadRunner,innerclass,1,1,0,1,6,1,0,5,1,0.33333334,0.0,0.0,3,3,0,0,0,3,3,0,0,0,1,1,0,0,0,1,1,0,3,22,3,0,1,2,0,1,0,1,0,1,1,0,0,0,20,10,0
