file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/fabric8io_kubernetes-client/junit/kubernetes-server-mock/src/main/java/io/fabric8/kubernetes/client/server/mock/crud/PostHandler.java,io.fabric8.kubernetes.client.server.mock.crud.PostHandler,class,13,15,2,13,9,1,0,39,0,0.16666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,8,41,1,0,1,0,0,5,1,8,2,8,1,0,0,0,53,1,0
/tmp/ck-analysis/fabric8io_kubernetes-client/extensions/knative/model/src/generated/java/io/fabric8/knative/messaging/v1/ChannelSpec.java,io.fabric8.knative.messaging.v1.ChannelSpec,class,33,35,2,33,13,1,0,2,54,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,4,0,0,4,0,0,0,0,0,47,6,0,0,0,0,16,0,9,0,4,0,0,0,0,53,1,0
/tmp/ck-analysis/fabric8io_kubernetes-client/kubernetes-tests/src/test/java/io/fabric8/openshift/client/server/mock/ProbeTest.java,io.fabric8.openshift.client.server.mock.ProbeTest,class,9,10,1,9,5,1,0,34,0,0.25,0.0,0.0,4,0,0,1,0,3,3,0,0,0,2,0,0,1,0,1,0,0,0,24,1,0,1,0,0,18,3,3,0,5,0,0,0,0,31,0,0
/tmp/ck-analysis/fabric8io_kubernetes-client/kubernetes-model-generator/kubernetes-model-apiextensions/src/generated/java/io/fabric8/kubernetes/api/model/apiextensions/v1beta1/CustomResourceDefinitionStatus.java,io.fabric8.kubernetes.api.model.apiextensions.v1beta1.CustomResourceDefinitionStatus,class,32,34,2,32,13,1,0,2,54,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,4,0,0,4,0,0,0,0,0,47,6,0,0,0,0,16,0,10,0,4,0,0,0,0,82,1,0
/tmp/ck-analysis/fabric8io_kubernetes-client/junit/kubernetes-server-mock/src/test/java/io/fabric8/kubernetes/client/server/mock/ExpectationsTest.java,io.fabric8.kubernetes.client.server.mock.ExpectationsTest$Post,innerclass,10,10,0,10,3,1,0,17,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,16,9,3,0,3,0,0,0,0,17,0,0
/tmp/ck-analysis/fabric8io_kubernetes-client/kubernetes-model-generator/kubernetes-model-core/src/generated/java/io/fabric8/kubernetes/api/model/APIGroupList.java,io.fabric8.kubernetes.api.model.APIGroupList,class,21,22,1,21,13,1,0,2,54,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,4,0,0,4,0,0,0,0,0,47,6,0,0,0,0,22,0,11,0,4,0,0,0,0,88,1,0
/tmp/ck-analysis/fabric8io_kubernetes-client/kubernetes-model-generator/kubernetes-model-policy/src/generated/java/io/fabric8/kubernetes/api/model/policy/v1beta1/RunAsUserStrategyOptions.java,io.fabric8.kubernetes.api.model.policy.v1beta1.RunAsUserStrategyOptions,class,31,33,2,31,11,1,0,2,37,0.72727275,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,0,0,0,39,5,0,0,0,0,12,0,7,0,3,0,0,0,0,68,1,0
/tmp/ck-analysis/fabric8io_kubernetes-client/kubernetes-model-generator/kubernetes-model-gatewayapi/src/generated/java/io/fabric8/kubernetes/api/model/gatewayapi/v1/RouteParentStatus.java,io.fabric8.kubernetes.api.model.gatewayapi.v1.RouteParentStatus,class,32,37,5,32,13,1,0,2,54,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,4,0,0,4,0,0,0,0,0,47,6,0,0,0,0,16,0,9,0,4,0,0,0,0,206,1,0
/tmp/ck-analysis/fabric8io_kubernetes-client/kubernetes-model-generator/kubernetes-model-common/src/main/java/io/fabric8/kubernetes/model/jackson/JsonUnwrappedDeserializer.java,io.fabric8.kubernetes.model.jackson.JsonUnwrappedDeserializer$UnwrappedInfo,innerclass,6,6,0,6,5,1,0,18,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,3,0,0,0,0,3,3,0,2,25,0,2,0,0,0,0,0,6,0,6,2,0,0,0,25,26,0
/tmp/ck-analysis/fabric8io_kubernetes-client/kubernetes-model-generator/openshift-model/src/generated/java/io/fabric8/openshift/api/model/TemplateInstanceList.java,io.fabric8.openshift.api.model.TemplateInstanceList,class,37,38,1,37,15,1,0,2,75,0.8,0.0,0.0,15,0,15,0,0,0,15,0,0,0,5,0,0,5,0,0,0,0,0,55,7,0,0,0,0,26,0,13,0,5,0,0,0,0,100,1,0
