file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/test/java/org/flowable/examples/bpmn/servicetask/MethodExpressionServiceTaskTest.java,org.flowable.examples.bpmn.servicetask.MethodExpressionServiceTaskTest,class,6,6,0,6,2,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,14,0,6,0,6,0,0,0,0,27,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/main/java/org/flowable/engine/impl/event/logger/handler/VariableEventHandler.java,org.flowable.engine.impl.event.logger.handler.VariableEventHandler,class,16,20,4,16,20,2,3,21,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,10,10,9,1,0,0,10,0,0,96,1,0,6,1,3,10,0,22,0,20,2,0,0,0,56,1025,1
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable5-spring-test/src/test/java/org/activiti/spring/test/servicetask/MyExecutionListenerBean.java,org.activiti.spring.test.servicetask.MyExecutionListenerBean,class,3,3,0,3,4,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,1,0,0,3,0,1,0,1,1,0,0,0,20,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/main/java/org/flowable/engine/InternalProcessLocalizationManager.java,org.flowable.engine.InternalProcessLocalizationManager,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-spring-boot/flowable-spring-boot-samples/flowable-spring-boot-sample-app/src/main/java/flowable/AppSampleApplication.java,flowable.AppSampleApplication,class,2,4,2,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine-common/src/test/java/org/flowable/common/engine/impl/de/odysseus/el/misc/NumberOperationsTest.java,org.flowable.common.engine.impl.de.odysseus.el.misc.NumberOperationsTest,class,3,3,0,3,6,1,0,8,0,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,1,0,0,1,0,0,1,0,108,194,0,0,0,0,0,23,54,72,0,72,0,0,0,0,40,0,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-bpmn-converter/src/main/java/org/flowable/bpmn/converter/UserTaskXMLConverter.java,org.flowable.bpmn.converter.UserTaskXMLConverter$HumanPerformerParser,innerclass,5,5,0,5,6,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0,1,1,0,2,0,2,2,0,0,0,24,9,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable5-spring-test/src/test/java/org/activiti/spring/test/expression/SpringLimitedExpressionsTest.java,org.activiti.spring.test.expression.SpringLimitedExpressionsTest,class,6,6,0,6,2,5,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,6,0,3,0,3,1,0,0,0,44,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/main/java/org/flowable/engine/impl/NativeProcessDefinitionQueryImpl.java,org.flowable.engine.impl.NativeProcessDefinitionQueryImpl,class,6,7,1,6,4,2,0,3,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,2,15,2,0,0,0,0,0,1,1,0,1,0,0,0,0,21,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-cmmn-rest/src/main/java/org/flowable/cmmn/rest/service/api/BulkDeleteInstancesRestActionRequest.java,org.flowable.cmmn.rest.service.api.BulkDeleteInstancesRestActionRequest,class,1,3,2,1,2,2,0,0,0,0.6666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,2,2,0,1,0,2,0,0,11,1,0,0,0,0,2,0,3,0,3,0,0,0,0,35,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-bpmn-converter/src/main/java/org/flowable/bpmn/converter/child/FlowableFailedjobRetryParser.java,org.flowable.bpmn.converter.child.FlowableFailedjobRetryParser,class,4,4,0,4,5,2,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,2,0,0,1,0,1,1,0,0,0,36,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/test/java/org/flowable/engine/test/jobexecutor/AcquireTimerJobsMultiNodeTest.java,org.flowable.engine.test.jobexecutor.AcquireTimerJobsMultiNodeTest,class,13,13,0,13,4,4,0,37,0,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,8,75,1,0,0,2,0,1,9,16,0,13,1,0,1,1,56,0,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable5-engine/src/main/java/org/activiti/engine/dynamic/DefaultPropertiesParser.java,org.activiti.engine.dynamic.DefaultPropertiesParser,class,4,4,0,4,2,2,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-spring-boot/flowable-spring-boot-starters/flowable-spring-boot-autoconfigure/src/main/java/org/flowable/spring/boot/eventregistry/FlowableEventRegistryProperties.java,org.flowable.spring.boot.eventregistry.FlowableEventRegistryProperties,class,3,9,6,3,17,1,0,2,120,0.88888884,0.0,0.0,17,0,17,0,0,0,17,0,0,0,9,0,0,9,0,0,1,0,3,62,9,0,0,0,0,7,2,17,0,9,0,0,0,0,84,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-bpmn-model/src/main/java/org/flowable/bpmn/model/AbstractFlowableHttpHandler.java,org.flowable.bpmn.model.AbstractFlowableHttpHandler,class,6,10,4,6,16,2,2,12,52,0.8166666,0.0,0.0,12,0,12,0,0,0,12,1,0,0,5,0,0,0,5,0,0,0,0,52,5,1,2,0,0,0,0,7,0,5,2,0,0,0,29,1025,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-job-service/src/main/java/org/flowable/job/service/impl/TimerJobQueryImpl.java,org.flowable.job.service.impl.TimerJobQueryImpl,class,9,15,6,9,108,2,0,10,3040,0.97249997,0.0,0.0,80,0,80,0,0,0,80,0,0,0,35,1,0,1,34,0,1,0,0,399,77,0,26,0,0,28,1,34,0,35,1,0,0,0,109,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-bpmn-converter/src/test/java/org/flowable/editor/language/xml/CallActivityWithNoFallbackConverterTest.java,org.flowable.editor.language.xml.CallActivityWithNoFallbackConverterTest,class,5,5,0,5,1,1,0,15,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,4,0,3,0,0,0,0,20,0,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/main/java/org/flowable/engine/impl/NativeHistoricActivityInstanceQueryImpl.java,org.flowable.engine.impl.NativeHistoricActivityInstanceQueryImpl,class,6,7,1,6,4,2,0,3,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,2,15,2,0,0,0,0,0,1,1,0,1,0,0,0,0,22,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/test/java/org/flowable/standalone/jpa/EmbeddableCompoundId.java,org.flowable.standalone.jpa.EmbeddableCompoundId,class,2,5,3,2,7,1,0,2,0,0.5555556,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,1,0,3,0,0,1,0,0,24,4,0,1,0,1,0,1,4,1,4,0,0,0,0,24,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-app-engine-rest/src/test/java/org/flowable/app/rest/service/HttpMultipartHelper.java,org.flowable.app.rest.service.HttpMultipartHelper,class,2,3,1,2,4,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,0,0,0,0,1,0,1,2,0,0,0,34,1,0
/tmp/ck-analysis/flowable_flowable-engine/ide-settings/idea/fileTemplates/code/JUnit4 Test Class.java,$,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine-common/src/main/java/org/flowable/common/engine/impl/ScriptingEngineAwareEngineConfiguration.java,org.flowable.common.engine.impl.ScriptingEngineAwareEngineConfiguration,interface,3,3,0,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-bpmn-converter/src/main/java/org/flowable/bpmn/converter/parser/InterfaceParser.java,org.flowable.bpmn.converter.parser.InterfaceParser,class,7,9,2,7,25,1,0,31,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,1,0,2,67,1,1,5,1,0,5,3,16,5,10,4,0,0,0,44,1,1
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-bpmn-model/src/main/java/org/flowable/bpmn/model/ExtensionElement.java,org.flowable.bpmn.model.ExtensionElement,class,2,4,2,2,22,2,0,20,58,0.81538457,0.0,0.0,13,0,13,0,0,0,13,0,0,0,5,0,0,0,5,0,0,0,0,72,6,2,3,0,0,0,0,12,0,9,4,0,0,0,23,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable5-engine/src/main/java/org/activiti/engine/impl/bpmn/behavior/ServiceTaskJavaDelegateActivityBehavior.java,org.activiti.engine.impl.bpmn.behavior.ServiceTaskJavaDelegateActivityBehavior,class,11,13,2,11,7,4,0,7,4,0.5,0.0,0.0,4,0,3,0,1,0,4,0,0,0,2,0,0,0,2,0,0,0,2,20,0,0,0,0,1,0,0,3,0,3,1,0,0,0,21,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-common-rest/src/main/java/org/flowable/common/rest/exception/ErrorInfo.java,org.flowable.common.rest.exception.ErrorInfo,class,1,2,1,1,6,1,0,1,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,1,0,0,0,0,4,0,2,1,0,0,0,10,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-spring/src/test/java/org/flowable/spring/test/jobexecutor/ForcedRollbackExecutionListener.java,org.flowable.spring.test.jobexecutor.ForcedRollbackExecutionListener,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-http/src/test/java/org/flowable/http/bpmn/HttpServiceTaskTestServer.java,org.flowable.http.bpmn.HttpServiceTaskTestServer,class,20,25,5,20,3,7,0,21,0,1.0,0.0,0.0,1,1,1,0,0,0,2,0,0,0,4,4,0,1,3,0,3,0,2,242,0,0,0,1,0,10,2,16,0,16,1,1,6,0,86,1,1
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-cmmn-engine/src/main/java/org/flowable/cmmn/engine/impl/behavior/OnParentEndDependantActivityBehavior.java,org.flowable.cmmn.engine.impl.behavior.OnParentEndDependantActivityBehavior,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/test/java/org/flowable/engine/test/api/event/AttachmentEventsTest.java,org.flowable.engine.test.api.event.AttachmentEventsTest,class,10,10,0,10,13,2,0,34,0,0.0,0.0,0.0,5,0,3,0,2,0,5,0,0,0,1,0,0,1,0,0,0,0,0,160,0,0,5,2,0,28,22,37,0,14,3,0,0,0,55,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-cmmn-engine/src/main/java/org/flowable/cmmn/engine/impl/cmd/GetCmmnModelCmd.java,org.flowable.cmmn.engine.impl.cmd.GetCmmnModelCmd,class,7,7,0,7,4,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,17,2,0,2,0,0,1,0,3,0,3,1,0,0,0,23,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable5-engine/src/main/java/org/activiti/engine/impl/cfg/JpaHelper.java,org.activiti.engine.impl.cfg.JpaHelper,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-spring-boot/flowable-spring-boot-starters/flowable-spring-boot-autoconfigure/src/test/java/org/flowable/spring/boot/environment/FlowableDefaultPropertiesEnvironmentPostProcessorTest.java,org.flowable.spring.boot.environment.FlowableDefaultPropertiesEnvironmentPostProcessorTest$Config,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-bpmn-converter/src/test/java/org/flowable/editor/language/xml/DataStoreConverterTest.java,org.flowable.editor.language.xml.DataStoreConverterTest,class,5,5,0,5,1,1,0,15,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,2,0,2,0,0,0,0,14,0,0
/tmp/ck-analysis/flowable_flowable-engine/modules/flowable-engine/src/test/java/org/flowable/engine/test/bpmn/multiinstance/CounterExecutionListener.java,org.flowable.engine.test.bpmn.multiinstance.CounterExecutionListener,class,6,7,1,6,10,1,0,19,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,0,32,0,1,3,0,0,12,3,10,0,10,4,0,0,0,45,1,2
