file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/license/FlywayInvalidLicenseKeyException.java,org.flywaydb.core.internal.license.FlywayInvalidLicenseKeyException,FlywayInvalidLicenseKeyException/0,true,25,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,32,1,0,false
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/license/FlywayInvalidLicenseKeyException.java,org.flywaydb.core.internal.license.FlywayInvalidLicenseKeyException,"FlywayInvalidLicenseKeyException/2[java.lang.String,java.lang.Exception]",true,30,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/flyway_flyway/flyway-command/flyway-command-test-connection/src/main/java/org/flywaydb/testconnection/StandardInEnvironmentModelProvider.java,org.flywaydb.testconnection.StandardInEnvironmentModelProvider,getModel/0,false,35,2,2,1,1,2,6,9,1,2,0,6,0,0,0,0,1,0,1,0,2,0,1,0,0,0,14,0,0,false
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/resolver/script/ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver$ParseCallbackEvent,parse/1[java.lang.String],false,224,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],false,32,1,0,0,0,2,3,14,1,6,1,3,0,0,0,0,1,0,6,0,6,0,1,0,0,0,27,1,0,false
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/authentication/ExternalAuthPropertiesProvider.java,org.flywaydb.core.internal.authentication.ExternalAuthPropertiesProvider,get/0,false,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"copyFolder/3[java.nio.file.Path,java.nio.file.Path,java.nio.file.Path]",false,291,0,0,0,0,2,7,10,0,4,3,7,0,0,1,0,1,0,0,0,4,0,2,0,0,0,16,9,0,false
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,createDirIfNotExists/1[java.io.File],false,192,1,1,1,0,4,3,9,1,1,1,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,13,9,0,false
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,readUserIdFromFileIfNoneWriteDefault/0,false,270,1,1,0,1,1,1,3,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,false
/tmp/ck-analysis/flyway_flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,readAsString/1[java.nio.file.Path],false,154,1,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
