file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/core/Crawler.java,com.pcdd.sonovel.core.Crawler,createChapterFile/1[com.pcdd.sonovel.model.Chapter],false,154,2,2,1,1,3,5,9,1,1,1,5,1,1,0,1,1,0,0,0,1,0,1,0,0,0,13,2,1,true
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/core/Crawler.java,com.pcdd.sonovel.core.Crawler,crawl/1[java.lang.String],false,49,3,6,3,3,2,5,10,2,2,1,5,1,3,0,0,0,0,2,1,2,0,1,0,0,0,7,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/core/Crawler.java,com.pcdd.sonovel.core.Crawler,generateChapterPath/1[com.pcdd.sonovel.model.Chapter],false,164,1,1,1,0,2,5,5,1,2,1,5,0,0,0,0,0,0,1,0,2,3,0,0,0,0,11,2,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/core/Crawler.java,com.pcdd.sonovel.core.Crawler,"crawl/2[java.lang.String,java.util.List<com.pcdd.sonovel.model.Chapter>]",false,67,14,17,2,15,9,49,50,2,12,2,49,1,2,0,6,2,1,11,11,14,2,3,0,0,2,45,1,3,true
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/core/Crawler.java,com.pcdd.sonovel.core.Crawler,Crawler/1[com.pcdd.sonovel.model.AppConfig],true,45,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/action/AggregatedSearchAction.java,com.pcdd.sonovel.action.AggregatedSearchAction,execute/0,false,34,4,4,0,4,3,11,13,2,3,0,11,1,1,0,0,0,0,4,0,3,0,1,0,0,0,11,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/action/AggregatedSearchAction.java,com.pcdd.sonovel.action.AggregatedSearchAction,getSearchResults/1[java.lang.String],false,53,8,9,3,6,7,22,29,1,6,1,22,0,0,1,2,2,0,4,2,6,0,5,0,0,1,22,9,1,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/util/RandomUA.java,com.pcdd.sonovel.util.RandomUA,generate/0,false,29,0,8,8,0,1,1,8,1,5,0,1,0,0,0,0,0,0,0,3,5,3,0,0,0,0,20,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/core/Source.java,com.pcdd.sonovel.core.Source,Source/1[com.pcdd.sonovel.model.AppConfig],true,18,2,6,5,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/core/Source.java,com.pcdd.sonovel.core.Source,Source/1[int],true,22,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/core/Source.java,com.pcdd.sonovel.core.Source,"Source/2[com.pcdd.sonovel.model.Rule,com.pcdd.sonovel.model.AppConfig]",true,26,3,0,0,0,8,15,25,0,1,2,15,0,0,0,7,0,0,0,0,3,0,2,0,0,0,6,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/action/DonateAction.java,com.pcdd.sonovel.action.DonateAction,execute/0,false,13,0,0,0,0,1,2,6,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,9,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/parse/SearchParser.java,com.pcdd.sonovel.parse.SearchParser,printAggregateSearchResult/1[java.util.List<com.pcdd.sonovel.model.SearchResult>],false,255,2,2,2,0,4,17,17,0,3,1,17,0,0,1,2,0,0,10,2,3,1,2,0,0,0,11,9,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/parse/SearchParser.java,com.pcdd.sonovel.parse.SearchParser,SearchParser/1[com.pcdd.sonovel.model.AppConfig],true,45,1,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/parse/SearchParser.java,com.pcdd.sonovel.parse.SearchParser,parse/1[java.lang.String],false,50,10,10,5,5,11,48,51,6,13,1,48,1,1,1,2,1,0,12,2,14,0,2,0,0,1,31,1,2,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/parse/SearchParser.java,com.pcdd.sonovel.parse.SearchParser,"addColumnIfNotEmpty/3[java.util.List<java.lang.String>,java.lang.String,java.lang.String]",false,247,0,1,1,0,3,2,7,2,0,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,2,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/parse/SearchParser.java,com.pcdd.sonovel.parse.SearchParser,"getSearchResults/2[java.lang.String,com.pcdd.sonovel.parse.Response]",false,122,11,8,1,7,10,54,52,4,20,2,54,0,0,1,3,2,0,0,1,20,0,3,0,0,1,39,2,1,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/parse/SearchParser.java,com.pcdd.sonovel.parse.SearchParser,printSearchResult/1[java.util.List<com.pcdd.sonovel.model.SearchResult>],false,212,4,3,2,1,11,22,29,1,12,1,22,1,1,1,2,0,0,10,3,12,1,3,0,0,0,29,1,0,false
/tmp/ck-analysis/freeok_so-novel/src/main/java/com/pcdd/sonovel/util/VirtualThreadLimiter.java,com.pcdd.sonovel.util.VirtualThreadLimiter,VirtualThreadLimiter/1[int],true,22,0,1,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
