file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/org/gephi/viz/engine/jogl/pipeline/indirect/IndirectNodeData.java,org.gephi.viz.engine.jogl.pipeline.indirect.IndirectNodeData,IndirectNodeData/1[org.gephi.viz.engine.util.structure.NodesCallback],true,30,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/org/gephi/viz/engine/jogl/pipeline/indirect/IndirectNodeData.java,org.gephi.viz.engine.jogl.pipeline.indirect.IndirectNodeData,"drawIndirect/4[org.gephi.viz.engine.jogl.pipeline.indirect.GL4,org.gephi.viz.engine.pipeline.RenderingLayer,org.gephi.viz.engine.jogl.pipeline.common.NodeWorldData,float[]]",false,34,6,3,1,2,1,2,4,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/org/gephi/viz/engine/jogl/pipeline/indirect/IndirectNodeData.java,org.gephi.viz.engine.jogl.pipeline.indirect.IndirectNodeData,"drawIndirectInternal/4[org.gephi.viz.engine.jogl.pipeline.indirect.GL4,org.gephi.viz.engine.pipeline.RenderingLayer,org.gephi.viz.engine.jogl.pipeline.common.NodeWorldData,float[]]",false,43,7,8,1,7,4,7,15,1,3,4,7,0,0,0,1,0,0,0,3,3,0,1,0,0,0,28,2,0,false
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/org/gephi/viz/engine/jogl/pipeline/indirect/IndirectNodeData.java,org.gephi.viz.engine.jogl.pipeline.indirect.IndirectNodeData,initBuffers/1[org.gephi.viz.engine.jogl.pipeline.indirect.GL],false,66,4,5,0,5,1,6,17,0,0,1,6,0,0,0,0,0,0,0,1,3,3,0,0,0,0,12,4,0,false
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/org/gephi/viz/engine/jogl/pipeline/indirect/IndirectNodeData.java,org.gephi.viz.engine.jogl.pipeline.indirect.IndirectNodeData,updateBuffers/1[org.gephi.viz.engine.jogl.pipeline.indirect.GL4],false,95,4,8,1,7,1,12,21,0,3,1,12,0,0,0,0,0,0,0,2,3,4,0,0,0,0,27,1,0,false
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/jogamp/text/util/GlyphProducer.java,jogamp.text.util.GlyphProducer,clearGlyphs/0,false,40,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,true
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/jogamp/text/util/GlyphProducer.java,jogamp.text.util.GlyphProducer,findBounds/1[java.lang.String],false,72,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,true
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/jogamp/text/util/GlyphProducer.java,jogamp.text.util.GlyphProducer,createGlyph/1[char],false,45,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/jogamp/text/util/GlyphProducer.java,jogamp.text.util.GlyphProducer,findAdvance/1[char],false,63,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,true
/tmp/ck-analysis/gephi_gephi/modules/VisualizationEngine/src/main/java/jogamp/text/util/GlyphProducer.java,jogamp.text.util.GlyphProducer,removeGlyph/1[jogamp.text.util.Glyph],false,82,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
