file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/gocd_gocd/server/src/test/java/com/thoughtworks/go/server/service/EnvironmentConfigServiceTest.java,com.thoughtworks.go.server.service.EnvironmentConfigServiceTest$EnvironmentForPipeline,innerclass,4,4,0,4,2,1,0,7,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,6,0,6,0,0,0,0,20,0,0
/tmp/ck-analysis/gocd_gocd/common/src/test/java/com/thoughtworks/go/domain/AgentInstanceTest.java,com.thoughtworks.go.domain.AgentInstanceTest$isStuckInCancel,innerclass,5,5,0,5,2,1,0,11,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,1,5,1,5,0,0,0,0,34,0,0
/tmp/ck-analysis/gocd_gocd/plugin-infra/go-plugin-infra/src/test/java/com/thoughtworks/go/plugin/infra/monitor/DefaultExternalPluginJarLocationMonitorTest.java,com.thoughtworks.go.plugin.infra.monitor.DefaultExternalPluginJarLocationMonitorTest,class,15,15,0,15,13,2,0,43,0,0.43076926,0.0,0.0,13,0,0,0,0,13,13,0,0,0,5,0,0,4,0,1,0,0,1,155,0,0,0,0,0,20,1,24,0,28,1,0,0,4,127,0,0
/tmp/ck-analysis/gocd_gocd/config/config-api/src/test/java/com/thoughtworks/go/config/policy/PolicyTest.java,com.thoughtworks.go.config.policy.PolicyTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/tmp/ck-analysis/gocd_gocd/domain/src/main/java/com/thoughtworks/go/domain/materials/Modification.java,com.thoughtworks.go.domain.materials.Modification$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/tmp/ck-analysis/gocd_gocd/server/src/main/java/com/thoughtworks/go/config/security/permissions/NoOnePermission.java,com.thoughtworks.go.config.security.permissions.NoOnePermission,class,3,4,1,3,3,5,0,0,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
/tmp/ck-analysis/gocd_gocd/server/src/main/java/com/thoughtworks/go/server/service/PipelineUnlockApiService.java,com.thoughtworks.go.server.service.PipelineUnlockApiService,class,12,16,4,12,11,1,0,17,0,0.5,0.0,0.0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,4,0,2,53,8,0,1,0,0,6,0,10,1,10,1,0,0,0,91,1,0
/tmp/ck-analysis/gocd_gocd/server/src/test-integration/java/com/thoughtworks/go/server/materials/MaterialDatabaseHgUpdaterTest.java,com.thoughtworks.go.server.materials.MaterialDatabaseHgUpdaterTest,class,7,7,0,7,2,2,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/tmp/ck-analysis/gocd_gocd/plugin-infra/go-plugin-access/src/main/java/com/thoughtworks/go/plugin/access/elastic/v5/ElasticAgentExtensionV5.java,com.thoughtworks.go.plugin.access.elastic.v5.ElasticAgentExtensionV5$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/tmp/ck-analysis/gocd_gocd/plugin-infra/go-plugin-access/src/main/java/com/thoughtworks/go/plugin/access/elastic/v5/ElasticAgentExtensionV5.java,com.thoughtworks.go.plugin.access.elastic.v5.ElasticAgentExtensionV5$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/tmp/ck-analysis/gocd_gocd/plugin-infra/go-plugin-access/src/main/java/com/thoughtworks/go/plugin/access/elastic/v5/ElasticAgentExtensionV5.java,com.thoughtworks.go.plugin.access.elastic.v5.ElasticAgentExtensionV5$Anonymous5,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
/tmp/ck-analysis/gocd_gocd/domain/src/main/java/com/thoughtworks/go/config/materials/PluggableSCMMaterial.java,com.thoughtworks.go.config.materials.PluggableSCMMaterial,class,26,32,6,26,71,2,0,71,912,0.8923611,0.0,0.0,48,0,42,3,3,0,45,0,0,0,6,1,1,4,1,0,1,0,6,217,40,2,15,0,3,26,3,27,3,18,2,0,0,0,134,1,0
/tmp/ck-analysis/gocd_gocd/plugin-infra/go-plugin-access/src/main/java/com/thoughtworks/go/plugin/access/elastic/v5/ElasticAgentExtensionV5.java,com.thoughtworks.go.plugin.access.elastic.v5.ElasticAgentExtensionV5$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/tmp/ck-analysis/gocd_gocd/server/src/main/java/com/thoughtworks/go/server/security/userdetail/GoUserPrincipal.java,com.thoughtworks.go.server.security.userdetail.GoUserPrincipal,class,3,4,1,3,12,1,0,6,0,0.33333334,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,3,37,7,0,4,0,2,0,5,6,4,4,1,0,0,0,20,1,0
/tmp/ck-analysis/gocd_gocd/plugin-infra/go-plugin-access/src/main/java/com/thoughtworks/go/plugin/access/elastic/v5/ElasticAgentExtensionV5.java,com.thoughtworks.go.plugin.access.elastic.v5.ElasticAgentExtensionV5$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/tmp/ck-analysis/gocd_gocd/api/api-agents-v7/src/main/java/com/thoughtworks/go/apiv7/agents/representers/AgentUpdateRequestRepresenter.java,com.thoughtworks.go.apiv7.agents.representers.AgentUpdateRequestRepresenter,class,5,7,2,5,5,2,0,12,6,0.0,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,18,5,0,0,0,0,4,0,1,0,1,1,0,0,0,27,1,0
/tmp/ck-analysis/gocd_gocd/server/src/main/java/com/thoughtworks/go/server/service/BackupRuntimeValidator.java,com.thoughtworks.go.server.service.BackupRuntimeValidator,class,2,5,3,2,10,1,0,11,9,0.42857143,0.0,0.0,7,5,1,5,0,1,2,0,0,0,1,0,0,1,0,0,1,0,8,35,7,0,0,1,0,1,0,2,0,2,1,0,0,0,45,1,0
/tmp/ck-analysis/gocd_gocd/config/config-api/src/main/java/com/thoughtworks/go/util/FilenameUtil.java,com.thoughtworks.go.util.FilenameUtil,class,1,8,7,1,11,1,0,9,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,33,9,0,4,0,1,0,0,4,2,4,1,0,0,0,31,1,0
