file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/google_guava/guava-tests/test/com/google/common/reflect/TypeTokenSubtypeTest.java,com.google.common.reflect.TypeTokenSubtypeTest$UseSerializableIterable,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
/tmp/ck-analysis/google_guava/guava-testlib/src/com/google/common/testing/GcFinalization.java,com.google.common.testing.GcFinalization$FinalizableReference,innerclass,4,6,0,6,3,4,0,4,0,0.33333334,0.0,0.0,3,1,1,0,0,2,3,0,0,0,3,2,0,0,0,3,3,0,1,16,0,0,0,0,0,0,0,3,0,3,0,0,0,0,17,26,0
/tmp/ck-analysis/google_guava/guava/src/com/google/common/reflect/TypeToken.java,com.google.common.reflect.TypeToken$SimpleTypeToken,innerclass,2,2,0,2,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,26,0
/tmp/ck-analysis/google_guava/guava-tests/test/com/google/common/collect/ImmutableListCopyOfConcurrentlyModifiedInputTest.java,com.google.common.collect.ImmutableListCopyOfConcurrentlyModifiedInputTest$ListFrobber,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
/tmp/ck-analysis/google_guava/guava-testlib/test/com/google/common/collect/testing/features/FeatureUtilTest.java,com.google.common.collect.testing.features.FeatureUtilTest$6Tester,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
/tmp/ck-analysis/google_guava/guava-tests/test/com/google/common/reflect/TypeTokenResolutionTest.java,com.google.common.reflect.TypeTokenResolutionTest$1ForTwoStageResolution,innerclass,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,1,0,2,0,0,12,0,0
/tmp/ck-analysis/google_guava/guava-tests/test/com/google/common/util/concurrent/UninterruptiblesTest.java,com.google.common.util.concurrent.UninterruptiblesTest$AbstractTimedLatch,innerclass,2,2,0,2,7,1,0,8,9,0.42857143,0.0,0.0,7,0,0,0,0,7,7,3,3,0,1,0,0,0,0,1,1,0,0,22,0,0,0,0,0,0,1,1,0,1,0,0,0,0,38,1034,0
/tmp/ck-analysis/google_guava/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous2,anonymous,6,8,0,8,2,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,10,2,0,0,0,0,0,0,0,0,0,1,0,0,3,7,-1,0
/tmp/ck-analysis/google_guava/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous1,anonymous,7,8,0,8,5,1,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,18,4,0,0,0,1,1,0,1,0,1,1,0,0,0,22,-1,0
/tmp/ck-analysis/google_guava/guava/src/com/google/common/collect/PeekingIterator.java,com.google.common.collect.PeekingIterator,interface,6,19,13,6,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,1,0
/tmp/ck-analysis/google_guava/guava-testlib/src/com/google/common/collect/testing/DerivedComparable.java,com.google.common.collect.testing.DerivedComparable,class,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1,0
