file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/graphhopper_graphhopper/core/src/test/java/com/graphhopper/routing/ev/RoadAccessTest.java,com.graphhopper.routing.ev.RoadAccessTest,class,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0
/tmp/ck-analysis/graphhopper_graphhopper/core/src/main/java/com/graphhopper/reader/osm/OSMInput.java,com.graphhopper.reader.osm.OSMInput,interface,7,11,4,7,22,1,0,13,3,0.0,0.0,0.0,3,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,66,7,0,11,2,1,9,25,8,3,8,2,0,1,0,81,1,0
/tmp/ck-analysis/graphhopper_graphhopper/tools/src/main/java/com/graphhopper/tools/TagInfoUtil.java,com.graphhopper.tools.TagInfoUtil$Tag,innerclass,0,0,0,0,5,1,0,3,0,0.3,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,1,0,0,26,3,0,0,0,0,3,0,4,0,3,0,0,0,0,11,10,0
/tmp/ck-analysis/graphhopper_graphhopper/web-bundle/src/main/java/com/graphhopper/http/RealtimeFeedLoadingCache.java,com.graphhopper.http.RealtimeFeedLoadingCache$Anonymous1,anonymous,4,4,0,4,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,1,0,0,0,1,13,-1,0
/tmp/ck-analysis/graphhopper_graphhopper/core/src/test/java/com/graphhopper/routing/subnetwork/EdgeBasedTarjanSCCTest.java,com.graphhopper.routing.subnetwork.EdgeBasedTarjanSCCTest,class,14,15,1,14,27,1,0,42,0,0.16666667,0.0,0.0,16,0,14,2,0,0,14,0,0,0,3,0,0,3,0,0,3,0,4,204,0,5,3,0,1,9,384,26,7,32,1,0,0,4,90,0,0
/tmp/ck-analysis/graphhopper_graphhopper/web-bundle/src/main/java/com/graphhopper/http/CORSFilter.java,com.graphhopper.http.CORSFilter,class,6,7,1,6,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,7,0,1,1,1,0,0,0,0,24,1,0
/tmp/ck-analysis/graphhopper_graphhopper/core/src/main/java/com/graphhopper/util/Constants.java,com.graphhopper.util.Constants,class,2,2,0,2,18,1,0,19,1,0.86,0.0,0.0,2,2,2,0,0,0,3,0,0,0,25,25,23,2,0,0,25,0,9,95,3,0,3,3,1,34,28,46,5,35,2,0,0,0,105,1,0
/tmp/ck-analysis/graphhopper_graphhopper/example/src/main/java/com/graphhopper/example/LocationIndexExample.java,com.graphhopper.example.LocationIndexExample,class,9,11,2,9,5,1,0,27,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,1,0,0,11,17,9,1,9,1,0,0,0,30,1,0
/tmp/ck-analysis/graphhopper_graphhopper/core/src/test/java/com/graphhopper/routing/ch/EdgeBasedNodeContractorTest.java,com.graphhopper.routing.ch.EdgeBasedNodeContractorTest$GraphWithDetourMultipleInOutEdges,innerclass,3,3,0,3,1,1,0,6,0,0.25,NaN,NaN,1,0,0,0,0,1,1,0,0,0,8,0,0,0,0,8,8,0,0,20,0,0,0,0,0,0,47,8,0,8,0,0,0,0,29,2,0
/tmp/ck-analysis/graphhopper_graphhopper/core/src/main/java/com/graphhopper/reader/osm/OSMFileHeader.java,com.graphhopper.reader.osm.OSMFileHeader,class,2,7,5,2,6,2,0,5,6,0.0,0.0,0.0,4,1,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,1,0,0,2,1,3,1,2,1,0,0,0,24,1,0
